headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,synonyms,antonyms
get up,phrasal verb,A2,turmoq uyg'onib turmoq,вставать,To rise from bed after sleeping.,ɡet ʌp,3500,phrasal,I get up at six every morning.,Men har kuni ertalab oltida turaman.,rise,
give up,phrasal verb,B1,tashlamoq voz kechmoq,сдаваться,To stop trying or stop a habit.,ɡɪv ʌp,3502,phrasal,Never give up on your dreams.,Orzularingizdan hech qachon voz kechmang.,quit,continue
look after,phrasal verb,B1,g'amxo'rlik qilmoq qaramoq,заботиться,To take care of someone or something.,lʊk ˈɑːftə,3504,phrasal,She looks after her little brother.,U ukasiga qarab turadi.,care for,neglect
find out,phrasal verb,B1,bilib olmoq aniqlamoq,выяснять,To discover information.,faɪnd aʊt,3506,phrasal,I want to find out the exam results.,Imtihon natijalarini bilib olmoqchiman.,discover,
carry on,phrasal verb,B1,davom ettirmoq,продолжать,To continue doing something.,ˈkæri ɒn,3508,phrasal,Carry on with your work.,Ishingizni davom ettiring.,continue,stop
put off,phrasal verb,B2,keyinga qoldirmoq,откладывать,To delay something to a later time.,pʊt ɒf,3510,phrasal,Don't put off your homework until night.,Uy vazifasini kechgacha qoldirmang.,postpone,
turn down,phrasal verb,B2,rad etmoq pasaytirmoq,отклонять,To refuse an offer; to reduce volume.,tɜːn daʊn,3512,phrasal,He turned down the job offer.,U ish taklifini rad etdi.,refuse,accept
run out of,phrasal verb,B2,tugab qolmoq,заканчиваться,To use all of something and have none left.,rʌn aʊt əv,3514,phrasal,We ran out of sugar.,Shakarimiz tugab qoldi.,,
come across,phrasal verb,B2,duch kelmoq uchratib qolmoq,натыкаться,To find or meet by chance.,kʌm əˈkrɒs,3516,phrasal,I came across an old photo yesterday.,Kecha eski suratga duch keldim.,encounter,
figure out,phrasal verb,B2,tushunib yetmoq yechimini topmoq,разбираться,To understand or solve something.,ˈfɪɡər aʊt,3518,phrasal,I can't figure out this puzzle.,Bu boshqotirmani yechishni bilmayapman.,work out,
break the ice,idiom,B2,suhbatni boshlab yubormoq,растопить лёд,To make people feel relaxed when they first meet.,breɪk ði aɪs,3520,idioms,A funny story helps to break the ice.,Kulgili hikoya suhbatni boshlab yuborishga yordam beradi.,,
piece of cake,idiom,B2,juda oson ish,проще простого,Something very easy to do.,piːs əv keɪk,3522,idioms,The test was a piece of cake.,Test juda oson bo'ldi.,,
once in a blue moon,idiom,B2,juda kam onda-sonda,очень редко,Very rarely.,wʌns ɪn ə bluː muːn,3524,idioms,He visits us once in a blue moon.,U biznikiga onda-sonda keladi.,,
under the weather,idiom,B2,tobi qochgan,неважно себя чувствовать,Feeling slightly ill.,ˌʌndə ðə ˈweðə,3526,idioms,I'm a bit under the weather today.,Bugun tobim biroz qochgan.,,
hit the books,idiom,B2,jiddiy o'qishga kirishmoq,засесть за учёбу,To study hard.,hɪt ðə bʊks,3528,idioms,Exams are near — time to hit the books.,Imtihonlar yaqin — jiddiy o'qish vaqti keldi.,,
cost an arm and a leg,idiom,B2,juda qimmat turmoq,стоить очень дорого,To be very expensive.,kɒst ən ɑːm ənd ə leɡ,3530,idioms,That phone costs an arm and a leg.,U telefon juda qimmat turadi.,,
in hot water,idiom,B2,qiyin ahvolda,в беде,In trouble.,ɪn hɒt ˈwɔːtə,3532,idioms,He is in hot water for being late again.,U yana kechikkani uchun qiyin ahvolda.,,
see eye to eye,idiom,C1,bir fikrda bo'lmoq,сходиться во взглядах,To agree with someone.,siː aɪ tə aɪ,3534,idioms,We don't always see eye to eye.,Biz har doim ham bir fikrda bo'lavermaymiz.,,
the ball is in your court,idiom,C1,navbat sizda qaror sizniki,мяч на вашей стороне,It is your turn to decide or act.,ðə bɔːl ɪz ɪn jɔː kɔːt,3536,idioms,I made my offer — the ball is in your court.,Taklifimni aytdim — endi qaror sizniki.,,
spill the beans,idiom,C1,sirni ochib qo'ymoq,проболтаться,To reveal a secret.,spɪl ðə biːnz,3538,idioms,Who spilled the beans about the party?,Bazm haqidagi sirni kim ochib qo'ydi?,,
