headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,synonyms,antonyms
cognition,noun,C1,"idrok, bilish jarayoni",познание,The mental process of acquiring knowledge through thought and the senses.,kɒɡˈnɪʃn,30001,toefl,Sleep loss measurably impairs cognition in healthy adults.,Uyqusizlik sog'lom kattalarda idrokni sezilarli darajada susaytiradi.,perception | reasoning,instinct
corroborate,verb,C1,"tasdiqlamoq, dalillamoq",подтверждать,To provide evidence that supports a statement or theory.,kəˈrɒbəreɪt,30002,toefl,A second excavation corroborated the dating of the earlier site.,Ikkinchi qazish ishlari avvalgi joyning sanasini tasdiqladi.,confirm | verify,refute
deduce,verb,B2,xulosa chiqarmoq,выводить,To reach a conclusion by reasoning from known facts.,dɪˈdjuːs,30003,toefl,"From the ash layers, geologists deduced the eruption's date.",Kul qatlamlaridan geologlar otilish sanasini aniqlab xulosa chiqarishdi.,infer | conclude,guess
inference,noun,C1,xulosa,умозаключение,A conclusion reached from evidence rather than direct observation.,ˈɪnfərəns,30004,toefl,The study's inference rests on a small and uneven sample.,Tadqiqotning xulosasi kichik va notekis namunaga asoslangan.,conclusion | deduction,observation
postulate,verb,C1,faraz qilib ilgari surmoq,постулировать,To suggest something as true so it can be used as the basis for reasoning.,ˈpɒstjuleɪt,30005,toefl,Early astronomers postulated a perfectly circular orbit.,Dastlabki astronomlar mukammal doiraviy orbitani faraz qilib ilgari surishgan.,propose | hypothesise,prove
proliferate,verb,C1,tez ko'paymoq,распространяться,To increase rapidly in number.,prəˈlɪfəreɪt,30006,toefl,Online courses proliferated once universities closed their campuses.,"Universitetlar kampuslarini yopgach, onlayn kurslar tez ko'paydi.",multiply | mushroom,dwindle
qualitative,adjective,C1,sifat jihatidan,качественный,Concerned with the nature or quality of something rather than its amount.,ˈkwɒlɪtətɪv,30007,toefl,The researchers added qualitative interviews to the survey data.,Tadqiqotchilar so'rovnoma ma'lumotlariga sifat jihatidan intervyularni qo'shishdi.,descriptive,quantitative
rationale,noun,C1,"asos, mantiqiy sabab",обоснование,The set of reasons behind a decision or belief.,ˌræʃəˈnɑːl,30008,toefl,The paper explains the rationale for excluding the outliers.,Maqolada chetdagi qiymatlarni chiqarib tashlash asosi tushuntirilgan.,reasoning | justification,whim
reciprocal,adjective,C1,o'zaro,взаимный,Given and received in equal measure by two sides.,rɪˈsɪprəkl,30009,toefl,The two species have a reciprocal relationship: each feeds the other.,Ikki tur o'zaro munosabatda: har biri ikkinchisini oziqlantiradi.,mutual,one-sided
reluctance,noun,B2,istamaslik,нежелание,Unwillingness to do something.,rɪˈlʌktəns,30010,toefl,Their reluctance to share raw data slowed the review.,Ularning xom ma'lumotlarni bo'lishishni istamasligi ko'rikni sekinlashtirdi.,hesitation | unwillingness,eagerness
substantiate,verb,C1,dalil bilan asoslamoq,обосновывать,To prove a claim with evidence.,səbˈstænʃieɪt,30011,toefl,No fossil evidence substantiates that migration route.,Hech qanday qazilma dalil o'sha ko'chish yo'lini asoslamaydi.,prove | back up,disprove
validate,verb,B2,tasdiqlamoq,подтверждать,To confirm that something is accurate or acceptable.,ˈvælɪdeɪt,30012,toefl,A second laboratory validated the original measurements.,Ikkinchi laboratoriya dastlabki o'lchovlarni tasdiqladi.,confirm | verify,invalidate
ambiguity,noun,C1,"noaniqlik, ikki ma'nolilik",неоднозначность,The state of having more than one possible meaning.,ˌæmbɪˈɡjuːəti,30013,toefl,The ambiguity in the wording led to two different readings.,Iboradagi noaniqlik ikki xil talqinga olib keldi.,vagueness,clarity
analogous,adjective,C1,"o'xshash, muvofiq",аналогичный,Similar in a way that allows a useful comparison.,əˈnæləɡəs,30014,toefl,A cell membrane is analogous to a gate that admits some molecules.,Hujayra membranasi ba'zi molekulalarni o'tkazadigan darvozaga o'xshash.,comparable | similar,dissimilar
attest,verb,C1,guvohlik bermoq,свидетельствовать,To provide clear evidence that something is true.,əˈtest,30015,toefl,Layers of sediment attest to centuries of flooding.,Cho'kindi qatlamlari asrlar davomidagi toshqinlardan guvohlik beradi.,testify | demonstrate,contradict
benign,adjective,C1,zararsiz,доброкачественный,"Not harmful; in medicine, not cancerous.",bɪˈnaɪn,30016,toefl,The growth proved benign and needed no further treatment.,O'sma zararsiz bo'lib chiqdi va qo'shimcha davolash talab qilmadi.,harmless | mild,malignant
calibrate,verb,C1,"kalibrlamoq, sozlamoq",калибровать,To adjust an instrument so its measurements are accurate.,ˈkælɪbreɪt,30017,toefl,Each sensor is calibrated against a known standard before use.,Har bir sensor ishlatishdan oldin ma'lum standart bo'yicha sozlanadi.,adjust | fine-tune,misalign
cessation,noun,C1,to'xtatish,прекращение,The stopping of something.,seˈseɪʃn,30018,toefl,Recovery began within weeks of the cessation of logging.,Tiklanish daraxt kesish to'xtatilganidan bir necha hafta ichida boshlandi.,halt | discontinuation,continuation
circumvent,verb,C1,chetlab o'tmoq,обходить,To find a way around a rule or obstacle.,ˌsɜːkəmˈvent,30019,toefl,The design circumvents the need for an external power source.,Dizayn tashqi quvvat manbaiga bo'lgan ehtiyojni chetlab o'tadi.,bypass | sidestep,confront
cohesion,noun,C1,"yaxlitlik, bog'lanish",связность,The quality of forming a united or well-connected whole.,kəʊˈhiːʒn,30020,toefl,"Examiners look for cohesion between paragraphs, not just correct grammar.","Imtihonchilar faqat to'g'ri grammatikani emas, xatboshilar orasidagi bog'lanishni ham qidiradi.",unity | coherence,fragmentation
commence,verb,B2,boshlanmoq,начинаться,To begin.,kəˈmens,30021,toefl,Field work will commence as soon as the rains stop.,Dala ishlari yomg'irlar to'xtashi bilanoq boshlanadi.,begin | start,conclude
concurrent,adjective,C1,bir vaqtda sodir bo'ladigan,одновременный,Happening at the same time.,kənˈkʌrənt,30022,toefl,Two concurrent studies reached opposite conclusions.,Bir vaqtda o'tkazilgan ikki tadqiqot qarama-qarshi xulosaga keldi.,simultaneous,consecutive
contingent,adjective,C1,"bog'liq, shartli",зависящий от,Depending on something else that may or may not happen.,kənˈtɪndʒənt,30023,toefl,Funding is contingent on the pilot study succeeding.,Moliyalashtirish sinov tadqiqotining muvaffaqiyatiga bog'liq.,dependent | conditional,guaranteed
conversely,adverb,C1,aksincha,наоборот,Introducing a statement that reverses the one before it.,ˈkɒnvɜːsli,30024,toefl,"Warm years reduce the ice; conversely, cold years rebuild it.","Issiq yillar muzni kamaytiradi; aksincha, sovuq yillar uni qayta tiklaydi.",on the other hand,likewise
correlate,verb,B2,o'zaro bog'liq bo'lmoq,коррелировать,To have a mutual relationship in which one changes with the other.,ˈkɒrəleɪt,30025,toefl,"Income correlates with life expectancy, though it does not explain it.","Daromad umr ko'rish davomiyligi bilan o'zaro bog'liq, garchi uni tushuntirmasa ham.",associate | link,diverge
delineate,verb,C1,aniq belgilamoq,очерчивать,To describe or mark the limits of something precisely.,dɪˈlɪnieɪt,30026,toefl,The report delineates three stages of language acquisition.,Hisobotda til o'zlashtirishning uch bosqichi aniq belgilangan.,outline | define,blur
dissipate,verb,C1,tarqalib ketmoq,рассеиваться,To gradually disappear by spreading out.,ˈdɪsɪpeɪt,30027,toefl,The heat dissipates quickly once the sun sets.,Quyosh botishi bilan issiqlik tez tarqalib ketadi.,disperse | fade,accumulate
elicit,verb,C1,chiqarishga erishmoq,вызывать,To draw out a response or information from someone.,ɪˈlɪsɪt,30028,toefl,Open questions elicit longer answers than yes-no ones.,Ochiq savollar ha-yo'q savollaridan ko'ra uzunroq javob oldiradi.,draw out | evoke,suppress
emit,verb,B2,"chiqarmoq, tarqatmoq",испускать,"To send out light, heat, sound or a substance.",ɪˈmɪt,30029,toefl,The mineral emits a faint glow under ultraviolet light.,Mineral ultrabinafsha nurda xira yog'du chiqaradi.,give off | discharge,absorb
ephemeral,adjective,C1,qisqa muddatli,эфемерный,Lasting for a very short time.,ɪˈfemərəl,30030,toefl,"Desert flowers are ephemeral, blooming only after rain.",Cho'l gullari qisqa muddatli — faqat yomg'irdan keyin ochiladi.,fleeting | short-lived,enduring
exponential,adjective,C1,eksponensial,экспоненциальный,Growing ever more rapidly in proportion to its current size.,ˌekspəˈnenʃl,30031,toefl,"Early in an outbreak, cases can show exponential growth.",Epidemiya boshida holatlar eksponensial o'sishni ko'rsatishi mumkin.,rapid | accelerating,linear
sporadic,adjective,C1,vaqti-vaqti bilan sodir bo'ladigan,спорадический,Happening at irregular intervals rather than steadily.,spəˈrædɪk,30032,toefl,Sporadic rainfall makes the harvest hard to predict.,Vaqti-vaqti bilan yog'adigan yomg'ir hosilni bashorat qilishni qiyinlashtiradi.,irregular | intermittent,constant
homogeneous,adjective,C1,bir jinsli,однородный,Made up of parts that are all the same kind.,ˌhɒməˈdʒiːniəs,30033,toefl,The sample was too homogeneous to reveal social differences.,Namuna ijtimoiy farqlarni ko'rsatish uchun juda bir jinsli edi.,uniform,diverse
incremental,adjective,C1,bosqichma-bosqich,постепенный,Happening in small steps rather than all at once.,ˌɪŋkrəˈmentl,30034,toefl,"Progress here is incremental, not a single breakthrough.","Bu yerdagi taraqqiyot yagona kashfiyot emas, bosqichma-bosqich boradi.",gradual | step-by-step,sudden
innate,adjective,C1,tug'ma,врождённый,Present from birth rather than learned.,ɪˈneɪt,30035,toefl,Whether grammar is innate remains a contested question.,Grammatika tug'ma yoki yo'qligi hamon bahsli savol bo'lib qolmoqda.,inborn | inherent,acquired
latent,adjective,C1,"yashirin, uyg'onmagan",скрытый,Present but not yet active or visible.,ˈleɪtnt,30036,toefl,The virus can stay latent in the body for years.,Virus tanada yillar davomida yashirin holda qolishi mumkin.,dormant | hidden,active
permeate,verb,C1,singib o'tmoq,пронизывать,To spread through every part of something.,ˈpɜːmieɪt,30037,toefl,Salt water permeates the soil and kills the roots.,"Sho'r suv tuproqqa singib o'tib, ildizlarni nobud qiladi.",penetrate | pervade,seal
prevail,verb,C1,ustun kelmoq,преобладать,"To be the strongest or most common, or to win in the end.",prɪˈveɪl,30038,toefl,Westerly winds prevail along this coast for most of the year.,Bu sohilda yilning ko'p qismida g'arbiy shamollar ustun keladi.,predominate | triumph,yield
quantify,verb,C1,miqdorini aniqlamoq,измерять количественно,To measure or express something as a number.,ˈkwɒntɪfaɪ,30039,toefl,It is hard to quantify the value of an undisturbed forest.,Buzilmagan o'rmonning qiymatini miqdoriy aniqlash qiyin.,measure,estimate
tentative,adjective,B2,"dastlabki, qat'iy bo'lmagan",предварительный,Not certain or final; open to change.,ˈtentətɪv,30040,toefl,These are tentative findings from a single season of data.,Bular bir mavsumlik ma'lumotlardan olingan dastlabki natijalar.,provisional | preliminary,definitive
