headword,pos,example_en,example_uz
and,conjunction,My brother and I play chess.,Ukam bilan men shaxmat o'ynaymiz.
and,conjunction,She sings and dances very well.,U juda yaxshi kuylaydi va raqsga tushadi.
in,preposition,We live in a small village.,Biz kichkina qishloqda yashaymiz.
in,preposition,The children are in the garden.,Bolalar bog'da.
have,verb,They have a beautiful garden.,Ularning chiroyli bog'i bor.
have,verb,Do you have a pencil?,Sizda qalam bormi?
on,preposition,The picture is on the wall.,Rasm devorda.
on,preposition,We play football on Sundays.,Biz yakshanba kunlari futbol o'ynaymiz.
with,preposition,She lives with her grandmother.,U buvisi bilan yashaydi.
with,preposition,Cut the bread with a knife.,Nonni pichoq bilan kesing.
at,preposition,He is at home now.,U hozir uyda.
at,preposition,The lesson starts at nine.,Dars soat to'qqizda boshlanadi.
do,verb,What do you do on Saturdays?,Shanba kunlari nima qilasiz?
do,verb,I do sport in the morning.,Men ertalab sport bilan shug'ullanaman.
this,pronoun,This is my new bicycle.,Bu mening yangi velosipedim.
this,pronoun,This tea is very sweet.,Bu choy juda shirin.
but,conjunction,I like milk but I don't like cheese.,Men sutni yaxshi ko'raman lekin pishloqni yoqtirmayman.
but,conjunction,He is young but very clever.,U yosh lekin juda aqlli.
from,preposition,This letter is from my friend.,Bu xat do'stimdan.
from,preposition,We work from Monday to Friday.,Biz dushanbadan jumagacha ishlaymiz.
or,conjunction,Is it Monday or Tuesday today?,Bugun dushanbami yoki seshanba?
or,conjunction,You can walk or take the bus.,Piyoda borishingiz yoki avtobusga chiqishingiz mumkin.
say,verb,What did the teacher say?,O'qituvchi nima dedi?
say,verb,People say this place is beautiful.,Odamlar bu joy chiroyli deyishadi.
go,verb,I go to school by bus.,Men maktabga avtobusda boraman.
go,verb,Let's go to the park.,Keling bog'ga boraylik.
there,adverb,There are five rooms in our house.,Uyimizda beshta xona bor.
there,adverb,Put the chair there please.,Stulni o'sha yerga qo'ying iltimos.
no,adverb,There is no milk in the fridge.,Muzlatkichda sut yo'q.
no,adverb,No smoking here.,Bu yerda chekish mumkin emas.
get,verb,Where can I get a ticket?,Chiptani qayerdan olsam bo'ladi?
get,verb,I get up at seven every day.,Men har kuni soat yettida turaman.
make,verb,Let's make a cake together.,Keling birga tort tayyorlaylik.
make,verb,Don't make noise in the library.,Kutubxonada shovqin qilmang.
very,adverb,This exercise is very easy.,Bu mashq juda oson.
very,adverb,Thank you very much.,Sizga katta rahmat.
know,verb,Do you know this song?,Bu qo'shiqni bilasizmi?
know,verb,I don't know his phone number.,Men uning telefon raqamini bilmayman.
here,adverb,Write your name here.,Ismingizni shu yerga yozing.
here,adverb,It is very quiet here.,Bu yer juda tinch.
good,adjective,This is a good idea.,Bu yaxshi fikr.
good,adjective,The food at this cafe is good.,Bu kafening ovqati yaxshi.
think,verb,I think it will rain today.,Menimcha bugun yomg'ir yog'adi.
think,verb,Think before you answer.,Javob berishdan oldin o'ylang.
also,adverb,She sings and also plays the piano.,U kuylaydi va pianino ham chaladi.
also,adverb,My father also works here.,Otam ham shu yerda ishlaydi.
