headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,example_ru,synonyms,antonyms,word_family,common_mistake
crack down on,phrasal verb,B2,qat'iy choralar ko'rmoq,жёстко пресекать,To take strong action to stop illegal or unacceptable activity.,,21001,phrasal,The city is cracking down on illegal parking.,Shahar noqonuniy mashina qo'yishga qarshi qat'iy choralar ko'rmoqda.,В городе борются с нелегальной парковкой.,suppress | take action against,,crack down on + noun/gerund,Do not omit the particle or preposition in 'crack down on'.
opt out of,phrasal verb,B2,qatnashmaslikni tanlamoq,отказаться от участия,To choose not to participate in an arrangement or activity.,,21003,phrasal,Employees can opt out of the pension scheme.,Xodimlar pensiya dasturida qatnashmaslikni tanlashi mumkin.,Сотрудники могут отказаться от пенсионного плана.,withdraw from | decline,,opt out of + noun/gerund,Do not omit the particle or preposition in 'opt out of'.
boil down to,phrasal verb,B2,mohiyatan bir narsaga borib taqalmoq,сводиться к,"To have one main cause, meaning, or deciding factor.",,21005,phrasal,The decision boils down to cost and quality.,Qaror mohiyatan narx va sifatga borib taqaladi.,Решение сводится к цене и качеству.,come down to | depend on,,something + boil down to + noun/gerund,Do not omit the particle or preposition in 'boil down to'.
fill in for,phrasal verb,B2,vaqtincha o'rnini bosmoq,временно заменить,To do another person's job while they are absent.,,21007,phrasal,Maya will fill in for the manager tomorrow.,Maya ertaga menejerning o'rnini vaqtincha bosadi.,Завтра Майя заменит менеджера.,substitute for | cover for,,fill in for + person,Do not omit the particle or preposition in 'fill in for'.
get around to,phrasal verb,B2,nihoyat vaqt topib qilmoq,наконец найти время,To finally do something that has been delayed.,,21009,phrasal,I finally got around to updating my CV.,Nihoyat rezyumeyimni yangilashga vaqt topdim.,Наконец я нашёл время обновить своё резюме.,find time for | eventually do,,get around to + noun/gerund,Do not omit the particle or preposition in 'get around to'.
go through with,phrasal verb,B2,oxirigacha amalga oshirmoq,довести до конца,To complete a difficult plan or decision despite doubts.,,21011,phrasal,They went through with the move despite the risks.,Ular xavflarga qaramay ko'chishni oxirigacha amalga oshirdi.,"Несмотря на риски, они пошли на этот шаг.",carry out | complete,,go through with + noun,Do not omit the particle or preposition in 'go through with'.
keep at,phrasal verb,B2,qat'iyat bilan davom ettirmoq,упорно продолжать,To continue working on something despite difficulty.,,21013,phrasal,Keep at the exercises and they will become easier.,"Mashqlarni qat'iyat bilan davom ettiring, ular osonlashadi.","Продолжайте выполнять упражнения, и они станут легче.",persist with | stick with,,keep at + noun/pronoun,Do not omit the particle or preposition in 'keep at'.
pull off,phrasal verb,B2,qiyin ishni muvaffaqiyatli uddalamoq,успешно осуществить,To succeed in doing something difficult or unexpected.,,21015,phrasal,The small team pulled off an impressive launch.,Kichik jamoa ta'sirli taqdimotni muvaffaqiyatli uddaladi.,Небольшая команда провела впечатляющий запуск.,accomplish | succeed in,,pull off + noun/pronoun,Do not omit the particle or preposition in 'pull off'.
put down to,phrasal verb,B2,sababini bir narsa deb bilmoq,объяснять чем-либо,To explain something as being caused by a particular factor.,,21017,phrasal,I put the mistake down to tiredness.,Men xatoning sababini charchoq deb bildim.,Я объяснил ошибку усталостью.,attribute to | explain by,,put + noun/pronoun + down to + cause,Do not omit the particle or preposition in 'put down to'.
stand for,phrasal verb,B1,anglatmoq yoki himoya qilmoq,означать или выступать за,"To represent a meaning, principle, or belief.",,21019,phrasal,What does the abbreviation CEFR stand for?,CEFR qisqartmasi nimani anglatadi?,Что означает аббревиатура CEFR?,represent | mean,,stand for + noun,Do not omit the particle or preposition in 'stand for'.
wind down,phrasal verb,B2,asta-sekin yakunlamoq yoki tinchlanmoq,постепенно завершать или расслабляться,To gradually finish an activity or become relaxed.,,21021,phrasal,The meeting began to wind down after lunch.,Tushlikdan keyin yig'ilish asta-sekin yakunlana boshladi.,Встреча начала сходить на нет после обеда.,relax | phase out,,wind down / wind + noun + down,Do not omit the particle or preposition in 'wind down'.
wean off,phrasal verb,C1,asta-sekin odatdan voz kechirmoq,постепенно отучать от,To gradually make someone stop depending on or using something.,,21023,phrasal,The doctor helped him wean himself off sleeping pills.,Shifokor unga uyqu dorilaridan asta-sekin voz kechishga yordam berdi.,Врач помог ему отучиться от снотворного.,reduce dependence on | phase out,,wean + person/pronoun + off + noun,Do not omit the particle or preposition in 'wean off'.
ward off,phrasal verb,C1,oldini olmoq yoki daf qilmoq,предотвращать или отражать,To prevent something harmful from affecting you.,,21025,phrasal,Regular sleep can help ward off illness.,Muntazam uyqu kasallikning oldini olishga yordam beradi.,Регулярный сон может помочь предотвратить болезни.,prevent | repel,,ward off + noun,Do not omit the particle or preposition in 'ward off'.
vouch for,phrasal verb,C1,ishonchliligini kafolatlamoq,поручиться за,To state that someone or something is reliable or truthful.,,21027,phrasal,I can vouch for her honesty and experience.,Men uning halolligi va tajribasiga kafolat bera olaman.,Я могу ручаться за ее честность и опыт.,guarantee | endorse,,vouch for + person/thing,Do not omit the particle or preposition in 'vouch for'.
track down,phrasal verb,B2,izlab topmoq,разыскать,To find someone or something after a careful search.,,21029,phrasal,The reporter tracked down the original source.,Muxbir asl manbani izlab topdi.,Репортер нашел первоисточник.,locate | find,,track down + noun/pronoun,Do not omit the particle or preposition in 'track down'.
think through,phrasal verb,B2,har tomonlama o'ylab chiqmoq,тщательно продумать,To consider every part and consequence of something carefully.,,21031,phrasal,We need to think through the long-term effects.,Uzoq muddatli ta'sirlarni har tomonlama o'ylab chiqishimiz kerak.,Нам нужно подумать о долгосрочных последствиях.,consider carefully | reason out,,think through + noun/pronoun,Do not omit the particle or preposition in 'think through'.
shore up,phrasal verb,C1,mustahkamlamoq yoki qo'llab-quvvatlamoq,укрепить или поддержать,To strengthen or support something that is weak.,,21033,phrasal,The new policy aims to shore up public confidence.,Yangi siyosat jamoatchilik ishonchini mustahkamlashni maqsad qiladi.,Новая политика направлена ​​на укрепление общественного доверия.,strengthen | reinforce,,shore up + noun,Do not omit the particle or preposition in 'shore up'.
shake off,phrasal verb,B2,qutulmoq yoki ortda qoldirmoq,избавиться от,"To get rid of an illness, feeling, or unwanted follower.",,21035,phrasal,I cannot shake off this feeling of doubt.,Bu shubha hissidan qutula olmayapman.,Я не могу избавиться от этого чувства сомнения.,get rid of | overcome,,shake off + noun,Do not omit the particle or preposition in 'shake off'.
see through,phrasal verb,B2,aldovni tushunib yetmoq,раскусить обман,To recognise that someone is trying to deceive you.,,21037,phrasal,She saw through his excuse immediately.,U uning bahonasini darhol yolg'on ekanini tushundi.,"Она сразу поняла, что его оправдание было неискренним.",detect | recognise,,see through + person/plan,Do not omit the particle or preposition in 'see through'.
roll out,phrasal verb,B2,yangi mahsulot yoki tizimni joriy etmoq,внедрить или запустить,"To introduce a new product, service, or system in stages.",,21039,phrasal,The bank will roll out its new app next month.,Bank yangi ilovasini kelasi oy ishga tushiradi.,Банк выпустит новое приложение в следующем месяце.,launch | introduce,,roll out + noun,Do not omit the particle or preposition in 'roll out'.
add insult to injury,idiom,B2,ustiga-ustak vaziyatni battar qilmoq,усугубить обиду,To make an already bad situation even worse.,,21041,idioms,"The flight was cancelled, and to add insult to injury, our luggage was lost.","Parvoz bekor qilindi, ustiga-ustak yukimiz ham yo'qoldi.","Рейс отменили, и вдобавок ко всему наш багаж потеряли.",make matters worse,,add insult to injury,Do not change the fixed wording of this idiom.
