headword,pos,example_en,example_uz,example_ru
trigger,verb,The new tax laws could trigger a decline in consumer spending.,,
trigger,verb,Stress is often what triggers his headaches.,,
run out of,phrasal verb,"We've run out of milk, so can you pick some up on your way back?",,
run out of,phrasal verb,I'm afraid we've run out of time to finish the presentation.,,
piece of cake,idiom,Passing the driving test was a piece of cake after all those lessons.,,
piece of cake,idiom,"Don't worry about the presentation; for someone with your experience, it'll be a piece of cake.",,
under the weather,idiom,"I'm feeling a bit under the weather today, so I think I'll stay home.",,
under the weather,idiom,He's been under the weather all week with a nasty cold.,,
hit the books,idiom,"I have a massive exam on Monday, so I need to hit the books all weekend.",,
hit the books,idiom,"I can't go to the cinema tonight, I really need to hit the books.",,
see eye to eye,idiom,My brother and I rarely see eye to eye on politics.,,
see eye to eye,idiom,It’s difficult to work in a team when you don't see eye to eye with your colleagues.,,
hit the nail on the head,idiom,You hit the nail on the head when you said the team lacks communication.,,
hit the nail on the head,idiom,That's exactly why we're failing—you hit the nail on the head.,,
call it a day,idiom,We've been working for ten hours; let's call it a day.,,
call it a day,idiom,"It's getting quite late, so we should probably call it a day.",,
sort out,phrasal verb,I need to sort out my schedule before the weekend starts.,,
sort out,phrasal verb,We need to sort out the logistics for the conference next month.,,
hang out,phrasal verb,We usually hang out at the local coffee shop after class.,,
hang out,phrasal verb,I love hanging out with my cousins during the summer holidays.,,
get the hang of,idiom,"It took me a few days, but I'm finally getting the hang of this software.",,
get the hang of,idiom,Don't worry if you're struggling; you'll get the hang of it eventually.,,
go the extra mile,idiom,Our teacher always goes the extra mile to help students with their applications.,,
go the extra mile,idiom,"If you want to get a Band 8, you really have to go the extra mile.",,
learn the ropes,idiom,It took me a few weeks to learn the ropes at my new job.,,
learn the ropes,idiom,My manager spent the first day showing me the ropes.,,
off the top of my head,idiom,"Off the top of my head, I'd say three main factors contributed to the project's delay.",,
off the top of my head,idiom,"Can you name a good Italian place? Off the top of my head, 'La Famiglia' near the square is excellent.",,
out of the blue,idiom,"I hadn't seen him for years, then he called me out of the blue.",,
out of the blue,idiom,She decided to quit her job out of the blue.,,
up in the air,idiom,The start date for the new project is still up in the air.,,
up in the air,idiom,Everything is up in the air until the CEO returns from leave.,,
while,conjunction,"While some people prefer cities, others find peace in the countryside.",,
while,conjunction,"While the cost is high, the quality is definitely worth it.",,
since,conjunction,"Since it's raining, we should stay indoors.",,
since,conjunction,"Since I have no cash, can I pay by card?",,
including,preposition,"The price of the tour is fifty dollars, including lunch.",,
including,preposition,"Everyone in my family, including my grandfather, loves football.",,
although,conjunction,"Although it was raining heavily, we decided to go for a walk in the park.",,
although,conjunction,"I managed to pass the English exam, although I didn't study very hard for it.",,
cool as a cucumber,idiom,"Even when the deadline was approaching, Sarah remained as cool as a cucumber.",,
cool as a cucumber,idiom,He walked into the job interview looking as cool as a cucumber.,,
cut to the chase,idiom,"We have ten minutes left, so let’s cut to the chase.",,
cut to the chase,idiom,He didn't waste any time and cut to the chase regarding the contract renewal.,,
in a nutshell,idiom,"The company is struggling. In a nutshell, we need to cut costs immediately.",,
in a nutshell,idiom,"It's a very complex topic, but in a nutshell, it’s about climate change.",,
not my cup of tea,idiom,"Thanks for the invite, but modern art is not really my cup of tea.",,
not my cup of tea,idiom,Horror films aren't exactly my cup of tea.,,
off the beaten track,idiom,We prefer finding quiet villages off the beaten track rather than staying in big hotels.,,
off the beaten track,idiom,Exploring regions off the beaten track is the best way to understand the local culture.,,
ring a bell,idiom,"The name Sarah Miller rings a bell, but I can't quite place her.",,
ring a bell,idiom,Does the address 12 Oak Street ring a bell?,,
unlike,preposition,"Unlike my brother, I prefer staying indoors on weekends.",,
unlike,preposition,"Unlike many other applicants, she had significant practical experience.",,
furthermore,adverb,"The hotel is centrally located; furthermore, the prices are very reasonable.",,
furthermore,adverb,"Pollution is harming the planet. Furthermore, it threatens our future.",,
cheers,interjection,Cheers for helping me with those heavy bags!,,
