headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,example_ru,synonyms,antonyms,word_family,common_mistake
bring about,phrasal verb,B2,"sabab bo'lmoq, yuzaga keltirmoq","вызывать, приводить к",to cause something to happen,/brɪŋ əˈbaʊt/,20001,phrasal,The new policy brought about significant improvements in the healthcare system.,Yangi siyosat sog'liqni saqlash tizimida sezilarli yaxshilanishlarni yuzaga keltirdi.,Новая политика привела к значительным улучшениям в системе здравоохранения.,"cause, lead to, create","prevent, stop",bring about,'Bring about' va 'bring up' iboralarini chalkashtirmang; 'bring about' natija yoki o'zgarishni yuzaga keltirishni bildiradi.
carry out,phrasal verb,B2,"bajarmoq, amalga oshirmoq","выполнять, проводить","to perform or complete a task, instruction, or research",/ˈkæri aʊt/,20003,phrasal,Scientists will carry out further experiments to confirm the findings.,Olimlar xulosalarni tasdiqlash uchun qo'shimcha tajribalar o'tkazishadi.,"Ученые проведут дополнительные эксперименты, чтобы подтвердить выводы.","conduct, perform, execute","halt, neglect",carry out,'Carry out' iborasini so'zma-so'z 'ko'tarib chiqmoq' deb tushunmang; u vazifa yoki tajribani bajarishni anglatadi.
crack down,phrasal verb,B2,"qat'iy choralar ko'rmoq, keskin kurashmoq","принимать жесткие меры, бороться",to take strong or severe action to stop illegal or unacceptable behaviour,/kræk ˈdaʊn/,20005,phrasal,The council decided to crack down on illegal parking in the city centre.,Kengash shahar markazida noqonuniy avtoturargohlarga qarshi qat'iy choralar ko'rishga qaror qildi.,Совет решил принять жесткие меры против незаконной парковки в центре города.,"clamp down, enforce laws, suppress","tolerate, permit, indulge",crackdown (noun),"'Crack down' fe'lidan so'ng ob'ekt kelganda 'on' predlogi ishlatiladi ('crack down on'), 'for' deyish xatodir."
crop up,phrasal verb,B2,"kutilmaganda yuzaga kelmoq, to'satdan paydo bo'lmoq","неожиданно возникать, всплывать",to happen or appear unexpectedly,/krɒp ˈʌp/,20007,phrasal,A few unexpected problems cropped up during the negotiations.,Muzokaralar davomida bir nechta kutilmagan muammolar yuzaga keldi.,Во время переговоров возникло несколько неожиданных проблем.,"pop up, arise, turn up","disappear, vanish",crop up (verb),"Ushbu fe'l o'timli emas (intransitive), shuning uchun unga to'g'ridan-to'g'ri to'ldiruvchi elanib bo'lmaydi."
drag on,phrasal verb,B2,"cho'zilib ketmoq, uzoq davom etmoq","затягиваться, тянуться",to continue for a longer time than necessary or expected in a boring or tiring way,/dræɡ ˈɒn/,20009,phrasal,The court case dragged on for almost two years.,Sud ishi deyarli ikki yil cho'zilib ketdi.,Судебное разбирательство затянулось почти на два года.,"drag out, persist, prolong","finish quickly, conclude",drag on (verb),"'Drag on' jarayon yoki majlislar uchun ishlatiladi, inson obyekt sifatidagida emas."
fall through,phrasal verb,B2,"barbod bo'lmoq, amalga oshmay qolmoq","сорваться, провалиться",to fail to happen or be completed successfully,/fɔːl ˈθruː/,20011,phrasal,Our holiday plans fell through because of the flight cancellations.,Parvozlar bekor qilingani sababli dam olish rejalarimiz barbod bo'ldi.,Наши планы на отпуск сорвались из-за отмены рейсов.,"collapse, fail, miscarry","succeed, materialise, come off",fall through (verb),'Fall through' majhul nisbatda (passive voice) ishlatilmaydi; 'was fallen through' deyish xatodir.
iron out,phrasal verb,B2,"hal qilmoq, kelishib olmoq, bartaraf etmoq","улаживать, сглаживать","to resolve or remove small difficulties, doubts, or details",/aɪən ˈaʊt/,20013,phrasal,We need to iron out a few final details before signing the contract.,Shartnomani imzolashdan oldin bir nechta so'nggi tafsilotlarni hal qilib olishimiz kerak.,Нам нужно уладить несколько последних деталей перед подписанием контракта.,"resolve, settle, smooth over","complicate, aggravate",iron out (verb),"Kiyim dazmollash ma'nosi ham bor bo'lib, ko'chma ma'nosi muammolarni hal qilish ekanligini unutmaslik kerak."
narrow down,phrasal verb,B2,"qisqartirmoq, tanlovni kamaytirmoq","сузить, сократить",to reduce the number of possibilities or choices,/ˈnærəʊ ˈdaʊn/,20015,phrasal,We have narrowed down the list of candidates to just three people.,Biz nomzodlar ro'yxatini atigi uch kishigacha qisqartirdik.,Мы сократили список кандидатов всего до трех человек.,"reduce, limit, filter","broaden, expand, widen",narrow down (verb),"Natijani ko'rsatishda 'to' predlogi ishlatiladi ('narrow down to three'), 'into' emas."
phase out,phrasal verb,B2,"bosqichma-bosqich bekor qilmoq, foydalanishdan chiqarmoq","постепенно сворачивать, постепенно выводить из употребления",to stop using or providing something gradually in stages,/feɪz ˈaʊt/,20017,phrasal,The government plans to phase out single-use plastics by next year.,Hukumat kelasi yilgacha bir marta ishlatiladigan plastikni bosqichma-bosqich bekor qilishni rejalashtirmoqda.,Правительство планирует постепенно вывести из употребления одноразовый пластик к следующему году.,"withdraw, discontinue, eliminate","introduce, phase in, roll out",phase-out (noun),"'Phase out' bir lahzada to'xtatishni emas, balki bosqichma-bosqich jarayonni anglatadi."
wear off,phrasal verb,B2,"ta'siri yo'qolmoq, sekin-asta kamaymoq","проходить, постепенно исчезать","to gradually decrease in effect, intensity, or feeling",/weə ˈɒf/,20019,phrasal,The pain relief medication began to wear off after a few hours.,Bir necha soatdan keyin og'riqsizlantiruvchi dorining ta'siri kamaya boshladi.,Обезболивающее средство начало проходить через несколько часов.,"fade, subside, diminish","intensify, strengthen",wear off (verb),'Wear off' (ta'siri yo'qolishi) va 'wear out' (eskirib to'zish yoki juda charchash) chalkashtirilmasligi kerak.
