headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,synonyms,antonyms
the,determiner,A1,aniqlovchi artikl,определенный артикль,Used to point to a specific person or thing already mentioned or known.,ðə,4710,basics,The cat is sitting on the mat in the living room.,Mushuk yashash xonasidagi gilam ustida o'tiribdi.,,
for,preposition,A1,uchun,для,Used to show who or what is intended to have or receive something.,fɔː,4712,basics,I have a special birthday present for you to open today.,Menda bugun ochishing uchun maxsus tug'ilgan kun sovg'asi bor.,,
that,determiner,A1,o'sha,тот,Used to point to a person or thing that is not close to you.,ðət,4714,basics,Can you see that tall building across the busy street?,Ushbu gavjum ko'cha narigi tomonidagi baland binoni ko'ra olyapsizmi?,,this
you,pronoun,A1,sen siz,ты вы,Used to refer to the person or people being spoken or written to.,ju,4716,basics,Are you going to the market with your friends today?,Bugun do'stlaringiz bilan bozorga boryapsizmi?,,
not,adverb,A1,emas yo'q,не,Used to make a sentence or word negative.,nɒt,4718,basics,"I am not feeling very well, so I will stay home.","O'zimni yaxshi his qilmayapman, shuning uchun uyda qolaman.",,
are,verb,A1,bo'lmoq,есть,"A form of the verb be used with you, we, and they.",ə(ɹ),4720,basics,They are waiting for us at the station right now.,Ular hozir bizni vokzalda kutishmoqda.,,
your,determiner,A1,sening sizning,твой ваш,Belonging to or connected with the person being spoken to.,jɔː(ɹ),4722,basics,Please put your books back on the shelf after studying.,"Iltimos, dars qilib bo'lgach kitoblaringizni javonga qo'ying.",,
all,determiner,A1,hamma barcha,весь,Every one of a group of people or things.,ɔːl,4724,basics,All the students finished their work before the time ended.,Barcha talabalar o'z ishlarini vaqt tugamasdan yakunlashdi.,every whole,none
more,determiner,A1,ko'proq yanada,больше,A larger amount or number of something.,mɔː(ɹ),4726,basics,I need more time to finish my homework for this class.,Darsimni bajarish uchun menga ko'proq vaqt kerak.,extra additional,less
was,verb,A1,edi,был,"The past tense of the verb 'to be' for I, he, she, or it.",wəz,4728,basics,Yesterday was a very sunny day in our beautiful city.,Kecha bizning go'zal shahrimizda juda quyoshli kun edi.,,
will,verb,A1,bo'ladi -ajak,буду,Used to talk about things that are going to happen in the future.,wɪl,4730,basics,I will visit my grandparents in the countryside next weekend.,Kelasi dam olish kunlari qishloqdagi bobo-buvilarimnikiga boraman.,shall,
can,verb,A1,olmoq qila olmoq,мочь,To have the skill or ability to do something.,ˈkæn,4732,basics,My little sister can read books in English quite well.,Kichkina singlim ingliz tilida kitoblarni ancha yaxshi o'qiy oladi.,be able to,cannot
about,preposition,A1,haqida to'g'risida,о,On the subject of someone or something.,əˈbaʊ̯t,4734,basics,The teacher told us an interesting story about ancient history.,O'qituvchi bizga qadimiy tarix haqida qiziqarli hikoya aytib berdi.,concerning regarding,
page,noun,A1,bet sahifa,страница,One side of a piece of paper in a book.,peɪd͡ʒ,4736,school,"Please open your history textbook to page fifty-five, everyone.","Iltimos, hammangiz tarix darsligingizni ellik beshinchi betiga oching.",side leaf,
has,verb,A1,bor ega,имеет,"The third-person singular form of 'have', meaning to possess something.",hæz,4738,basics,She has a nice garden where she grows fresh vegetables.,Uning yangi sabzavotlar o'sadigan chiroyli bog'i bor.,owns possesses,
search,verb,A2,qidirmoq izlamoq,искать,To look carefully for someone or something that is missing.,sɜːt͡ʃ,4740,actions,They search the forest every day for the lost puppy.,Ular har kuni o'rmonda yo'qolgan kuchukchani qidirishadi.,seek look for,
free,adjective,A1,tekin bepul,бесплатный,Not costing any money to have or use.,fɹiː,4742,basics,The school provides free books for all of its new students.,Maktab barcha yangi o'quvchilari uchun bepul kitoblar bilan ta'minlaydi.,gratis costless,expensive
our,determiner,A1,bizning,наш,Belonging to us or associated with us.,ˈaʊ̯.əː,4744,basics,We are planning to visit our grandparents in the village today.,Bugun biz qishloqdagi bobo va buvimiznikiga bormoqchimiz.,,
one,pronoun,A1,bir,один,The single number between zero and two.,wʌn,4746,basics,I have one apple left in my bag for my snack.,Mening sumkamda tushlik uchun atigi bitta olma qoldi.,,
other,adjective,A2,boshqa,другой,Different from the one already mentioned or known.,ˈʌðə,4748,describing,Do you have any other ideas for the weekend trip plan?,Dam olish kuni sayohat rejasi uchun boshqa fikrlaringiz bormi?,additional another,
information,noun,A2,ma'lumot,информация,"Facts or details about a person, event, or situation.",ˌɪn.fəˈmeɪ.ʃn̩,4750,ielts,You can find more information about this course on the website.,Ushbu kurs haqida ko'proq ma'lumotni veb-saytdan topishingiz mumkin.,data details,
they,pronoun,A1,ular,они,Used to refer to two or more people or things previously mentioned.,ˈðeɪ̯,4752,basics,They are going to the library to study for their exams.,Ular imtihonlarga tayyorlanish uchun kutubxonaga ketishmoqda.,,
site,noun,B1,joy joylashuv,местоположение,A place where a building or event is located.,saɪt,4754,places,The company chose a perfect site for their new office building.,Kompaniya o'zining yangi ofis binosi uchun mukammal joyni tanladi.,location place,
may,verb,A2,mumkin bo'lmoq,мочь,Used to show that something is possible but not certain.,meɪ,4756,ielts,We may go to the mountains if the weather stays nice.,"Agar ob-havo yaxshi bo'lsa, biz tog'larga borishimiz mumkin.",might,
what,pronoun,A1,nima nima narsalar,что,Used to ask for information about things or actions.,wɒt,4758,basics,What is your name and where are you from?,Ismingiz nima va qayerdansiz?,,
which,determiner,A2,qaysi,который,Used to ask for a choice between a limited number of things.,wɪt͡ʃ,4760,basics,Which shirt do you want to wear today?,Bugun qaysi ko'ylakni kiyishni xohlaysiz?,,
their,determiner,A1,ularning,их,Belonging to or related to a group of people previously mentioned.,ðɛə,4762,basics,The students are happy with their exam results.,Talabalar o'zlarining imtihon natijalaridan xursand.,,
news,noun,A2,yangilik xabar,новости,New information about events that happen in the world.,njuːz,4764,basics,I watched the morning news on television yesterday.,Kecha televizorda tonggi yangiliklarni ko'rdim.,reports information,
out,adverb,A2,tashqari tashqariga,вне,Moving away from the inside of a place or container.,ˈäʊ̯t,4766,basics,"It is a sunny day, let us go out for a walk.","Havo quyoshli, keling, sayrga chiqamiz.",,in
any,determiner,A1,biror har qanday,какой-нибудь,"Used to refer to one or some of a thing, no matter how much.",ɛni,4768,basics,Do you have any questions about this lesson?,Ushbu dars haqida biron savolingiz bormi?,some,no
only,adverb,A2,faqatgina bor-yo'g'i,только,Nothing more than what is specified or described.,ˈəʊn.li,4770,describing,I only have five dollars in my wallet right now.,Hozir hamyonimda bor-yo'g'i besh dollarim bor.,just solely,
his,determiner,A1,uning,его,Belonging to or connected with a male person.,ɪz/ [ɪ̈z],4772,basics,He left his umbrella in the office by mistake.,U soyabonini adashib ofisda qoldirib ketdi.,,
when,conjunction,A1,qachon,когда,At the time that something else happens.,ˈwɛn,4774,time,I get happy when I see my friends at the park.,Do'stlarimni parkda ko'rganimda xursand bo'laman.,,
contact,verb,B1,aloqa qilmoq bog'lanmoq,связываться,To call or write to someone to give or receive information.,ˈkɑntækt,4776,work,Please contact us if you have any more questions about this.,Agar bu haqda yana savollaringiz bo'lsa biz bilan bog'laning.,reach,
business,noun,A2,biznes korxona,бизнес,"The activity of making, buying, or selling goods or services for money.",ˈbɪz.nɪs,4778,work,She decided to start her own business after leaving university.,U universitetni tugatgach o'z biznesini boshlashga qaror qildi.,company firm,
who,pronoun,A1,kim,кто,Used to ask about the name or identity of a person.,huː,4780,basics,Do you know who is coming to the party tonight?,Bugun oqshom partiga kim kelayotganini bilasizmi?,,
web,noun,A2,internet tarmoq,сеть,The system of connected pages on the internet.,wɛb,4782,school,I found all the information I needed on the web today.,Bugun menga kerak bo'lgan barcha ma'lumotni internetdan topdim.,,
view,noun,B1,qarash fikr,взгляд,An opinion or way of thinking about a particular subject.,vjuː,4784,ielts,"In my view, education is the most important thing for success.","Mening fikrimcha, ta'lim muvaffaqiyat uchun eng muhim narsadir.",opinion belief,
online,adjective,A2,internetdagi onlayn,онлайн,Connected to or available through the internet.,ˈɒnlaɪn,4786,school,Many students prefer to take online classes from their home.,Ko'p talabalar uydan turib onlayn darslarda qatnashishni ma'qul ko'rishadi.,,
first,adjective,A1,birinchi,первый,Coming before all others in time or order.,fɜːst,4788,basics,It was my first time visiting a foreign country last year.,O'tgan yili xorijiy davlatga birinchi marta tashrif buyurgan edim.,,last
been,verb,A1,bo'lgan,был,"The past participle form of the verb be, used to describe completed actions or states.",bɪn,4790,basics,I have been to the city center many times this year.,Men bu yil shahar markazida ko'p marta bo'lganman.,,
would,verb,A2,bo'lardi -ardi,бы,"A word used to talk about possible, imagined, or polite future actions.",wəd,4792,basics,I would visit you if I had more free time today.,"Agar bugun ko'proq vaqtim bo'lganda, siznikiga borardim.",,
how,adverb,A1,qanday qanaqa,как,Used to ask about the way or condition of something or someone.,haʊ,4794,basics,Can you explain how this machine works for us please?,"Iltimos, bu mashina qanday ishlashini bizga tushuntirib bera olasizmi?",,
were,verb,A1,edinlar edik,были,"The plural past tense of the verb be, used with we, you, and they.",wə(ɹ),4796,basics,We were very happy when we heard the good news yesterday.,Kecha xushxabarni eshitganimizda juda xursand edik.,,
services,noun,B1,xizmatlar servislar,услуги,Useful work or help that a person or company provides to others.,ˈsɜː.vɪ.sɪz,4798,work,The bank offers many useful financial services to its local customers.,Bank o'z mahalliy mijozlariga ko'plab foydali moliyaviy xizmatlarni taklif etadi.,support help,
some,determiner,A1,bir qancha biroz,некоторые,"An amount or number that is not specified, but is not zero.",sʌm,4800,basics,I need some help to finish this difficult task on time.,Ushbu qiyin vazifani o'z vaqtida tugatish uchun menga biroz yordam kerak.,several any,no
these,determiner,A1,bular bu,эти,"Plural of this, used to point to things near the speaker.",ðiːz,4802,basics,"Are these keys yours, or did you find them on the table?",Bu kalitlar siznikimi yoki ularni stoldan topib oldingizmi?,,
click,verb,A2,bosmoq chertmoq,нажимать,To press a button on a computer mouse to select or open something.,klɪk,4804,actions,You need to click the blue icon to start the program.,Dasturni ishga tushirish uchun ko'k rangli belgini bosishingiz kerak.,press tap,
its,determiner,A1,uning,его,Belonging to a thing or animal.,ɪts,4806,basics,The cat hurt its leg while jumping off the wall.,Mushuk devordan sakrayotganda oyog'ini shikastlab oldi.,,
service,noun,A2,xizmat,услуга,Help or work done by someone for another person or organization.,ˈsɜː.vɪs,4808,work,The customer was very happy with the service at the hotel.,Mijoz mehmonxonadagi xizmatdan juda mamnun bo'ldi.,assistance help,
than,conjunction,A1,qaraganda ko'ra,чем,"Used to compare two different things, people, or amounts.",ðæn,4810,describing,My brother is much taller than I am.,Akam mendan ancha baland bo'yli.,,
date,noun,A1,sana vaqt,дата,A specific day of the month or year.,deɪt,4812,time,What is the date of your birthday celebration?,Tug'ilgan kuningiz nishonlanadigan sana qaysi?,day,
top,noun,A1,ust qism cho'qqi,верх,The highest part or surface of something.,tɒp,4814,describing,We climbed to the top of the mountain to see the view.,Manzarani ko'rish uchun tog'ning cho'qqisiga chiqdik.,peak summit,bottom
had,verb,A1,ega edi,имел,The past form of the verb have.,hæd,4816,actions,I had a busy day at work yesterday.,Kecha ishda juda band kunim bo'ldi.,,
just,adverb,A2,shunchaki faqat,просто,Simply or only.,d͡ʒʌst,4818,describing,I just want to relax and read a book.,Men shunchaki dam olib kitob o'qimoqchiman.,simply only,
over,adjective,A2,tugagan tamom,законченный,Finished or ended.,ˈəʊ̯.və,4820,time,The movie is over so we should leave now.,"Kino tugadi, shuning uchun endi ketishimiz kerak.",finished ended,
state,verb,B2,bayon qilmoq qayd etmoq,"заявлять, констатировать",To express something clearly and formally in speech or writing.,steɪt,4822,ielts,The report will state the facts clearly for all the committee members.,Hisobot barcha qo'mita a'zolari uchun faktlarni aniq bayon qiladi.,declare express,
into,preposition,A1,ichiga sari,"в, внутрь",Used to show movement to a position inside something.,ˈɪn.tuː,4824,basics,She walked into the room and sat down on the comfortable chair.,U xonaga kirdi va qulay stulga o'tirdi.,,
email,noun,A1,elektron xat,электронная почта,A message sent from one computer to another using the internet.,ˈiːmeɪl,4826,work,I sent an email to my teacher about the next school project.,Men o'qituvchimga keyingi maktab loyihasi haqida elektron xat yubordim.,mail,post
two,noun,A1,ikki,два,The number that comes after one and before three.,tu,4828,basics,I have two sisters who are both older than me in age.,"Mening ikkita opam bor, ikkalasi ham mendan yoshi katta.",,
world,noun,A1,dunyo olam,мир,"The earth and all the people, places, and things on it.",wɜːld,4830,nature,There are many different countries all around the world to visit today.,Bugun dunyo bo'ylab tashrif buyurish uchun ko'plab turli mamlakatlar mavjud.,earth,
next,adjective,A1,keyingi navbatdagi,следующий,"Coming immediately after the current person, thing, or time.",nɛkst,4832,time,We will have our next English lesson on Monday morning at nine.,Biz keyingi ingliz tili darsimizni dushanba kuni soat to'qqizda o'tamiz.,following,previous
used,adjective,A2,ishlatilgan ikkinchi qo'l,подержанный,Something that has been owned or operated by someone else before.,juːzd,4834,describing,My brother bought a used car because it was much cheaper today.,"Akam ishlatilgan mashina sotib oldi, chunki u bugun ancha arzon edi.",second-hand,new
last,adjective,A1,oxirgi so'nggi,последний,Coming after all others in time or order; final.,lɑːst,4836,time,"This is the last piece of cake, so please take it now.","Bu tortning oxirgi bo'lagi, shuning uchun iltimos uni hozir oling.",final,first
most,determiner,A1,ko'pchiligi aksariyati,большинство,The greatest amount of something or the majority of a group.,ˈməʊst,4838,basics,Most people like to spend time with their families on weekends.,Ko'pchilik dam olish kunlarini oilasi bilan o'tkazishni yoqtiradi.,,least
products,noun,A2,mahsulotlar,продукты,Things that are made or grown to be sold.,ˈpɹɒd.əkts,4840,work,The store sells fresh local products every day of the week.,Do'kon har hafta yangi mahalliy mahsulotlarni sotadi.,goods merchandise,
music,noun,A1,musiqa,музыка,Sounds arranged in a way that is pleasant or interesting to listen to.,ˈmjuː.zɪk,4842,basics,I listen to relaxing music when I want to focus on work.,Ishga diqqatimni qaratmoqchi bo'lganimda tinchlantiruvchi musiqa eshitaman.,,
