headword,pos,example_en,example_uz
a ballpark figure,idiom,That's just a ballpark figure; the real price might be higher.,"Bu shunchaki chamalab aytilgan raqam, asl narx bundan yuqoriroq bo'lishi mumkin."
a ballpark figure,idiom,He gave us a ballpark figure of how many guests might attend.,U bizga qancha mehmon kelishi mumkinligi haqida taxminiy hisob-kitobni aytdi.
a bit of a long shot,idiom,"It's a long shot, but we could try calling them one more time.","Ozgina gumonli bo'lsa ham, ularga yana bir bor qo'ng'iroq qilib ko'rishimiz mumkin."
a bit of a long shot,idiom,Winning the lottery is always a bit of a long shot.,Lotereyada yutib chiqish doim amalga oshishi qiyin bo'lgan ish.
a bit of a pain,idiom,Setting up all this equipment is a bit of a pain.,Bu jihozlarning barchasini o'rnatish bir oz noqulaylik tug'diradi.
a bit of a pain,idiom,It's a bit of a pain that the gym is closed on Sundays.,Sport zalining yakshanba kunlari yopiq bo'lishi bir oz noqulaylik tug'diradi.
a clear-cut benefit,idiom,The higher salary is a clear-cut benefit of this job offer.,Kattaroq maosh — bu ish taklifining yaqqol ko'zga tashlanadigan afzalligidir.
a clear-cut benefit,idiom,One clear-cut benefit of remote work is the reduction in travel expenses.,Masofadan ishlashning yaqqol ko'zga tashlanadigan afzalliklaridan biri — yo'l xarajatlarining kamayishidir.
a far cry from,idiom,The current political climate is a far cry from what we were promised.,Hozirgi siyosiy vaziyat bizga va'da qilinganidan tubdan farq qiladi.
a far cry from,idiom,The sequel is a far cry from the brilliance of the first film.,Filmning davomi birinchi qismning yuksak saviyasidan tubdan farq qiladi.
a flying visit,idiom,"I can only pay a flying visit to your city, but I hope to see the main sights.","Shahringizga faqat juda qisqa muddatga kela olaman, ammo asosiy diqqatga sazovor joylarni ko'rishga umid qilaman."
a flying visit,idiom,She made a flying visit to see her parents before catching her flight.,U samolyotga chiqishdan oldin ota-onasini ko'rish uchun birrovga kirib o'tdi.
