headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,synonyms,antonyms
add up,phrasal verb,B1,ma’noli bo‘lmoq,сходиться,to make sense,æd ʌp,34261,phrasal,His story does not add up.,Uning hikoyasi mantiqqa to‘g‘ri kelmaydi.,make sense | tally,contradict | fail
barge in,phrasal verb,B2,beso‘roq kirib kelmoq,врываться,to enter rudely,bɑːdʒ ɪn,34262,phrasal,Please do not barge in during meetings.,Iltimos yig‘ilishlarda beso‘roq kirib kelmang.,interrupt | intrude,wait | withdraw
be snowed under,idiom,B2,ish ko‘pligidan boshi qotmoq,быть заваленным делами,to have too much work,bi snəʊd ˈʌndə,34263,idioms,Use be snowed under when deadlines pile up.,Muddatlar ko‘payganda ish ko‘pligidan boshi qotmoq deyiladi.,overloaded | swamped,free | idle
bottle up,phrasal verb,C1,ichiga yutmoq,сдерживать,to hide strong feelings,ˈbɒtl ʌp,34264,phrasal,Do not bottle up your anger.,Jahlingizni ichingizga yutmang.,suppress | hide,express | reveal
fit in,phrasal verb,B1,moslashmoq,вписаться,to feel accepted in a group,fɪt ɪn,34265,phrasal,New students want to fit in quickly.,Yangi talabalar tez moslashishni xohlaydi.,belong | adapt,stand out | clash
freak out,phrasal verb,B2,vahimaga tushmoq,паниковать,to become very upset,friːk aʊt,34266,phrasal,Do not freak out before the test.,Testdan oldin vahimaga tushmang.,panic | worry,relax | settle
go along with,phrasal verb,B2,rozi bo‘lmoq,согласиться с,to accept an idea,ɡəʊ əˈlɒŋ wɪð,34267,phrasal,I cannot go along with that plan.,Men bu rejaga rozi bo‘la olmayman.,accept | support,reject | oppose
keep off,phrasal verb,B1,ustiga chiqmaslik,не наступать,to avoid touching or entering,kiːp ɒf,34268,phrasal,Please keep off the grass.,Iltimos maysaning ustiga chiqmang.,avoid | stay away,enter | step
make out,phrasal verb,B2,arang tushunmoq,разобрать,to manage to see or hear,meɪk aʊt,34269,phrasal,I cannot make out the handwriting.,Men yozuvni arang ham tushunmayapman.,discern | detect,miss | overlook
reach out,phrasal verb,B2,aloqaga chiqmoq,связаться,to contact someone,riːtʃ aʊt,34270,phrasal,Please reach out if you need help.,Yordam kerak bo‘lsa aloqaga chiqing.,contact | approach,ignore | avoid
run over,phrasal verb,B1,bosib ketmoq,переехать,to hit with a vehicle,rʌn ˈəʊvə,34271,phrasal,A car could run over the sign.,Mashina belgini bosib ketishi mumkin.,hit | crush,avoid | miss
see off,phrasal verb,B1,kuzatib qo‘ymoq,проводить,to say goodbye at departure,siː ɒf,34272,phrasal,We went to see off our guests.,Mehmonlarni kuzatib qo‘yishga bordik.,farewell | accompany,welcome | greet
switch off,phrasal verb,A2,o‘chirmoq,выключить,to turn something off,swɪtʃ ɒf,34273,phrasal,Switch off the lights before leaving.,Ketishdan oldin chiroqlarni o‘chiring.,turn off | stop,activate | start
watch out,phrasal verb,A2,ehtiyot bo‘lmoq,остерегаться,to be careful,wɒtʃ aʊt,34274,phrasal,Watch out for icy roads.,Muzlagan yo‘llardan ehtiyot bo‘ling.,beware | notice,ignore | risk
wrap up,phrasal verb,B1,yakunlamoq,завершить,to finish something,ræp ʌp,34275,phrasal,Let us wrap up the meeting.,Keling yig‘ilishni yakunlaymiz.,finish | conclude,start | begin
a piece of cake,idiom,B1,juda oson ish,проще простого,something very easy,ə piːs əv keɪk,34276,idioms,The quiz was a piece of cake.,Test juda oson bo‘ldi.,easy task | breeze,challenge | ordeal
a tough nut to crack,idiom,C1,qiyin masala,крепкий орешек,a difficult problem or person,ə tʌf nʌt tə kræk,34277,idioms,This case is a tough nut to crack.,Bu ish qiyin masala.,hard problem | challenge,easy task | simple case
