headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,synonyms,antonyms
abrogate,verb,C2,bekor qilmoq,отменять,to officially end a law or agreement,ˈæbrəɡeɪt,34100,describing,The court may abrogate the outdated rule.,Sud eskirgan qoidani bekor qilishi mumkin.,repeal | revoke,enact
abstruse,adjective,C2,tushunishi qiyin,заумный,difficult to understand,æbˈstruːs,34101,describing,The article uses abstruse philosophical language.,Maqolada tushunishi qiyin falsafiy til ishlatilgan.,obscure | complex,clear
accolade,noun,C2,yuksak e'tirof,награда,an award or expression of praise,ˈækəleɪd,34102,describing,The scientist received an accolade for her work.,Olim ayol ishi uchun yuksak e'tirof oldi.,honour | praise,criticism
acquiescent,adjective,C2,indamay rozi bo'ladigan,покорный,willing to accept something without protest,ˌækwiˈesnt,34103,describing,He was acquiescent during the negotiations.,U muzokaralar paytida indamay rozi bo'ldi.,compliant | passive,defiant
acrimony,noun,C2,achchiq adovat,ожесточение,bitter anger between people,ˈækrɪməni,34104,describing,The debate ended in acrimony.,Bahs achchiq adovat bilan tugadi.,bitterness | hostility,harmony
admonitory,adjective,C2,ogohlantiruvchi,предостерегающий,intended to warn someone,ədˈmɒnɪtəri,34105,describing,Her admonitory tone made everyone quiet.,Uning ogohlantiruvchi ohangi hammani jim qildi.,warning | cautionary,encouraging
adulterate,verb,C2,soxtalashtirmoq,фальсифицировать,to make something impure by adding another substance,əˈdʌltəreɪt,34106,describing,Some sellers adulterate milk with water.,Ba'zi sotuvchilar sutni suv qo'shib soxtalashtiradilar.,contaminate | taint,purify
agnostic,adjective,C2,aniq fikr bildirmaydigan,агностический,not claiming to know whether something is true,æɡˈnɒstɪk,34107,describing,She is agnostic about the proposed solution.,U taklif qilingan yechim haqida aniq fikr bildirmaydi.,uncertain | undecided,certain
alchemy,noun,C2,sirli o'zgartirish san'ati,алхимия,a process that seems to change something magically,ˈælkəmi,34108,describing,The chef turned simple food into alchemy.,Oshpaz oddiy taomni go'yo sirli san'atga aylantirdi.,magic | transformation,ordinary work
allegiance,noun,C2,sadoqat,верность,loyalty to a person or group,əˈliːdʒəns,34109,describing,The soldiers pledged allegiance to their country.,Askarlar o'z yurtiga sadoqat bildirdilar.,loyalty | devotion,betrayal
allusion,noun,C2,ishora,намек,an indirect reference to something,əˈluːʒn,34110,describing,The poem contains an allusion to Greek myth.,She'rda yunon afsonasiga ishora bor.,reference | hint,statement
altruistic,adjective,C2,beg'araz,альтруистический,caring about others without seeking benefit,ˌæltruˈɪstɪk,34111,describing,Her altruistic work helped many families.,Uning beg'araz ishi ko'p oilalarga yordam berdi.,selfless | charitable,selfish
amalgam,noun,C2,aralash birikma,смесь,a mixture of different things,əˈmælɡəm,34112,describing,The city is an amalgam of many cultures.,Shahar ko'plab madaniyatlarning aralash birikmasidir.,mixture | blend,separation
ambivalence,noun,C2,ikkilanish,двойственное отношение,uncertain feelings between two choices,æmˈbɪvələns,34113,describing,She felt ambivalence about moving abroad.,U xorijga ko'chish haqida ikkilandi.,uncertainty | conflict,certainty
animosity,noun,C2,adovat,враждебность,strong dislike or hostility,ˌænɪˈmɒsəti,34114,describing,There was long-standing animosity between them.,Ular orasida uzoq yillik adovat bor edi.,hostility | hatred,friendship
annihilate,verb,C2,butunlay yo'q qilmoq,уничтожать,to destroy something completely,əˈnaɪəleɪt,34115,describing,The explosion could annihilate the small structure.,Portlash kichik inshootni butunlay yo'q qilishi mumkin.,destroy | eliminate,create
apocryphal,adjective,C2,ishonchliligi shubhali,апокрифический,probably not true although widely repeated,əˈpɒkrɪfl,34116,describing,The story about him is probably apocryphal.,U haqidagi hikoya ehtimol ishonchliligi shubhali.,unverified | doubtful,authentic
appeasement,noun,C2,yon berib tinchlantirish,умиротворение,the act of calming someone by giving them what they want,əˈpiːzmənt,34117,describing,Appeasement did not stop the conflict.,Yon berib tinchlantirish mojaroni to'xtatmadi.,conciliation | compromise,resistance
apposite,adjective,C2,juda o'rinli,уместный,very suitable for a situation,ˈæpəzɪt,34118,describing,Her apposite comment clarified the issue.,Uning juda o'rinli izohi masalani aniqlashtirdi.,relevant | fitting,irrelevant
ascetic,adjective,C2,zohidona,аскетичный,avoiding physical pleasures,əˈsetɪk,34119,describing,He followed an ascetic lifestyle in the mountains.,U tog'larda zohidona hayot tarziga amal qildi.,austere | self-denying,indulgent
