headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,synonyms,antonyms
tiger,noun,A2,yo'lbars,тигр,A large wild cat with orange and black stripes.,ˈtaɪɡə,1700,animals,The tiger sleeps during the day.,Yo'lbars kunduzi uxlaydi.,,
bear,noun,A2,ayiq,медведь,A large heavy wild animal with thick fur.,beə,1702,animals,Bears sleep all winter.,Ayiqlar butun qish uxlaydi.,,
wolf,noun,A2,bo'ri,волк,A wild animal like a large dog.,wʊlf,1704,animals,Wolves live in groups.,Bo'rilar to'da bo'lib yashaydi.,,
fox,noun,A2,tulki,лиса,A wild animal with red fur and a thick tail.,fɒks,1706,animals,The fox is a clever animal.,Tulki ayyor hayvon.,,
rabbit,noun,A2,quyon,кролик,A small animal with long ears.,ˈræbɪt,1708,animals,The rabbit eats carrots.,Quyon sabzi yeydi.,,
goat,noun,A2,echki,коза,A farm animal with horns that gives milk.,ɡəʊt,1710,animals,Goats can climb mountains.,Echkilar toqqa chiqa oladi.,,
camel,noun,A2,tuya,верблюд,A desert animal with one or two humps.,ˈkæml,1712,animals,Camels can live without water for days.,Tuyalar kunlab suvsiz yashay oladi.,,
eagle,noun,A2,burgut,орёл,A large strong bird that hunts.,ˈiːɡl,1714,animals,The eagle flew over the mountains.,Burgut tog'lar uzra uchdi.,,
snake,noun,A2,ilon,змея,A long animal with no legs.,sneɪk,1716,animals,Some snakes are dangerous.,Ba'zi ilonlar xavfli.,,
butterfly,noun,A2,kapalak,бабочка,An insect with large colourful wings.,ˈbʌtəflaɪ,1718,animals,A butterfly landed on the flower.,Kapalak gulga qo'ndi.,,
spider,noun,A2,o'rgimchak,паук,A small creature with eight legs.,ˈspaɪdə,1720,animals,The spider made a web.,O'rgimchak to'r to'qidi.,,
whale,noun,A2,kit,кит,The largest animal that lives in the sea.,weɪl,1722,animals,Whales are not fish.,Kitlar baliq emas.,,
duck,noun,A2,o'rdak,утка,A water bird with a wide flat beak.,dʌk,1724,animals,Ducks swim on the lake.,O'rdaklar ko'lda suzadi.,,
owl,noun,A2,boyqush,сова,A bird that hunts at night.,aʊl,1726,animals,Owls can see in the dark.,Boyqushlar qorong'uda ko'ra oladi.,,
donkey,noun,A2,eshak,осёл,A farm animal like a small horse with long ears.,ˈdɒŋki,1728,animals,The donkey carried the bags.,Eshak yuklarni tashidi.,,
mosque,noun,A2,masjid,мечеть,A building where Muslims pray.,mɒsk,1730,places,The old mosque is very beautiful.,Eski masjid juda chiroyli.,,
stadium,noun,A2,stadion,стадион,A large building for sports and concerts.,ˈsteɪdiəm,1732,places,The stadium holds 30000 people.,Stadion 30000 kishini sig'diradi.,,
pharmacy,noun,A2,dorixona,аптека,A shop that sells medicine.,ˈfɑːməsi,1734,places,Is there a pharmacy near here?,Yaqin atrofda dorixona bormi?,chemist,
square,noun,A2,maydon,площадь,An open area in the middle of a town.,skweə,1736,places,People gathered in the main square.,Odamlar bosh maydonga yig'ilishdi.,,
castle,noun,A2,qal'a,замок,A large old building with strong walls.,ˈkɑːsl,1738,places,The castle is a thousand years old.,Qal'a ming yoshda.,fortress,
zoo,noun,A2,hayvonot bog'i,зоопарк,A place where wild animals are kept for people to see.,zuː,1740,places,We saw elephants at the zoo.,Hayvonot bog'ida fillarni ko'rdik.,,
farm,noun,A2,ferma,ферма,Land and buildings for growing food and keeping animals.,fɑːm,1742,places,My uncle works on a farm.,Amakim fermada ishlaydi.,,
playground,noun,A2,o'yin maydonchasi,детская площадка,An outdoor area where children play.,ˈpleɪɡraʊnd,1744,places,The children ran to the playground.,Bolalar o'yin maydonchasiga yugurishdi.,,
port,noun,B1,port,порт,A place where ships load and unload.,pɔːt,1746,places,The ship arrived at the port.,Kema portga yetib keldi.,harbour,
skirt,noun,A2,yubka,юбка,A piece of clothing that hangs from the waist.,skɜːt,1748,clothes,She wore a long blue skirt.,U uzun ko'k yubka kiydi.,,
scarf,noun,A2,sharf,шарф,A piece of cloth worn around the neck.,skɑːf,1750,clothes,Wear a scarf — it's cold outside.,Sharf o'rang — tashqarida sovuq.,,
gloves,noun,A2,qo'lqop,перчатки,Coverings for the hands with separate fingers.,ɡlʌvz,1752,clothes,I lost one of my gloves.,Qo'lqopimning bittasini yo'qotdim.,,
