headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,synonyms,antonyms
analyse,verb,B2,tahlil qilmoq,анализировать,To study something carefully to understand it.,ˈænəlaɪz,2000,ielts,Analyse the data before drawing conclusions.,Xulosa chiqarishdan oldin ma'lumotlarni tahlil qiling.,examine,
approach,noun,B2,yondashuv,подход,A way of dealing with something.,əˈprəʊtʃ,2002,ielts,We need a new approach to teaching.,O'qitishga yangi yondashuv kerak.,method,
aspect,noun,B2,jihat,аспект,One part or feature of something.,ˈæspekt,2004,ielts,Consider every aspect of the problem.,Muammoning har bir jihatini ko'rib chiqing.,facet,
authority,noun,B2,hokimiyat,власть,The power to make decisions; an official organization.,ɔːˈθɒrəti,2006,ielts,Local authorities closed the road.,Mahalliy hokimiyat yo'lni yopdi.,,
available,adjective,B2,mavjud,доступный,Able to be used or obtained.,əˈveɪləbl,2008,ielts,The report is available online.,Hisobot internetda mavjud.,accessible,unavailable
concept,noun,B2,tushuncha,концепция,An abstract idea.,ˈkɒnsept,2010,ielts,Freedom is a difficult concept to define.,Erkinlik ta'riflash qiyin tushuncha.,idea,
conclude,verb,B2,xulosa qilmoq,заключать,To decide after considering the evidence.,kənˈkluːd,2012,ielts,The study concluded that exercise improves memory.,Tadqiqot mashq xotirani yaxshilaydi degan xulosaga keldi.,,
conduct,verb,B2,o'tkazmoq,проводить,To organize and carry out an activity.,kənˈdʌkt,2014,ielts,Scientists conducted a series of experiments.,Olimlar bir qator tajribalar o'tkazishdi.,carry out,
consistent,adjective,B2,izchil barqaror,последовательный,Always behaving or happening the same way.,kənˈsɪstənt,2016,ielts,Her results are consistent across all tests.,Uning natijalari barcha testlarda barqaror.,steady,inconsistent
constitute,verb,C1,tashkil etmoq,составлять,To form or make up something.,ˈkɒnstɪtjuːt,2018,ielts,Women constitute half of the workforce.,Ayollar ishchi kuchining yarmini tashkil etadi.,form,
context,noun,B2,kontekst,контекст,The situation in which something happens.,ˈkɒntekst,2020,ielts,The word changes meaning depending on context.,So'z kontekstga qarab ma'nosini o'zgartiradi.,,
