headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,synonyms,antonyms
look forward to,phrasal verb,B1,intiqlik bilan kutmoq,с нетерпением ждать,To feel excited about something that will happen.,lʊk ˈfɔːwəd tuː,4550,phrasal,I look forward to seeing you next week.,Kelasi hafta siz bilan ko'rishishni intiqlik bilan kutaman.,await,
get over,phrasal verb,B1,o'zini o'nglab olmoq tuzalmoq,оправиться,To recover from an illness or a disappointment.,ɡet ˈəʊvə,4552,phrasal,It took her weeks to get over the flu.,Gripdan tuzalishi uchun unga bir necha hafta kerak bo'ldi.,recover,
take off,phrasal verb,B1,parvoz qilmoq; yechmoq,взлетать; снимать,To leave the ground (plane); to remove clothing.,teɪk ɒf,4554,phrasal,The plane takes off at noon.,Samolyot tushda parvoz qiladi.,,land
put up with,phrasal verb,B2,chidamoq toqat qilmoq,терпеть,To tolerate something unpleasant.,pʊt ʌp wɪð,4556,phrasal,I can't put up with this noise any longer.,Bu shovqinga boshqa chiday olmayman.,tolerate,
turn up,phrasal verb,B2,kelib qolmoq paydo bo'lmoq,появиться,"To arrive or appear, often unexpectedly.",tɜːn ʌp,4558,phrasal,He turned up an hour late.,U bir soat kechikib keldi.,appear,
look up,phrasal verb,B1,lug'atdan qaramoq izlamoq,искать (в словаре),To search for information in a book or online.,lʊk ʌp,4560,phrasal,Look up any new word in the dictionary.,Har qanday yangi so'zni lug'atdan qarang.,,
give in,phrasal verb,B2,taslim bo'lmoq yon bermoq,уступить,To finally agree to something after resisting.,ɡɪv ɪn,4562,phrasal,The children begged until their father gave in.,Bolalar otasi yon bergunicha yolvorishdi.,surrender,resist
take after,phrasal verb,B2,o'xshamoq tortmoq,быть похожим,To look or behave like an older family member.,teɪk ˈɑːftə,4564,phrasal,She takes after her mother.,U onasiga tortgan.,resemble,
get by,phrasal verb,B2,kun ko'rmoq amallab yashamoq,сводить концы с концами,To manage to live with the money or things you have.,ɡet baɪ,4566,phrasal,They get by on one small salary.,Ular bitta kichik maoshga kun ko'rishadi.,manage,
hold on,phrasal verb,B1,kutib turmoq,подождать,To wait for a short time.,həʊld ɒn,4568,phrasal,"Hold on, I'll check for you.","Kutib turing, siz uchun tekshirib ko'raman.",wait,
let down,phrasal verb,B2,umidini puchga chiqarmoq,подвести,To disappoint someone who trusted you.,let daʊn,4570,phrasal,Don't let your team down.,Jamoangizni umidini puchga chiqarmang.,disappoint,
look into,phrasal verb,B2,tekshirmoq o'rganib chiqmoq,расследовать,To investigate or examine a problem.,lʊk ˈɪntuː,4572,phrasal,The manager promised to look into the complaint.,Menejer shikoyatni tekshirishga va'da berdi.,investigate,
make up,phrasal verb,B2,to'qib chiqarmoq; yarashmoq,выдумывать; мириться,To invent a story; to become friends again after a quarrel.,meɪk ʌp,4574,phrasal,He made up an excuse for being late.,U kechikkani uchun bahona to'qib chiqardi.,invent,
point out,phrasal verb,B2,ta'kidlab ko'rsatmoq,указывать,To draw attention to a fact or mistake.,pɔɪnt aʊt,4576,phrasal,She pointed out an error in my report.,U hisobotimdagi xatoni ko'rsatib berdi.,indicate,
put on,phrasal verb,A2,kiymoq,надевать,To dress yourself in a piece of clothing.,pʊt ɒn,4578,phrasal,Put on your coat — it's cold outside.,Paltoyingizni kiying — tashqarida sovuq.,wear,take off
run into,phrasal verb,B2,duch kelib qolmoq,случайно встретить,To meet someone by chance.,rʌn ˈɪntuː,4580,phrasal,I ran into an old friend at the market.,Bozorda eski do'stimga duch kelib qoldim.,encounter,
show up,phrasal verb,B2,kelmoq paydo bo'lmoq,явиться,"To arrive, especially at an event where people expect you.",ʃəʊ ʌp,4582,phrasal,Only half the guests showed up.,Mehmonlarning faqat yarmi keldi.,arrive,
sort out,phrasal verb,B2,hal qilmoq tartibga solmoq,уладить,To solve a problem or organise something.,sɔːt aʊt,4584,phrasal,We need to sort out the payment issue first.,Avval to'lov masalasini hal qilishimiz kerak.,resolve,
take over,phrasal verb,B2,nazoratni qo'lga olmoq,взять под контроль,To take control of something from someone else.,teɪk ˈəʊvə,4586,phrasal,A larger company took over the factory.,Kattaroq kompaniya zavodni o'z qo'liga oldi.,,
turn out,phrasal verb,B2,bo'lib chiqmoq,оказаться,To happen or end in a particular way.,tɜːn aʊt,4588,phrasal,The rumour turned out to be true.,Mish-mish rost bo'lib chiqdi.,prove,
back up,phrasal verb,B2,qo'llab-quvvatlamoq; nusxa saqlamoq,поддержать; сделать копию,To support someone; to make a copy of computer data.,bæk ʌp,4590,phrasal,Back up your files every week.,Fayllaringizning nusxasini har hafta saqlab qo'ying.,support,
blow up,phrasal verb,B2,portlamoq; birdan jahli chiqmoq,взорваться,To explode; to suddenly become very angry.,bləʊ ʌp,4592,phrasal,The old bridge was blown up in the war.,Eski ko'prik urushda portlatib yuborilgan.,explode,
break up,phrasal verb,B1,ajrashmoq munosabatni tugatmoq,расстаться,To end a romantic relationship.,breɪk ʌp,4594,phrasal,They broke up after five years together.,Ular besh yillik munosabatdan keyin ajrashishdi.,separate,
call off,phrasal verb,B2,bekor qilmoq,отменить,To cancel something that was planned.,kɔːl ɒf,4596,phrasal,The match was called off because of rain.,O'yin yomg'ir sababli bekor qilindi.,cancel,
calm down,phrasal verb,B1,tinchlanmoq,успокоиться,To become less angry or excited.,kɑːm daʊn,4598,phrasal,"Calm down and tell me what happened.","Tinchlaning va nima bo'lganini ayting.",relax,
check in,phrasal verb,B1,ro'yxatdan o'tmoq,зарегистрироваться,To register on arrival at a hotel or airport.,tʃek ɪn,4600,phrasal,We checked in two hours before the flight.,Parvozdan ikki soat oldin ro'yxatdan o'tdik.,register,check out
cheer up,phrasal verb,B1,ko'ngli ko'tarilmoq,приободриться,To become happier or make someone happier.,tʃɪər ʌp,4602,phrasal,"Cheer up — things will get better.","Ruhingizni ko'taring — hammasi yaxshi bo'ladi.",,
come up with,phrasal verb,B2,o'ylab topmoq,придумать,To think of an idea or a plan.,kʌm ʌp wɪð,4604,phrasal,She came up with a brilliant solution.,U ajoyib yechim o'ylab topdi.,devise,
cut down on,phrasal verb,B2,kamaytirmoq,сократить,To reduce the amount of something you use or eat.,kʌt daʊn ɒn,4606,phrasal,The doctor told him to cut down on sugar.,Shifokor unga shakarni kamaytirishni aytdi.,reduce,
drop off,phrasal verb,B2,tashlab ketmoq; uxlab qolmoq,подвезти; задремать,To take someone somewhere by car; to fall asleep.,drɒp ɒf,4608,phrasal,I'll drop you off at the station.,Sizni bekatga tashlab ketaman.,,
get away,phrasal verb,B2,qochib qutulmoq; dam olishga chiqmoq,сбежать; вырваться,To escape; to go somewhere for a rest.,ɡet əˈweɪ,4610,phrasal,We hope to get away for a few days in May.,May oyida bir necha kunga dam olishga chiqmoqchimiz.,escape,
go over,phrasal verb,B2,ko'rib chiqmoq takrorlamoq,просмотреть,To review or examine something carefully.,ɡəʊ ˈəʊvə,4612,phrasal,Let's go over the plan one more time.,Rejani yana bir bor ko'rib chiqaylik.,review,
hang out,phrasal verb,B1,birga vaqt o'tkazmoq,проводить время,To spend relaxed time with friends.,hæŋ aʊt,4614,phrasal,We hang out at the park after class.,Darsdan keyin bog'da birga vaqt o'tkazamiz.,,
keep up with,phrasal verb,B2,hamqadam bo'lmoq orqada qolmaslik,не отставать,To stay at the same level or speed as others.,kiːp ʌp wɪð,4616,phrasal,It's hard to keep up with the news these days.,Bugungi kunda yangiliklardan orqada qolmaslik qiyin.,,
move on,phrasal verb,B2,davom etmoq oldinga intilmoq,двигаться дальше,To continue to something new after finishing or losing something.,muːv ɒn,4618,phrasal,"After the failure, he decided to move on.","Muvaffaqiyatsizlikdan so'ng u oldinga intilishga qaror qildi.",,
