headword,pos,example_en,example_uz,example_ru
crack down on,phrasal verb,Schools should crack down on online bullying.,Maktablar internetdagi bezorilikka qarshi qat'iy choralar ko'rishi kerak.,Школы должны бороться с онлайн-издевательствами.
crack down on,phrasal verb,The regulator cracked down on misleading adverts.,Nazorat organi chalg'ituvchi reklamalarga qarshi keskin chora ko'rdi.,Регулятор расправился с вводящей в заблуждение рекламой.
opt out of,phrasal verb,She opted out of sharing her location.,U joylashuvini ulashmaslikni tanladi.,Она отказалась раскрывать свое местоположение.
opt out of,phrasal verb,You may opt out of promotional emails at any time.,Istalgan paytda reklama xatlaridan voz kechishingiz mumkin.,Вы можете отказаться от рекламных писем в любое время.
boil down to,phrasal verb,Good pronunciation boils down to regular practice.,Yaxshi talaffuz muntazam mashqqa borib taqaladi.,Хорошее произношение сводится к регулярной практике.
boil down to,phrasal verb,Their disagreement boiled down to a lack of trust.,Ularning kelishmovchiligi ishonch yetishmasligiga borib taqaldi.,Их разногласия сводились к отсутствию доверия.
fill in for,phrasal verb,Can you fill in for me during the afternoon class?,Tushdan keyingi darsda mening o'rnimni bosib tura olasizmi?,Можешь заменить меня во время дневных занятий?
fill in for,phrasal verb,A guest presenter filled in for the sick host.,Kasal boshlovchining o'rnini mehmon taqdimotchi bosdi.,Приглашенный ведущий заменил больного ведущего.
get around to,phrasal verb,Have you got around to reading that report?,O'sha hisobotni o'qishga vaqt topdingizmi?,Вы нашли время прочитать этот отчет?
get around to,phrasal verb,We never got around to discussing the budget.,Biz budjetni muhokama qilishga hech vaqt topa olmadik.,Мы так и не дошли до обсуждения бюджета.
go through with,phrasal verb,She was nervous but went through with the presentation.,"U hayajonlangan bo'lsa-da, taqdimotni oxirigacha o'tkazdi.","Она нервничала, но довела презентацию до конца."
go through with,phrasal verb,I cannot believe he went through with the deal.,U bitimni amalga oshirganiga ishonolmayapman.,"Я не могу поверить, что он заключил сделку."
keep at,phrasal verb,She kept at it until the code finally worked.,Kod nihoyat ishlaguncha u ishni davom ettirdi.,"Она продолжала это делать, пока код наконец не сработал."
keep at,phrasal verb,"If you keep at your speaking practice, you will improve.","Gapirish mashqini davom ettirsangiz, yaxshilanasiz.","Если вы будете упорно заниматься разговорной практикой, ваши навыки улучшатся."
pull off,phrasal verb,Nobody expected her to pull off the victory.,Hech kim uning g'alabani qo'lga kiritishini kutmagan edi.,"Никто не ожидал, что она одержит победу."
