headword,pos,example_en,example_uz
storm,noun,A big storm hit the city last night.,Kecha shaharni katta bo'ron urdi.
storm,noun,The storm broke many trees.,Bo'ron ko'plab daraxtlarni sindirdi.
climate,noun,The climate here is hot and dry.,Bu yerning iqlimi issiq va quruq.
climate,noun,Climate change affects everyone.,Iqlim o'zgarishi hammaga ta'sir qiladi.
moon,noun,The moon is bright tonight.,Bugun oy yorug'.
moon,noun,We watched the moon rise over the hills.,Tepaliklar ortidan oy chiqishini tomosha qildik.
earth,noun,The Earth moves around the Sun.,Yer Quyosh atrofida aylanadi.
earth,noun,We should keep the Earth clean.,Yerni toza saqlashimiz kerak.
accident,noun,He had an accident on his bike.,U velosipedda baxtsiz hodisaga uchradi.
accident,noun,It was an accident, not my fault.,Bu tasodif edi mening aybim emas.
advice,noun,Can you give me some advice?,Menga maslahat bera olasizmi?
advice,noun,Her advice was very helpful.,Uning maslahati juda foydali bo'ldi.
agree,verb,I agree with your idea.,Men fikringizga qo'shilaman.
agree,verb,We could not agree on a place.,Biz joy borasida kelisha olmadik.
alone,adjective,She likes to study alone.,U yolg'iz o'qishni yoqtiradi.
alone,adjective,Don't leave the baby alone.,Chaqaloqni yolg'iz qoldirmang.
apartment,noun,They rented a small apartment.,Ular kichik kvartira ijaraga olishdi.
apartment,noun,My apartment is near the metro.,Kvartiram metroga yaqin.
appointment,noun,I have a doctor's appointment at four.,Soat to'rtda shifokorga yozilganman.
appointment,noun,Please don't miss your appointment.,Iltimos uchrashuv vaqtini o'tkazib yubormang.
arrange,verb,Let's arrange a meeting for Friday.,Jumaga uchrashuv belgilaylik.
arrange,verb,She arranged the flowers nicely.,U gullarni chiroyli joyladi.
article,noun,I read an interesting article today.,Bugun qiziqarli maqola o'qidim.
article,noun,He wrote an article about sport.,U sport haqida maqola yozdi.
attention,noun,Please pay attention to the road.,Iltimos yo'lga e'tibor bering.
attention,noun,The show got a lot of attention.,Shou ko'p e'tibor qozondi.
beach,noun,We swam at the beach all day.,Kun bo'yi plyajda suzdik.
beach,noun,The beach was full of people.,Plyaj odamlarga to'la edi.
believe,verb,I believe you can do it.,Men buni uddalashingizga ishonaman.
believe,verb,It is hard to believe such a story.,Bunday hikoyaga ishonish qiyin.
boring,adjective,The film was long and boring.,Film uzun va zerikarli edi.
boring,adjective,I never find books boring.,Men kitoblarni hech qachon zerikarli deb topmayman.
carry,verb,Can you carry this box for me?,Bu qutini men uchun ko'tara olasizmi?
carry,verb,She carries an umbrella every day.,U har kuni soyabon olib yuradi.
catch,verb,Hurry to catch the last bus.,Oxirgi avtobusga ulgurish uchun shoshiling.
catch,verb,The goalkeeper caught the ball.,Darvozabon to'pni ushlab oldi.
competition,noun,She won the singing competition.,U qo'shiq musobaqasida g'olib chiqdi.
competition,noun,There is strong competition for the job.,Bu ish uchun kuchli raqobat bor.
cry,verb,The baby began to cry.,Chaqaloq yig'lay boshladi.
cry,verb,Don't cry, everything will be fine.,Yig'lamang hammasi yaxshi bo'ladi.
diet,noun,A balanced diet keeps you healthy.,Muvozanatli parhez sizni sog'lom saqlaydi.
diet,noun,He is on a diet to lose weight.,U vazn tashlash uchun parhezda.
dirty,adjective,Your shoes are very dirty.,Poyabzalingiz juda iflos.
dirty,adjective,Wash the dirty dishes please.,Iltimos iflos idishlarni yuving.
exam,noun,I passed my English exam.,Ingliz tili imtihonimdan o'tdim.
exam,noun,The exam starts at nine sharp.,Imtihon aniq soat to'qqizda boshlanadi.
excited,adjective,The kids are excited about the trip.,Bolalar safardan hayajonda.
excited,adjective,I was excited to meet her.,Men u bilan uchrashishdan hayajonlandim.
forget,verb,Don't forget to lock the door.,Eshikni qulflashni unutmang.
forget,verb,I always forget his name.,Men doim uning ismini unutaman.
healthy,adjective,Fruit is a healthy snack.,Meva sog'lom yengil ovqat.
healthy,adjective,Walking keeps your heart healthy.,Yurish yuragingizni sog'lom saqlaydi.
holiday,noun,We go on holiday every summer.,Biz har yoz ta'tilga chiqamiz.
holiday,noun,The children are excited for the holiday.,Bolalar ta'tildan hayajonda.
hungry,adjective,I am hungry, let's eat.,Qornim och keling ovqatlanaylik.
hungry,adjective,The dog looked hungry.,It och ko'rindi.
