headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,synonyms,antonyms
abandon,verb,B2,tashlab ketmoq,покидать,To leave something or someone permanently.,əˈbændən,2800,ielts,The village was abandoned after the drought.,Qishloq qurg'oqchilikdan keyin tashlab ketildi.,desert,keep
absorb,verb,B2,singdirmoq yutmoq,поглощать,To take in liquid heat or information.,əbˈzɔːb,2802,ielts,Plants absorb water through their roots.,O'simliklar suvni ildizlari orqali singdiradi.,soak up,release
accelerate,verb,C1,tezlashtirmoq,ускорять,To make something happen faster.,əkˈseləreɪt,2804,ielts,Warm weather accelerated the melting of ice.,Iliq havo muzning erishini tezlashtirdi.,speed up,slow
accessible,adjective,B2,foydalanish oson,доступный,Easy to reach use or understand.,əkˈsesəbl,2806,ielts,The museum is accessible to wheelchair users.,Muzey nogironlar aravachasidagilar uchun qulay.,,inaccessible
accommodate,verb,C1,joylashtirmoq,вмещать,To provide space or adapt to needs.,əˈkɒmədeɪt,2808,ielts,The hotel can accommodate 200 guests.,Mehmonxona 200 mehmonni joylashtira oladi.,house,
accompany,verb,B2,hamrohlik qilmoq,сопровождать,To go somewhere with someone.,əˈkʌmpəni,2810,ielts,Children must be accompanied by an adult.,Bolalarga katta yoshli hamrohlik qilishi shart.,,
acute,adjective,C1,o'tkir keskin,острый,Very serious or severe.,əˈkjuːt,2812,ielts,There is an acute shortage of water.,Suvning keskin tanqisligi bor.,severe,mild
adhere,verb,C1,rioya qilmoq yopishmoq,придерживаться,To stick to a rule or surface.,ədˈhɪə,2814,ielts,Drivers must adhere to the rules.,Haydovchilar qoidalarga rioya qilishlari shart.,comply,
adjacent,adjective,C1,yonma-yon,смежный,Next to something.,əˈdʒeɪsnt,2816,ielts,The school is adjacent to the park.,Maktab bog' yonida joylashgan.,neighbouring,distant
adolescent,noun,C1,o'smir,подросток,A young person developing into an adult.,ˌædəˈlesnt,2818,ielts,Adolescents need more sleep than adults.,O'smirlarga kattalardan ko'ra ko'proq uyqu kerak.,teenager,
aesthetic,adjective,C1,estetik,эстетический,Relating to beauty.,iːsˈθetɪk,2820,ielts,The bridge has aesthetic as well as practical value.,Ko'prik amaliy qiymatdan tashqari estetik qiymatga ham ega.,,
affluent,adjective,C1,badavlat,богатый,Having a lot of money.,ˈæfluənt,2822,ielts,They live in an affluent neighbourhood.,Ular badavlat mahallada yashaydi.,wealthy,poor
agriculture,noun,B2,qishloq xo'jaligi,сельское хозяйство,Farming and growing crops.,ˈæɡrɪkʌltʃə,2824,ielts,Agriculture employs half the region's workers.,Qishloq xo'jaligi mintaqa ishchilarining yarmini band qiladi.,farming,
align,verb,C1,moslashtirmoq bir chiziqqa keltirmoq,выравнивать,To arrange in a line; to bring into agreement.,əˈlaɪn,2826,ielts,The curriculum is aligned with exam requirements.,O'quv dasturi imtihon talablariga moslashtirilgan.,,
allege,verb,C1,da'vo qilmoq,утверждать,To claim something without proof.,əˈledʒ,2828,ielts,The report alleges serious safety failures.,Hisobot jiddiy xavfsizlik kamchiliklarini da'vo qiladi.,claim,
ally,noun,C1,ittifoqchi,союзник,A country or person that supports another.,ˈælaɪ,2830,ielts,The two nations became close allies.,Ikki davlat yaqin ittifoqchiga aylandi.,partner,enemy
ample,adjective,C1,mo'l yetarli,обильный,More than enough.,ˈæmpl,2832,ielts,There is ample parking near the stadium.,Stadion yonida yetarlicha to'xtash joyi bor.,plentiful,insufficient
anonymous,adjective,B2,anonim nomsiz,анонимный,With the name kept secret.,əˈnɒnɪməs,2834,ielts,The donation came from an anonymous giver.,Xayriya anonim shaxsdan keldi.,unnamed,
apparatus,noun,C1,asbob-uskuna,аппарат,Equipment for a particular purpose.,ˌæpəˈreɪtəs,2836,ielts,The lab bought new breathing apparatus.,Laboratoriya yangi nafas olish uskunasini sotib oldi.,equipment,
appeal,verb,B2,jozibali bo'lmoq murojaat qilmoq,привлекать,To attract or interest; to make a serious request.,əˈpiːl,2838,ielts,The idea appeals to young voters.,G'oya yosh saylovchilarga yoqadi.,attract,
appliance,noun,B2,maishiy texnika,бытовой прибор,A machine used in the home.,əˈplaɪəns,2840,ielts,Modern appliances save time and energy.,Zamonaviy maishiy texnika vaqt va energiyani tejaydi.,device,
applicable,adjective,C1,qo'llanadigan,применимый,Relevant to a situation.,əˈplɪkəbl,2842,ielts,The rule is applicable to all students.,Qoida barcha talabalarga qo'llanadi.,relevant,
