headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,synonyms,antonyms
achieve,verb,B1,erishmoq,достигать,To succeed in doing something after effort.,əˈtʃiːv,700,actions,She achieved her goal of learning English.,U ingliz tilini o'rganish maqsadiga erishdi.,reach,fail
admit,verb,B1,tan olmoq,признавать,To agree that something is true although you do not want to.,ədˈmɪt,705,actions,He admitted that he was wrong.,U noto'g'ri ekanini tan oldi.,confess,deny
advise,verb,B1,maslahat bermoq,советовать,To tell someone what you think they should do.,ədˈvaɪz,710,actions,The doctor advised him to rest.,Shifokor unga dam olishni maslahat berdi.,recommend,
ambition,noun,B1,orzu-maqsad,амбиция,A strong wish to be successful.,æmˈbɪʃn,715,feelings,Her ambition is to become a surgeon.,Uning orzu-maqsadi jarroh bo'lish.,goal,
ancient,adjective,B1,qadimiy,древний,Very old; from a long time ago.,ˈeɪnʃənt,720,describing,We visited an ancient city.,Biz qadimiy shaharga tashrif buyurdik.,,modern
apologize,verb,B1,uzr so'ramoq,извиняться,To say you are sorry for something.,əˈpɒlədʒaɪz,725,actions,I apologized for being late.,Kechikkanim uchun uzr so'radim.,,
apply,verb,B1,ariza bermoq,подавать заявление,To ask officially for a job or place.,əˈplaɪ,730,work,She applied for a job at the bank.,U bankdagi ishga ariza berdi.,,
argue,verb,B1,bahslashmoq,спорить,To speak angrily because you disagree.,ˈɑːɡjuː,735,actions,They argued about money.,Ular pul haqida bahslashishdi.,quarrel,agree
attitude,noun,B1,munosabat,отношение,The way you think or feel about something.,ˈætɪtjuːd,740,feelings,He has a positive attitude to work.,Uning ishga munosabati ijobiy.,,
average,adjective,B1,o'rtacha,средний,Typical or normal; not special.,ˈævərɪdʒ,745,describing,The average student studies two hours a day.,O'rtacha talaba kuniga ikki soat o'qiydi.,,
avoid,verb,B1,chetlab o'tmoq,избегать,To stay away from something or someone.,əˈvɔɪd,750,actions,Avoid sugar if you want to be healthy.,Sog'lom bo'lishni istasangiz shakardan chetlaning.,,
behave,verb,B1,o'zini tutmoq,вести себя,To act in a particular way.,bɪˈheɪv,755,actions,The children behaved well at the party.,Bolalar bazmda o'zini yaxshi tutishdi.,,
