headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,synonyms,antonyms
jonathan,noun,C2,tamaki chibig'ini yoquvchi moslama,приспособление для раскуривания трубки,A small tool or instrument specifically designed to light a tobacco pipe.,ˈdʒɒnəθən,17000,ielts,The collector used a rare jonathan to light his antique wooden pipe.,To'plovchi o'zining qadimiy yog'och chibig'ini yoqish uchun noyob moslamadan foydalandi.,lighter,
johnny,noun,C2,prezervativ,презерватив,A thin rubber cover used during sex to prevent pregnancy or disease.,ˈd͡ʒɒn.i,17002,body-health,He went to the shop to buy a pack of johnnies yesterday.,U kecha do'kondan bir quti prezervativ sotib olgani bordi.,condom,
nancy,noun,C2,xotinqil qiliqli erkak,женоподобный мужчина,An offensive term for a man who is considered effeminate.,ˈnænsi,17004,people-family,Calling someone a nancy is very rude and unacceptable behavior.,Kimnidir xotinqil deb atash juda qo'pol va nomaqbul ish.,sissy,
bristol,noun,C2,ayol ko'kragi,женская грудь,A slang term used to refer to a woman's breasts.,ˈbɹɪstəl,17006,body-health,The slang term bristols is rarely used in polite daily conversation.,Bristols iborasi odobli kundalik suhbatlarda kamdan-kam ishlatiladi.,breast,
yorkshire,noun,B1,yorkshir,йоркшир,A large county located in the northern part of England.,ˈjɔːk.ʃər,17020,places,Yorkshire is famous for its beautiful green countryside and historic villages.,Yorkshir o'zining go'zal yashil tabiati va qadimiy qishloqlari bilan mashhur.,,
croatia,noun,A1,xorvatiya,хорватия,A country located in Central and Southeast Europe on the Adriatic Sea.,krəʊˈeɪ.ʃi.ə,17024,places,Many tourists visit Croatia every summer to enjoy the beautiful coastal cities.,Ko'plab sayyohlar har yozda go'zal qirg'oq shaharlaridan zavqlanish uchun Xorvatiyaga borishadi.,,
venezuela,noun,A1,venesuela,венесуэла,A large country on the northern coast of the continent of South America.,ˌven.əˈzweɪ.lə,17026,places,Venezuela is a country in South America with diverse landscapes and nature.,Venesuela Janubiy Amerikada joylashgan turli xil landshaft va tabiatga ega davlatdir.,,
murphy,noun,C2,kartoshka,картофель,"A word for a common potato, often used in informal contexts or regional dialects.",ˈmɜːfi,17028,food-drink,We had a big pot of boiled murphies for dinner last night.,Kecha kechki ovqatga bir qozon qaynatilgan kartoshka qildik.,potato spud,
hdtv,noun,B2,yuqori aniqlikdagi televizor,телевидение высокой четкости,A television system with much clearer and sharper picture quality than standard television.,ˌeɪtʃ diː tiː ˈviː,17030,home,We bought a new HDTV to watch the football match in high definition.,Futbolni aniq ko‘rish uchun yangi yuqori aniqlikdagi televizor sotib oldik.,,
rachel,noun,C1,och jigarrang tusli kukun,светло-коричневый оттенок пудры,A specific light tan colour commonly used for facial cosmetic powder.,ˈreɪtʃəl,17032,clothes,The shop assistant recommended a rachel powder for her light skin tone.,Sotuvchi uning och rangli terisi uchun rachel tusidagi pudrani tavsiya qildi.,,
unto,preposition,C2,ga sari,"к, до","An old-fashioned way of saying to a person, place, or thing.",ˈʌntʊ,17034,ielts,Do unto others as you would have them do unto you.,O'zingga ravo ko'rganingni boshqalarga ham ravo ko'r.,to,
easter,noun,B2,sharqiy shamol,восточный ветер,A strong wind that blows from the east direction.,ˈiː.stə,17036,nature,The cold easter brought heavy snow to the small mountain village yesterday.,Sovuq sharqiy shamol kecha tog'dagi kichik qishloqqa qor olib keldi.,east-wind easterly,
venice,noun,A2,Venetsiya,Венеция,A famous historical city in Italy known for its canals and water transport.,ˈvenɪs,17038,places,We took a beautiful boat ride through the canals of Venice yesterday.,Kecha biz Venetsiya kanallari bo'ylab qayiqda ajoyib sayohat qildik.,,
estonia,noun,A2,Estoniya,Эстония,A small country in Northern Europe located by the Baltic Sea.,eˈstəʊniə,17040,places,My friend moved to Estonia to work in the technology industry there.,Do'stim u yerdagi texnologiya sohasida ishlash uchun Estoniyaga ko'chib o'tdi.,,
katie,noun,A1,Keti,Кэти,A common female given name used in English-speaking countries.,ˈkeɪti,17042,people-family,Katie is my best friend from university and we study together often.,Keti universitetdagi eng yaqin do'stim va biz tez-tez birga dars qilamiz.,,
namibia,noun,A2,Namibiya,Намибия,A large country located in the southwestern part of the African continent.,nəˈmɪbiə,17044,places,The desert landscape of Namibia is famous for its very tall dunes.,Namibiya sahrosi o'zining juda baland qumtepalari bilan mashhur.,,
christina,noun,A1,Kristina,Кристина,A common female given name of Greek origin used in many cultures.,krɪˈstiːnə,17046,people-family,Christina started her new job at the international bank last Monday morning.,Kristina o'tgan dushanba kuni ertalab xalqaro bankdagi yangi ishini boshladi.,,
bios,noun,B2,tarjimai hollar biografiyalar,биографии,"Short written descriptions of a person's life, work, and achievements.",ˈbaɪoʊz,17048,people-family,Please read the bios of all the speakers before the event starts.,Tadbir boshlanishidan oldin barcha ma’ruzachilarning tarjimai holi bilan tanishib chiqing.,biographies profiles,
myspace,noun,B2,ijtimoiy tarmoq sahifasi shaxsiy profil,личная страница в социальной сети,A personal page or profile on a social networking website used for sharing information.,ˈmaɪˌspeɪs,17050,places,I checked her myspace to see if she posted any new photos.,Yangi suratlar yuklaganmi yo‘qmi deb uning ijtimoiy tarmoqdagi sahifasini tekshirib ko‘rdim.,profile account,
thee,pronoun,C2,sen seni,ты тебя,An old word used to address one person as the object of a verb.,ðiː,17052,ielts,I pray that heaven may watch over thee in these difficult times.,Ushbu qiyin damlarda osmon seni asrasin deya duo qilaman.,thou,
celtic,adjective,B2,kelt keltlariga oid,кельтский,"Relating to the people or languages of ancient Britain, Ireland, and parts of Western Europe.",ˈkeltɪk,17054,ielts,Ancient Celtic tribes played an important role in the history of Europe.,Qadimgi kelt qabilalari Yevropa tarixida muhim rol o‘ynagan.,,
swingers,noun,C2,jinsiy sherik almashuvchilar,свингеры,People who engage in sexual activities with partners other than their own spouses or companions.,ˈswɪŋərz,17056,feelings,The documentary explores the lifestyle of swingers living in the modern suburbs.,Hujjatli film zamonaviy chekka hududlarda yashovchi juftliklarning hayot tarzini o'rganadi.,mate-swappers,
valium,noun,C1,tinchlantiruvchi dori,валиум,A medical drug used to make people feel calm or help them sleep.,ˈvæliəm,17058,body-health,The doctor prescribed some valium to help him cope with severe anxiety.,Shifokor unga kuchli xavotirni yengish uchun tinchlantiruvchi dori yozib berdi.,sedative tranquilizer,stimulant
