headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,synonyms,antonyms
abashed,adjective,C1,uyalgan,смущенный,embarrassed after doing something wrong,əˈbæʃt,33200,feelings,She felt abashed after interrupting him.,U uning gapini bo'lgani uchun uyaldi.,embarrassed | ashamed,confident
absentminded,adjective,B2,xayoli parishon,рассеянный,often forgetting things because you are thinking of something else,ˌæbsəntˈmaɪndɪd,33201,feelings,He is absentminded and often leaves his keys behind.,U xayoli parishon va kalitlarini ko'p unutib qoldiradi.,forgetful | distracted,attentive
abrasive,adjective,C1,qo'pol,резкий,rude and likely to annoy people,əˈbreɪsɪv,33202,feelings,Her abrasive tone upset the client.,Uning qo'pol ohangi mijozni xafa qildi.,harsh | rude,gentle
accepting,adjective,B2,bag'rikeng,принимающий,willing to accept people or situations,əkˈseptɪŋ,33203,feelings,My friends were accepting of my decision.,Do'stlarim qarorimni bag'rikenglik bilan qabul qildilar.,tolerant | open-minded,judgmental
affectionate,adjective,B2,mehribon,ласковый,showing love and care,əˈfekʃənət,33204,feelings,She gave her child an affectionate hug.,U bolasini mehr bilan quchoqladi.,loving | warm,cold
agitated,adjective,C1,bezovta,взволнованный,worried or upset and unable to relax,ˈædʒɪteɪtɪd,33205,feelings,He became agitated during the argument.,U bahs paytida bezovta bo'lib qoldi.,anxious | upset,calm
alarmed,adjective,B2,xavotirga tushgan,встревоженный,frightened or worried by something,əˈlɑːmd,33206,feelings,We were alarmed by the sudden noise.,Biz to'satdan chiqqan shovqindan xavotirga tushdik.,worried | frightened,reassured
amused,adjective,B2,kulgan va xursand,забавляющийся,entertained by something funny,əˈmjuːzd,33207,feelings,She was amused by his clever joke.,U uning aqlli hazilidan kuldi.,entertained | pleased,bored
anguished,adjective,C1,qattiq azoblangan,измученный,feeling extreme mental or physical pain,ˈæŋɡwɪʃt,33208,feelings,He sounded anguished on the phone.,U telefonda qattiq azoblangandek eshitildi.,distressed | tormented,content
apologetic,adjective,B2,uzr so'ragan,извиняющийся,showing that you are sorry,əˌpɒləˈdʒetɪk,33209,feelings,He was apologetic for arriving late.,U kech kelgani uchun uzr so'radi.,sorry | remorseful,unrepentant
