headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,synonyms,antonyms
aberration,noun,C1,g'ayrioddiy holat,отклонение,A departure from what is normal or expected.,ˌæbəˈreɪʃn,31001,sat,"The warm January was an aberration, not a new pattern.","Iliq yanvar yangi tendensiya emas, g'ayrioddiy holat edi.",anomaly | deviation,norm
acquiesce,verb,C1,indamay rozi bo'lmoq,молча согласиться,To accept something reluctantly without protesting.,ˌækwiˈes,31002,sat,"Rather than argue further, she acquiesced to the committee's terms.",Ko'proq tortishish o'rniga u qo'mita shartlariga indamay rozi bo'ldi.,comply | yield,resist
admonish,verb,C1,tanbeh bermoq,делать выговор,To warn or scold someone firmly but not harshly.,ədˈmɒnɪʃ,31003,sat,The coach admonished the players for arriving late.,Murabbiy o'yinchilarga kech kelgani uchun tanbeh berdi.,reprimand | caution,praise
affable,adjective,C1,xushmuomala,приветливый,Easy to talk to and friendly.,ˈæfəbl,31004,sat,Their affable host made the awkward evening easier.,Ularning xushmuomala mezboni noqulay kechani osonlashtirdi.,genial | cordial,aloof
alacrity,noun,C2,"tayyorlik, shijoat",готовность,Brisk and cheerful willingness to do something.,əˈlækrəti,31005,sat,He accepted the invitation with surprising alacrity.,U taklifni kutilmagan shijoat bilan qabul qildi.,eagerness | readiness,reluctance
anachronism,noun,C2,zamonga mos kelmaslik,анахронизм,Something placed in the wrong historical period.,əˈnækrənɪzəm,31006,sat,The wristwatch in the Roman scene is an obvious anachronism.,Rim sahnasidagi qo'l soati aniq zamonga mos kelmaydi.,misplacement,contemporary
antipathy,noun,C2,"nafrat, yoqtirmaslik",антипатия,A strong feeling of dislike.,ænˈtɪpəθi,31007,sat,Her antipathy towards crowds kept her away from the festival.,Uning olomonga bo'lgan yoqtirmasligi festivaldan uzoq tutdi.,aversion | hostility,affinity
appease,verb,C1,tinchlantirmoq,умиротворять,To calm someone by giving them what they want.,əˈpiːz,31008,sat,A small refund appeased the angry customer.,Kichik qaytarma jahli chiqqan mijozni tinchlantirdi.,placate | pacify,provoke
austere,adjective,C1,"qattiqqo'l, soddadan qattiq",строгий,"Severely simple, or strict and without comfort.",ɒˈstɪə,31009,sat,The monastery's austere rooms held nothing but a bed.,Monastirning qattiq sodda xonalarida karavotdan boshqa hech narsa yo'q edi.,spartan | stern,luxurious
belie,verb,C2,"aldamoq, aksini ko'rsatmoq",противоречить,To give a false impression of something.,bɪˈlaɪ,31010,sat,His calm voice belied how anxious he actually was.,Uning xotirjam ovozi aslida qanchalik xavotirda ekanini yashirardi.,contradict | disguise,reveal
brevity,noun,C1,qisqalik,краткость,Shortness of speech or writing.,ˈbrevəti,31011,sat,"The essay's brevity was its strength, not a weakness.","Insho qisqaligi uning kuchi edi, zaifligi emas.",conciseness,verbosity
candor,noun,C1,"samimiylik, ochiqlik",откровенность,"Honest and direct speech, even when uncomfortable.",ˈkændə,31012,sat,She answered with a candor the panel did not expect.,U hay'at kutmagan samimiylik bilan javob berdi.,frankness | honesty,evasion
capricious,adjective,C2,"injiq, o'zgaruvchan",капризный,Changing suddenly and without good reason.,kəˈprɪʃəs,31013,sat,The capricious weather ruined three days of filming.,O'zgaruvchan ob-havo uch kunlik suratga olishni buzdi.,fickle | erratic,steady
caustic,adjective,C2,"achchiq, kesatiqli",едкий,"Bitterly sarcastic; also, able to burn by chemical action.",ˈkɔːstɪk,31014,sat,His caustic review offended the whole cast.,Uning achchiq taqrizi butun aktyorlar guruhini xafa qildi.,scathing | biting,gentle
clandestine,adjective,C2,yashirin,тайный,Kept secret because it would not be approved.,klænˈdestɪn,31015,sat,The group held clandestine meetings in a back room.,Guruh orqa xonada yashirin uchrashuvlar o'tkazardi.,covert | surreptitious,overt
cogent,adjective,C2,"ishonarli, asosli",убедительный,Clear and convincing enough to persuade.,ˈkəʊdʒənt,31016,sat,She made a cogent case for delaying the launch.,U ishga tushirishni kechiktirish uchun ishonarli dalil keltirdi.,persuasive | compelling,weak
condone,verb,C1,"kechirmoq, ko'z yummoq",закрывать глаза на,To accept or overlook behaviour that is wrong.,kənˈdəʊn,31017,sat,The school will not condone cheating of any kind.,Maktab hech qanday ko'chirmachilikka ko'z yummaydi.,overlook | excuse,condemn
conjecture,noun,C2,taxmin,предположение,An opinion formed without firm evidence.,kənˈdʒektʃə,31018,sat,"Until the results arrive, the cause is pure conjecture.","Natijalar kelmaguncha, sabab sof taxmin bo'lib qoladi.",speculation | guess,certainty
copious,adjective,C1,mo'l-ko'l,обильный,Present in large quantity.,ˈkəʊpiəs,31019,sat,She took copious notes throughout the lecture.,U ma'ruza davomida mo'l-ko'l qaydlar oldi.,abundant | plentiful,scant
cursory,adjective,C2,yuzaki,беглый,Done quickly and without attention to detail.,ˈkɜːsəri,31020,sat,A cursory glance at the contract missed the penalty clause.,Shartnomaga yuzaki nazar jarima bandini o'tkazib yubordi.,hasty | superficial,thorough
dearth,noun,C2,tanqislik,нехватка,A serious lack of something.,dɜːθ,31021,sat,There is a dearth of reliable data on the region.,Mintaqa bo'yicha ishonchli ma'lumotlar tanqisligi bor.,scarcity | shortage,abundance
deference,noun,C2,hurmat bilan bo'ysunish,почтение,Respectful acceptance of another's authority or wishes.,ˈdefərəns,31022,sat,"Out of deference to the elders, he spoke last.",Kattalarga hurmat yuzasidan u oxirgi bo'lib gapirdi.,respect | regard,defiance
deride,verb,C2,masxara qilmoq,высмеивать,To laugh at someone or something with contempt.,dɪˈraɪd,31023,sat,Critics derided the plan as hopelessly naive.,Tanqidchilar rejani umidsiz sodda deb masxara qilishdi.,mock | ridicule,praise
didactic,adjective,C2,"ta'limiy, pand-nasihatli",назидательный,"Intended to teach, sometimes too obviously so.",daɪˈdæktɪk,31024,sat,The novel turns didactic in its final chapter.,Roman oxirgi bobida pand-nasihatli tus oladi.,instructive | preachy,entertaining
disdain,noun,C1,"nafrat, mensimaslik",презрение,The feeling that something is unworthy of respect.,dɪsˈdeɪn,31025,sat,He looked at the offer with open disdain.,U taklifga ochiq mensimaslik bilan qaradi.,contempt | scorn,admiration
disparage,verb,C2,kamsitmoq,принижать,To speak of someone or something as unimportant.,dɪˈspærɪdʒ,31026,sat,It is easy to disparage work you have never attempted.,Hech qachon urinib ko'rmagan ishni kamsitish oson.,belittle | denigrate,commend
dogmatic,adjective,C2,"qat'iy, o'z fikrida qattiq turadigan",догматичный,Asserting opinions as if they were certain facts.,dɒɡˈmætɪk,31027,sat,His dogmatic tone left no room for discussion.,Uning qat'iy ohangi muhokamaga joy qoldirmadi.,opinionated | rigid,open-minded
eloquent,adjective,C1,"notiq, ravon so'zlovchi",красноречивый,Speaking or writing in a fluent and persuasive way.,ˈeləkwənt,31028,sat,Her eloquent closing argument swayed the jury.,Uning ravon yakuniy nutqi hakamlar hay'atini o'ziga og'dirdi.,articulate | fluent,inarticulate
audacious,adjective,C2,"dadil, jasoratli",дерзкий,"Willing to take bold risks, sometimes recklessly so.",ɔːˈdeɪʃəs,31029,sat,The startup made an audacious bid for the market leader.,Startap bozor yetakchisiga dadil taklif berdi.,bold | daring,timid
enigma,noun,C1,jumboq,загадка,A person or thing that is difficult to understand.,ɪˈnɪɡmə,31030,sat,The artist remained an enigma to her closest friends.,Rassom eng yaqin do'stlari uchun ham jumboq bo'lib qoldi.,mystery | puzzle,certainty
frugal,adjective,C1,tejamkor,бережливый,Careful with money and resources.,ˈfruːɡl,31031,sat,Their frugal habits let them save on a modest income.,Ularning tejamkor odatlari kamtarona daromadda jamg'arishga imkon berdi.,thrifty | economical,extravagant
furtive,adjective,C2,yashirincha,украдкой,Done quietly so as not to be noticed.,ˈfɜːtɪv,31032,sat,He cast a furtive glance at the answer sheet.,U javoblar varag'iga yashirincha nazar tashladi.,stealthy | covert,open
gregarious,adjective,C1,kirishimli,общительный,Enjoying the company of other people.,ɡrɪˈɡeəriəs,31033,sat,"A gregarious student, he knew half the campus by October.",Kirishimli talaba bo'lgani uchun u oktyabrga borib kampusning yarmini tanirdi.,sociable | outgoing,reclusive
acrimonious,adjective,C2,"achchiq, keskin",язвительный,"Bitter and angry in tone, especially in a dispute.",ˌækrɪˈməʊniəs,31034,sat,The merger talks ended in an acrimonious dispute over pay.,Qo'shilish muzokaralari maosh yuzasidan achchiq nizo bilan yakunlandi.,bitter | rancorous,amicable
innocuous,adjective,C2,zararsiz,безобидный,Harmless and unlikely to offend.,ɪˈnɒkjuəs,31035,sat,What seemed an innocuous remark started the argument.,Zararsiz ko'ringan izoh bahsni boshlab yubordi.,harmless | inoffensive,harmful
laconic,adjective,C2,"kamgap, lo'nda",немногословный,Using very few words.,ləˈkɒnɪk,31036,sat,His laconic reply told us nothing at all.,Uning lo'nda javobi bizga hech narsa aytmadi.,terse | succinct,verbose
assiduous,adjective,C2,"tirishqoq, ishtiyoqli",усердный,Showing great care and steady effort in one's work.,əˈsɪdjuəs,31037,sat,Assiduous note-taking got her through the dense lecture series.,Tirishqoqlik bilan qayd olish uni og'ir ma'ruzalar seriyasidan olib o'tdi.,diligent | industrious,lazy
