headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,synonyms,antonyms
bear down,phrasal verb,C1,qattiq bosim qilmoq,давить,to move or act with force,beə daʊn,34200,phrasal,The storm began to bear down on the coast.,Bo'ron sohilga qattiq yaqinlasha boshladi.,press | advance,retreat
black out,phrasal verb,B2,hushidan ketmoq,терять сознание,to lose consciousness briefly,blæk aʊt,34201,phrasal,He blacked out after standing in the heat.,U issiqda tik turgach hushidan ketdi.,faint | collapse,awaken
boil down,phrasal verb,C1,asosiy mazmunga tushmoq,сводиться,to be reduced to the main point,bɔɪl daʊn,34202,phrasal,The argument boils down to money.,Bahsning asosi pulga borib taqaladi.,reduce | simplify,complicate
break away,phrasal verb,C1,ajralib chiqmoq,отделяться,to leave a group or control,breɪk əˈweɪ,34203,phrasal,Two runners broke away from the pack.,Ikki yuguruvchi guruhdan ajralib chiqdi.,separate | escape,join
break in,phrasal verb,B2,noqonuniy kirib bormoq,вламываться,to enter a building illegally,breɪk ɪn,34204,phrasal,Someone tried to break in last night.,Kecha kimdir uyga noqonuniy kirishga urindi.,enter | intrude,leave
bring down,phrasal verb,B2,pasaytirmoq,снижать,to reduce a level or amount,brɪŋ daʊn,34205,phrasal,The policy may bring down prices.,Siyosat narxlarni pasaytirishi mumkin.,reduce | lower,raise
bring on,phrasal verb,C1,keltirib chiqarmoq,вызывать,to cause something to happen,brɪŋ ɒn,34206,phrasal,Stress can bring on headaches.,Stress bosh og'rig'ini keltirib chiqarishi mumkin.,cause | trigger,prevent
brush aside,phrasal verb,C1,e'tiborsiz qoldirmoq,отмахиваться,to dismiss something as unimportant,brʌʃ əˈsaɪd,34207,phrasal,She brushed aside their concerns.,U ularning xavotirlarini e'tiborsiz qoldirdi.,dismiss | ignore,consider
clamp down,phrasal verb,C1,qattiq cheklamoq,ужесточать,to take strict action against something,klæmp daʊn,34208,phrasal,The city will clamp down on illegal parking.,Shahar noqonuniy to'xtashlarga qattiq cheklov qo'yadi.,crack down | restrict,permit
come around,phrasal verb,C1,fikrini o'zgartirmoq,передумывать,to change your opinion,kʌm əˈraʊnd,34209,phrasal,He eventually came around to our view.,U oxir-oqibat bizning fikrimizga qo'shildi.,agree | reconsider,resist
come back,phrasal verb,B1,qaytib kelmoq,возвращаться,to return to a place or state,kʌm bæk,34210,phrasal,The feeling may come back later.,Bu tuyg'u keyin qaytib kelishi mumkin.,return | reappear,leave
come by,phrasal verb,C1,topmoq yoki qo'lga kiritmoq,доставать,to obtain something with difficulty,kʌm baɪ,34211,phrasal,Good jobs are hard to come by.,Yaxshi ishlarni topish qiyin.,obtain | acquire,lose
come down,phrasal verb,B1,pasaymoq,снижаться,to become lower in level or price,kʌm daʊn,34212,phrasal,House prices may come down next year.,Uy narxlari keyingi yil pasayishi mumkin.,fall | decrease,rise
come in,phrasal verb,B1,kirib kelmoq,входить,to enter a place,kʌm ɪn,34213,phrasal,Please come in and take a seat.,Marhamat kirib keling va o'tiring.,enter | arrive,leave
come over,phrasal verb,B1,mehmonga kelmoq,заходить,to visit someone at home,kʌm ˈəʊvə,34214,phrasal,Why do you not come over this evening?,Nega bugun kechqurun mehmonga kelmaysiz?,visit | call,depart
come through,phrasal verb,C1,muammodan chiqib ketmoq,справляться,to survive or succeed in a difficult situation,kʌm θruː,34215,phrasal,She came through the crisis stronger.,U inqirozdan yanada kuchli chiqdi.,survive | succeed,fail
cut across,phrasal verb,C1,kesib o'tmoq,пересекать,to go across something directly,kʌt əˈkrɒs,34216,phrasal,We cut across the field to save time.,Vaqt tejash uchun dalani kesib o'tdik.,cross | traverse,avoid
cut back,phrasal verb,C1,qisqartirmoq,сокращать,to reduce spending or use,kʌt bæk,34217,phrasal,They need to cut back on travel costs.,Ular safar xarajatlarini qisqartirishlari kerak.,reduce | decrease,increase
cut down,phrasal verb,B2,kamaytirmoq,сокращать,to make something less in amount,kʌt daʊn,34218,phrasal,Try to cut down on sugar.,Shakarni kamroq iste'mol qilishga harakat qiling.,reduce | lessen,increase
dig into,phrasal verb,C1,chuqur o'rganmoq,углубляться,to investigate something carefully,dɪɡ ˈɪntuː,34219,phrasal,The reporter dug into the documents.,Muxbir hujjatlarni chuqur o'rgandi.,investigate | examine,ignore
double down,phrasal verb,C1,yanada qat'iy davom etmoq,удваивать усилия,to increase commitment to a decision,ˈdʌbl daʊn,34220,phrasal,The company doubled down on its strategy.,Kompaniya o'z strategiyasini yanada qat'iy davom ettirdi.,commit | persist,withdraw
drop by,phrasal verb,B1,qisqa vaqtga kirib o'tmoq,зайти,to visit for a short time,drɒp baɪ,34221,phrasal,I will drop by after work.,Men ishdan keyin qisqa vaqtga kirib o'taman.,visit | call,avoid
fall apart,phrasal verb,C1,barbod bo'lmoq,разваливаться,to fail completely or become very upset,fɔːl əˈpɑːt,34222,phrasal,The plan began to fall apart quickly.,Reja tezda barbod bo'la boshladi.,collapse | fail,succeed
follow up,phrasal verb,B2,keyinroq tekshirmoq,уточнять,to take further action after something,fɒləʊ ʌp,34223,phrasal,I will follow up with an email.,Men keyinroq elektron xat bilan tekshiraman.,continue | pursue,abandon
get ahead,phrasal verb,C1,muvaffaqiyatga erishmoq,преуспевать,to become successful in work or life,ɡet əˈhed,34224,phrasal,She works hard to get ahead.,U muvaffaqiyatga erishish uchun qattiq ishlaydi.,advance | succeed,fall behind
get around,phrasal verb,C1,muammoni chetlab o'tmoq,обходить,to find a way to avoid a problem,ɡet əˈraʊnd,34225,phrasal,We found a way to get around the rule.,Biz qoidani chetlab o'tish yo'lini topdik.,circumvent | avoid,confront
get into,phrasal verb,B2,aralashib qolmoq,ввязываться,to become involved in something,ɡet ˈɪntuː,34226,phrasal,He got into trouble at school.,U maktabda muammoga aralashib qoldi.,enter | involve,avoid
get out,phrasal verb,B1,chiqib ketmoq,выходить,to leave a place,ɡet aʊt,34227,phrasal,We need to get out before dark.,Qorong'i tushishidan oldin chiqib ketishimiz kerak.,leave | exit,enter
give off,phrasal verb,C1,taratmoq,выделять,to produce a smell or heat,ɡɪv ɒf,34228,phrasal,The flowers give off a sweet scent.,Gullar yoqimli hid taratadi.,emit | release,absorb
go after,phrasal verb,C1,erishishga intilmoq,добиваться,to try to get something,ɡəʊ ˈɑːftə,34229,phrasal,She decided to go after the promotion.,U lavozim oshishiga erishishga qaror qildi.,pursue | seek,avoid
go against,phrasal verb,C1,qarshi chiqmoq,противоречить,to oppose a rule or belief,ɡəʊ əˈɡenst,34230,phrasal,That choice goes against our values.,Bu tanlov qadriyatlarimizga qarshi chiqadi.,oppose | defy,support
go back,phrasal verb,B1,qaytmoq,возвращаться,to return to a previous place or time,ɡəʊ bæk,34231,phrasal,I want to go back to that café.,Men o'sha kafega qaytmoqchiman.,return | revisit,leave
go by,phrasal verb,B2,o'tib ketmoq,проходить,to pass with time,ɡəʊ baɪ,34232,phrasal,The years go by very quickly.,Yillar juda tez o'tib ketadi.,pass | elapse,remain
go down,phrasal verb,B2,pasaymoq,снижаться,to become lower or less,ɡəʊ daʊn,34233,phrasal,The temperature went down overnight.,Harorat tunda pasaydi.,fall | decline,rise
go off,phrasal verb,B2,portlamoq,взрываться,to explode or suddenly make a loud sound,ɡəʊ ɒf,34234,phrasal,The alarm went off at six.,Signal soat oltida chalindi.,ring | explode,stop
