headword,pos,example_en,example_uz
achieve,verb,With practice you can achieve anything.,Mashq bilan hamma narsaga erishasiz.
achieve,verb,The team achieved all its goals this year.,Jamoa bu yil barcha maqsadlariga erishdi.
admit,verb,I must admit that I was wrong.,Tan olishim kerak men xato qildim.
admit,verb,She admitted her mistake to the teacher.,U xatosini o'qituvchiga tan oldi.
advise,verb,I advise you to see a doctor.,Sizga shifokorga borishni maslahat beraman.
advise,verb,My teacher advised me to read more.,O'qituvchim menga ko'proq o'qishni maslahat berdi.
ambition,noun,His ambition is to become a pilot.,Uning orzu-maqsadi uchuvchi bo'lish.
ambition,noun,She has the ambition to study abroad.,Uning chet elda o'qish orzusi bor.
ancient,adjective,We visited an ancient castle.,Biz qadimiy qal'aga tashrif buyurdik.
ancient,adjective,Ancient people used the stars to travel.,Qadimgi odamlar sayohat uchun yulduzlardan foydalangan.
apologize,verb,He apologized for being late.,U kechikkani uchun uzr so'radi.
apologize,verb,You should apologize to your friend.,Do'stingizdan uzr so'rashingiz kerak.
apply,verb,She applied for a scholarship.,U stipendiyaga ariza berdi.
apply,verb,Apply the cream twice a day.,Kremni kuniga ikki marta suring.
argue,verb,They often argue about small things.,Ular ko'pincha mayda narsalar ustida bahslashadi.
argue,verb,Don't argue with the referee.,Hakam bilan bahslashmang.
attitude,noun,A positive attitude helps you learn.,Ijobiy munosabat o'rganishga yordam beradi.
attitude,noun,I don't like his rude attitude.,Uning qo'pol munosabatini yoqtirmayman.
average,adjective,The average temperature rose this summer.,Bu yoz o'rtacha harorat oshdi.
average,adjective,He is an average student in maths.,U matematikada o'rtacha o'quvchi.
avoid,verb,Try to avoid junk food.,Zararli ovqatdan qochishga harakat qiling.
avoid,verb,We took a taxi to avoid the rain.,Yomg'irdan qochish uchun taksi oldik.
behave,verb,The students behaved well during the trip.,O'quvchilar safar davomida o'zini yaxshi tutdi.
behave,verb,Please behave politely with guests.,Iltimos mehmonlar bilan odobli bo'ling.
belong,verb,This bag belongs to me.,Bu sumka menga tegishli.
belong,verb,These books belong on the top shelf.,Bu kitoblar yuqori tokchaga tegishli.
benefit,noun,Exercise has many benefits.,Mashqning ko'p foydasi bor.
benefit,noun,Fresh air is a benefit of village life.,Toza havo qishloq hayotining foydasi.
brave,adjective,The brave boy saved the cat.,Jasur bola mushukni qutqardi.
brave,adjective,It was brave of her to speak first.,Birinchi bo'lib gapirish uning jasorati edi.
celebrate,verb,We celebrate the New Year at home.,Yangi yilni uyda nishonlaymiz.
celebrate,verb,They celebrated their win with a big dinner.,Ular g'alabani katta ziyofat bilan nishonlashdi.
challenge,noun,Speaking in public is a challenge for me.,Omma oldida gapirish men uchun sinov.
challenge,noun,She accepted the challenge with a smile.,U sinovni tabassum bilan qabul qildi.
charity,noun,They opened a charity for orphans.,Ular yetimlar uchun xayriya ochishdi.
charity,noun,We collect clothes for charity.,Biz xayriya uchun kiyim yig'amiz.
community,noun,The whole community helped after the flood.,Butun jamoa toshqindan keyin yordam berdi.
community,noun,Our online community grows every day.,Onlayn jamoamiz har kuni o'sib boradi.
compare,verb,Compare the prices before you buy.,Sotib olishdan oldin narxlarni solishtiring.
compare,verb,Don't compare yourself with others.,O'zingizni boshqalar bilan solishtirmang.
complain,verb,Guests complained about the noise.,Mehmonlar shovqindan shikoyat qilishdi.
complain,verb,She never complains about hard work.,U og'ir mehnatdan hech qachon shikoyat qilmaydi.
confident,adjective,He feels confident before the exam.,U imtihon oldidan o'ziga ishonadi.
confident,adjective,Speak in a clear confident voice.,Aniq va ishonchli ovozda gapiring.
convince,verb,She convinced her parents to buy a dog.,U ota-onasini it olishga ko'ndirdi.
convince,verb,The advert convinced me to try it.,Reklama meni sinab ko'rishga ishontirdi.
culture,noun,Food is an important part of culture.,Ovqat madaniyatning muhim qismi.
culture,noun,Travel helps you learn about other cultures.,Sayohat boshqa madaniyatlarni o'rganishga yordam beradi.
curious,adjective,The curious child asked many questions.,Qiziquvchan bola ko'p savol berdi.
curious,adjective,I am curious about how it works.,Bu qanday ishlashi menga qiziq.
develop,verb,Practice develops your speaking skills.,Mashq gapirish ko'nikmalaringizni rivojlantiradi.
develop,verb,The town developed into a big city.,Shaharcha katta shaharga aylanib rivojlandi.
discover,verb,I discovered a great new cafe.,Men ajoyib yangi kafe topdim.
discover,verb,Children discover the world through play.,Bolalar o'yin orqali dunyoni kashf qiladi.
effort,noun,Learning takes time and effort.,O'rganish vaqt va harakat talab qiladi.
effort,noun,Thank you for your effort.,Harakatingiz uchun rahmat.
encourage,verb,Good teachers encourage their students.,Yaxshi o'qituvchilar o'quvchilarini ruhlantiradi.
encourage,verb,My family encouraged me to keep trying.,Oilam meni urinishda davom etishga ruhlantirdi.
environment,noun,We must protect the environment.,Biz atrof-muhitni himoya qilishimiz kerak.
environment,noun,Plastic harms the environment.,Plastik atrof-muhitga zarar yetkazadi.
essential,adjective,Water is essential for life.,Suv hayot uchun zarur.
essential,adjective,Sleep is essential for good health.,Uyqu yaxshi salomatlik uchun zarur.
expect,verb,We expect good weather tomorrow.,Ertaga yaxshi ob-havo kutmoqdamiz.
expect,verb,She expects a lot from herself.,U o'zidan ko'p narsa kutadi.
generous,adjective,He is generous with his time.,U vaqtini ayamaydigan saxiy inson.
generous,adjective,Thank you for your generous gift.,Saxiy sovg'angiz uchun rahmat.
habit,noun,Reading is a healthy habit.,Kitob o'qish foydali odat.
habit,noun,It is hard to break a bad habit.,Yomon odatdan qutulish qiyin.
