headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,synonyms,antonyms
fbi,noun,B2,AQSh Federal qidiruv byurosi,ФБР,The main government agency that investigates federal crimes in the United States.,ˌef biː ˈaɪ,22000,ielts,The FBI is investigating the mysterious case of the stolen national documents.,Federal qidiruv byurosi o‘g‘irlangan davlat hujjatlari bo‘yicha tergov olib bormoqda.,agency,
emma,noun,A1,Emma,Эмма,A common female given name.,ˈɛmə,22002,people-family,Emma is my best friend and she lives in the city.,Emma mening eng yaqin dugonam va u shaharda yashaydi.,,
annie,noun,A1,Enni,Энни,"A female given name, often a nickname for Ann or Anne.",ˈæni,22004,people-family,Annie is coming to visit us this weekend for a party.,Enni dam olish kunlari biznikiga mehmonga kelyapti.,,
sean,noun,A1,Shon,Шон,A common male given name of Irish origin.,ʃɔːn,22006,people-family,Sean works at the office with me every single day.,Shon har kuni men bilan birga idorada ishlaydi.,,
motherfucker,interjection,C2,la'nati iflos,черт возьми подонок,A vulgar expression used to show extreme anger or strong disappointment.,mʌðəˌfʌkə,22008,feelings,"Motherfucker, I just dropped my phone and broke the screen again.","La'nati, telefonimni tushirib yubordim va ekrani yana sindi.",fuck shit,
julie,noun,A1,Juli,Джули,A female given name.,ˈdʒuːli,22010,people-family,Julie decided to learn how to play the piano this year.,Juli bu yil pianino chalishni o'rganishga qaror qildi.,,
gordon,noun,A1,Gordon,Гордон,A male given name or a family name.,ˈɡɔːrdən,22012,people-family,Gordon is a very talented cook who works at a restaurant.,Gordon restoranda ishlaydigan juda mohir oshpaz.,,
maggie,noun,B2,saksovul chumchug'i qarg'a,сорока,A black and white bird with a long tail that makes a loud chattering sound.,ˈmæɡi,22014,animals,The magpie flew down to the garden to search for some food.,Saksovul chumchug'i ovqat qidirib bog'ga uchib tushdi.,magpie crow,
catherine,noun,A1,Ketrin,Кэтрин,A common female given name of Greek origin meaning pure or clear.,ˈkæθərɪn,22016,people-family,My best friend Catherine is coming to visit us this weekend.,Eng yaqin dugonam Ketrin dam olish kunlari biznikiga keladi.,,
rebecca,noun,A1,Rebekka,Ребекка,A common female given name originating from Hebrew.,rɪˈbɛkə,22018,people-family,Rebecca decided to study medicine at the university next year.,Rebekka kelasi yili universitetda tibbiyot sohasida o'qishga qaror qildi.,,
tina,noun,C2,metamfetamin,метамфетамин,A slang term for a very strong and dangerous illegal addictive stimulant drug.,ˈtiːnə,22020,body-health,Police warned teenagers about the severe dangers of using crystal meth.,Politsiya o'smirlarni kristal metamfetamin iste'mol qilishning xavfli oqibatlari haqida ogohlantirdi.,meth crystal,
jeremy,noun,A1,Jeremi,Джереми,A common male given name of Hebrew origin.,ˈdʒɛrɪmi,22022,people-family,Jeremy was the first person to arrive at the meeting today.,Bugun majlisga birinchi bo'lib Jeremi yetib keldi.,,
kenny,noun,A1,Kenni,Кенни,A common male given name often used as a diminutive for Kenneth.,ˈkɛni,22024,people-family,I have known Kenny since we were children at primary school.,Kennini boshlang'ich maktabda o'qib yurganimizdan beri taniyman.,,
