headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,synonyms,antonyms
break down,phrasal verb,B1,buzilmoq ishdan chiqmoq,ломаться,To stop working (machine); to lose control of feelings.,breɪk daʊn,3850,phrasal,Our car broke down on the way.,Yo'lda mashinamiz buzilib qoldi.,,
bring up,phrasal verb,B2,tarbiyalamoq gap ochmoq,воспитывать,To raise a child; to mention a topic.,brɪŋ ʌp,3852,phrasal,She was brought up by her grandmother.,Uni buvisi tarbiyalagan.,raise,
catch up,phrasal verb,B1,yetib olmoq,догонять,To reach the same level as others.,kætʃ ʌp,3854,phrasal,He studied hard to catch up with the class.,U sinfga yetib olish uchun qattiq o'qidi.,,
deal with,phrasal verb,B1,hal qilmoq shug'ullanmoq,иметь дело с,To handle a problem or situation.,diːl wɪð,3856,phrasal,Teachers deal with many problems daily.,O'qituvchilar har kuni ko'p muammolarni hal qiladi.,handle,
end up,phrasal verb,B2,oxir-oqibat bo'lib qolmoq,оказаться,To finally be in a place or situation.,end ʌp,3858,phrasal,We ended up staying home.,Oxir-oqibat uyda qoldik.,,
fill in,phrasal verb,B1,to'ldirmoq,заполнять,To complete a form with information.,fɪl ɪn,3860,phrasal,Fill in this form please.,Iltimos bu shaklni to'ldiring.,complete,
get along,phrasal verb,B1,chiqishmoq,ладить,To have a good relationship.,ɡet əˈlɒŋ,3862,phrasal,I get along well with my neighbours.,Qo'shnilarim bilan yaxshi chiqishaman.,,
pick up,phrasal verb,B1,olib ketmoq o'rganib olmoq,забирать,To collect someone; to learn without effort.,pɪk ʌp,3864,phrasal,I'll pick you up at seven.,Sizni yettida olib ketaman.,,
set up,phrasal verb,B2,tashkil qilmoq o'rnatmoq,создавать,To start a business; to arrange equipment.,set ʌp,3866,phrasal,They set up a small company.,Ular kichik kompaniya tashkil qilishdi.,establish,
work out,phrasal verb,B2,mashq qilmoq yechimini topmoq,тренироваться,To exercise; to find a solution.,wɜːk aʊt,3868,phrasal,He works out three times a week.,U haftada uch marta mashq qiladi.,,
hit the nail on the head,idiom,C1,aynan topib aytmoq,попасть в точку,To say exactly the right thing.,hɪt ðə neɪl ɒn ðə hed,3870,idioms,Your answer hit the nail on the head.,Javobingiz aynan mo'ljalga tegdi.,,
a blessing in disguise,idiom,C1,yaxshilikka yo'yilgan yomonlik,скрытое благо,Something bad that turns out to be good.,ə ˈblesɪŋ ɪn dɪsˈɡaɪz,3872,idioms,Losing that job was a blessing in disguise.,U ishdan ketish aslida yaxshilik bo'lib chiqdi.,,
cut corners,idiom,C1,tirnoq orasidan qilmoq sifatni pasaytirmoq,халтурить,To do something cheaply or carelessly.,kʌt ˈkɔːnəz,3874,idioms,Don't cut corners on safety.,Xavfsizlikda yuzakichilikka yo'l qo'ymang.,,
get out of hand,idiom,B2,nazoratdan chiqmoq,выйти из-под контроля,To become impossible to control.,ɡet aʊt əv hænd,3876,idioms,The party got out of hand.,Bazm nazoratdan chiqib ketdi.,,
miss the boat,idiom,B2,imkoniyatni boy bermoq,упустить шанс,To miss an opportunity.,mɪs ðə bəʊt,3878,idioms,Buy the tickets now or you'll miss the boat.,Chiptalarni hozir oling aks holda imkoniyatni boy berasiz.,,
on the fence,idiom,B2,ikkilanib turmoq,колебаться,Unable to decide between two options.,ɒn ðə fens,3880,idioms,I'm still on the fence about the trip.,Safar haqida hali ikkilanib turibman.,,
the last straw,idiom,C1,sabr kosasini to'ldirgan tomchi,последняя капля,The final problem that makes you give up.,ðə lɑːst strɔː,3882,idioms,The broken lift was the last straw.,Buzilgan lift sabr kosasini to'ldirdi.,,
bite the bullet,idiom,C1,tishni tishga qo'ymoq,стиснуть зубы,To face something unpleasant with courage.,baɪt ðə ˈbʊlɪt,3884,idioms,I bit the bullet and went to the dentist.,Tishni tishga qo'yib tish shifokoriga bordim.,,
call it a day,idiom,B2,shu yerda to'xtatmoq,закончить на сегодня,To stop working for the day.,kɔːl ɪt ə deɪ,3886,idioms,We're tired — let's call it a day.,Charchadik — bugungiga yetar.,,
kill two birds with one stone,idiom,B2,bir o'q bilan ikki quyonni urmoq,убить двух зайцев,To achieve two things with one action.,kɪl tuː bɜːdz wɪð wʌn stəʊn,3888,idioms,Walking to work kills two birds with one stone.,Ishga piyoda borish bir o'q bilan ikki quyonni uradi.,,
