headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,example_ru,synonyms,antonyms
abstemious,adjective,C2,o‘zini tiya oladigan,умеренный,not allowing yourself too much food or pleasure,æbˈstiːmiəs,,advanced,His abstemious lifestyle surprised his friends.,Uning o‘zini tiya oladigan hayot tarzi do‘stlarini hayratga soldi.,,moderate | restrained,excessive | indulgent
acclivity,noun,C2,tepalikka ko‘tarilish,подъем,an upward slope or rise,əˈklɪvəti,,advanced,The road became an acclivity near the village.,Yo‘l qishloq yonida tepalikka ko‘tarilishga aylandi.,,slope | ascent,decline | descent
adroitly,adverb,C2,chaqqonlik bilan,ловко,in a skilful and clever way,əˈdrɔɪtli,,advanced,She adroitly handled the difficult question.,U qiyin savolni chaqqonlik bilan uddaladi.,,skilfully | deftly,clumsily | awkwardly
aegis,noun,C2,homiylik,покровительство,protection or support from an authority,ˈiːdʒɪs,,advanced,The project continued under the aegis of the university.,Loyiha universitet homiyligi ostida davom etdi.,,protection | patronage,exposure | opposition
anodyne,adjective,C2,bezovta qilmaydigan,безвредный,intended to avoid offence or strong reaction,ˈænədaɪn,,advanced,The speaker gave an anodyne response to the criticism.,Ma’ruzachi tanqidga bezovta qilmaydigan javob berdi.,,harmless | bland,provocative | sharp
antediluvian,adjective,C2,juda eskirgan,допотопный,extremely old-fashioned,ˌæntidɪˈluːviən,,advanced,That antediluvian system slows everyone down.,O‘sha juda eskirgan tizim hammani sekinlashtiradi.,,outdated | archaic,modern | current
aphorism,noun,C2,qisqa hikmatli ibora,афоризм,a short clever saying about life,ˈæfərɪzəm,,advanced,The essay begins with a memorable aphorism.,Insho esda qolarli qisqa hikmatli ibora bilan boshlanadi.,,maxim | saying,nonsense | ramble
apportion,verb,C2,taqsimlamoq,распределять,to divide and share something,əˈpɔːʃən,,advanced,The committee will apportion the funds fairly.,Qo‘mita mablag‘larni adolatli taqsimlaydi.,,allocate | distribute,withhold | combine
approbation,noun,C2,ma’qullash,одобрение,formal approval or praise,ˌæprəˈbeɪʃən,,advanced,Her proposal received public approbation.,Uning taklifi jamoatchilik ma’qullashini oldi.,,approval | praise,disapproval | criticism
arrogate,verb,C2,nohaq o‘zlashtirmoq,присваивать,to take power without the right,ˈærəɡeɪt,,advanced,No leader should arrogate authority illegally.,Hech bir rahbar hokimiyatni nohaq o‘zlashtirmasligi kerak.,,appropriate | seize,surrender | relinquish
attenuate,verb,C2,susaytirmoq,ослаблять,to reduce the force or effect of something,əˈtenjueɪt,,advanced,Better planning can attenuate the risks.,Yaxshi rejalash xatarlarni susaytirishi mumkin.,,weaken | reduce,strengthen | intensify
avuncular,adjective,C2,amakidek mehribon,дядюшкин,kind in the manner of an uncle,əˈvʌŋkjələ,,advanced,He spoke in an avuncular tone.,U mehribon amaki kabi ohangda gapirdi.,,kind | paternal,hostile | cold
bellicose,adjective,C2,janjalkash,воинственный,ready to fight or argue,ˈbelɪkəʊs,,advanced,The bellicose statement alarmed diplomats.,Janjalkash bayonot diplomatlarni xavotirga soldi.,,aggressive | hostile,peaceful | calm
bromide,noun,C2,siyqasi chiqqan gap,банальность,a boring and unoriginal remark,ˈbrəʊmaɪd,,advanced,His speech was full of bromide and empty praise.,Uning nutqi siyqasi chiqqan gap va bo‘sh maqtovga to‘la edi.,,cliche | platitude,insight | originality
burnish,verb,C2,sayqallamoq,полировать,to polish or improve something,ˈbɜːnɪʃ,,advanced,The award will burnish her reputation.,Mukofot uning obro‘sini sayqallaydi.,,polish | enhance,tarnish | damage
canard,noun,C2,yolg‘on mish-mish,ложная утка,a false report or belief,kəˈnɑːd,,advanced,The rumour was just a canard.,Mish-mish shunchaki yolg‘on gap edi.,,hoax | falsehood,fact | truth
chary,adjective,C2,ehtiyotkor,осторожный,cautious and unwilling to take risks,ˈtʃeəri,,advanced,Investors remain chary of sudden promises.,Investorlar kutilmagan va’dalardan ehtiyotkor bo‘lib turibdi.,,cautious | wary,reckless | careless
conflagration,noun,C2,katta yong‘in,пожар,a large destructive fire,ˌkɒnfləˈɡreɪʃən,,advanced,The conflagration destroyed several warehouses.,Katta yong‘in bir nechta omborni vayron qildi.,,fire | blaze,extinction | calm
contumely,noun,C2,haqorat va tahqir,оскорбление,rude and insulting treatment,ˈkɒntjuːməli,,advanced,She endured contumely with quiet dignity.,U haqoratli munosabatga vazminlik bilan chidadi.,,insult | abuse,respect | honour
convivial,adjective,C2,xushchaqchaq,дружелюбный,friendly and cheerful,kənˈvɪviəl,,advanced,The dinner had a convivial atmosphere.,Kechki ovqatda xushchaqchaq muhit bor edi.,,sociable | cheerful,gloomy | unfriendly
cupidity,noun,C2,ochko‘zlik,алчность,strong desire for wealth,kjuːˈpɪdəti,,advanced,Cupidity led him to make reckless deals.,Ochko‘zlik uni xatarli bitimlarga boshladi.,,greed | avarice,generosity | restraint
defenestrate,verb,C2,derazadan uloqtirmoq,выбросить из окна,to throw someone or something out of a window,diːˈfenɪstreɪt,,advanced,The rebels threatened to defenestrate the corrupt official.,Isyonchilar poraxo‘r amaldorni derazadan uloqtirish bilan qo‘rqitdi.,,throw | eject,admit | keep
demur,verb,C2,e’tiroz bildirmoq,возразить,to raise doubts or objections,dɪˈmɜː,,advanced,She did not demur when the rule changed.,Qoida o‘zgarganda u e’tiroz bildirmadi.,,object | protest,accept | agree
desuetude,noun,C2,iste’moldan chiqish,забвение,a state of no longer being used,ˈdeswɪtjuːd,,advanced,The custom fell into desuetude over time.,Bu odat vaqt o‘tib iste’moldan chiqdi.,,disuse | neglect,use | practice
efface,verb,C2,o‘chirib tashlamoq,стереть,to remove or make less noticeable,ɪˈfeɪs,,advanced,Time can efface painful memories.,Vaqt og‘riqli xotiralarni o‘chirib tashlashi mumkin.,,erase | remove,preserve | highlight
effrontery,noun,C2,uyatsiz jur’at,наглость,rude confidence that shocks others,ɪˈfrʌntəri,,advanced,His effrontery shocked the interview panel.,Uning uyatsiz jur’ati suhbat komissiyasini hayratga soldi.,,boldness | insolence,modesty | humility
encomium,noun,C2,rasmiy maqtov,хвалебная речь,a formal expression of praise,enˈkəʊmiəm,,advanced,The professor delivered an encomium for the researcher.,Professor tadqiqotchiga rasmiy maqtov bildirdi.,,tribute | praise,criticism | blame
epistolary,adjective,C2,maktubga oid,эпистолярный,related to letters or writing,ɪˈpɪstələri,,advanced,The novel has an epistolary structure.,Romanning tuzilishi maktublarga asoslangan.,,letter based | written,spoken | oral
equanimity,noun,C2,vazminlik,невозмутимость,calmness under pressure,ˌekwəˈnɪməti,,advanced,She handled the crisis with equanimity.,U inqirozni vazminlik bilan boshqardi.,,calmness | composure,panic | anxiety
ersatz,adjective,C2,sun’iy o‘rinbosar,искусственный заменитель,not genuine but used as a substitute,ˈeəzæts,,advanced,The cafe served ersatz coffee during shortages.,Ta’minot tanqisligida kafe sun’iy o‘rinbosar qahva berdi.,,fake | substitute,genuine | authentic
exegesis,noun,C2,batafsil sharh,толкование,a detailed explanation of a text,ˌeksɪˈdʒiːsɪs,,advanced,Her exegesis clarified the ancient poem.,Uning batafsil sharhi qadimiy she’rni tushuntirdi.,,interpretation | analysis,summary | confusion
extirpate,verb,C2,ildizi bilan yo‘q qilmoq,искоренить,to destroy completely,ˈekstəpeɪt,,advanced,The campaign aims to extirpate corruption.,Kampaniya korrupsiyani ildizi bilan yo‘q qilishni maqsad qiladi.,,eradicate | eliminate,preserve | maintain
