headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,synonyms,antonyms
bottleneck,noun,B2,tirbandlik nuqtasi,узкое место,A point in a process that slows down the whole system.,ˈbɒtlnek,32001,business,Approval from legal became the biggest bottleneck in the project.,Yuridik bo'limdan tasdiq olish loyihadagi eng katta tirbandlik nuqtasiga aylandi.,holdup | choke point,flow
brainstorm,verb,B1,g'oyalar bo'yicha fikr yurishtirmoq,проводить мозговой штурм,To generate ideas freely in a group without judging them.,ˈbreɪnstɔːm,32002,business,The team brainstormed names for the new product for an hour.,Jamoa yangi mahsulot uchun nomlarni bir soat davomida fikr yurishtirdi.,generate ideas,finalize
breakeven,noun,B2,tanga-tanga chiqish nuqtasi,точка безубыточности,The point at which costs equal income and there is no profit or loss.,ˈbreɪkˌiːvn,32003,business,The café expects to reach breakeven within its first year.,Kafe birinchi yil ichida tanga-tanga chiqish nuqtasiga yetishni kutmoqda.,break-even point,loss
collateral,noun,B2,garov mulk,залог,Property offered as security for repaying a loan.,kəˈlætərəl,32004,business,The bank required the building as collateral for the loan.,Bank kredit uchun binoni garov mulk sifatida talab qildi.,security | guarantee,
conglomerate,noun,B2,yirik kompaniyalar birlashmasi,конгломерат,"A large company made up of several smaller, different businesses.",kənˈɡlɒmərət,32005,business,The airline is now part of a global travel conglomerate.,Aviakompaniya endi global sayohat konglomeratining bir qismi.,corporation | group,startup
delegate,verb,B1,"vakolat bermoq, topshirmoq",делегировать,To give a task or responsibility to someone else.,ˈdelɪɡeɪt,32006,business,A good manager delegates instead of doing everything herself.,Yaxshi menejer hamma narsani o'zi qilish o'rniga vakolat beradi.,assign | hand over,retain
deliverable,noun,B2,topshiriladigan natija,результат работы,A specific output that a project promises to produce.,dɪˈlɪvərəbl,32007,business,The first deliverable is a working prototype by March.,Birinchi topshiriladigan natija — mart oyiga qadar ishlaydigan namuna.,output | milestone,
diversify,verb,B2,xilma-xillashtirmoq,диверсифицировать,To expand a business into new areas to reduce risk.,daɪˈvɜːsɪfaɪ,32008,business,The firm diversified into software after steel prices fell.,"Po'lat narxlari tushgach, firma dasturiy ta'minotga xilma-xillashtirdi.",branch out | expand,specialize
downsize,verb,B2,xodimlar sonini qisqartirmoq,сокращать штат,"To reduce the number of employees, usually to cut costs.",ˈdaʊnsaɪz,32009,business,The company downsized after losing its biggest client.,Kompaniya eng katta mijozini yo'qotgach xodimlar sonini qisqartirdi.,cut back | lay off,expand
headhunter,noun,B2,kadrlar izlovchi,хедхантер,A person or firm hired to find candidates for senior jobs.,ˈhedhʌntə,32010,business,A headhunter approached her about the CEO role.,Kadrlar izlovchi u bilan bosh direktor lavozimi haqida bog'landi.,recruiter,
insolvent,adjective,C1,to'lovga qodir emas,неплатёжеспособный,Unable to pay debts owed.,ɪnˈsɒlvənt,32011,business,The retailer was declared insolvent after months of losses.,Chakana savdo kompaniyasi bir necha oylik zarardan so'ng to'lovga qodir emas deb e'lon qilindi.,bankrupt,solvent
liaise,verb,B2,aloqa o'rnatib turmoq,поддерживать связь,To communicate and cooperate regularly with another group.,liˈeɪz,32012,business,She liaises between the design team and the client.,U dizayn jamoasi va mijoz o'rtasida aloqa o'rnatib turadi.,coordinate | communicate,
networking,noun,B2,aloqa o'rnatish,нетворкинг,Building professional relationships that may be useful later.,ˈnetwɜːkɪŋ,32013,business,He found his current job through networking at a conference.,U hozirgi ishini konferensiyada aloqa o'rnatish orqali topdi.,connecting,
