headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,synonyms,antonyms
ball,noun,A1,to'p,мяч,A round object used in games.,bɔːl,3600,basics,The children play with a ball.,Bolalar to'p bilan o'ynashadi.,,
clock,noun,A1,soat,часы,A machine that shows the time.,klɒk,3602,home,The clock on the wall is old.,Devordagi soat eski.,,
king,noun,A1,qirol podshoh,король,The man who rules a country.,kɪŋ,3604,people-family,The king lived in a big palace.,Podshoh katta saroyda yashagan.,,queen
queen,noun,A1,qirolicha malika,королева,The woman who rules a country.,kwiːn,3606,people-family,The queen wore a gold crown.,Malika oltin toj kiygan edi.,,king
leaf,noun,A1,barg,лист,One of the flat green parts of a plant.,liːf,3608,nature,A yellow leaf fell from the tree.,Daraxtdan sariq barg tushdi.,,
ring,noun,A1,uzuk,кольцо,A round piece of jewellery for the finger.,rɪŋ,3610,clothes,She wears a silver ring.,U kumush uzuk taqadi.,,
bell,noun,A1,qo'ng'iroq,колокол,A metal object that makes a ringing sound.,bel,3612,school,The school bell rings at eight.,Maktab qo'ng'irog'i sakkizda chalinadi.,,
boat,noun,A1,qayiq,лодка,A small vehicle that travels on water.,bəʊt,3614,travel,We crossed the lake by boat.,Ko'ldan qayiqda o'tdik.,,
cap,noun,A1,kepka bosh kiyim,кепка,A soft hat with a flat front part.,kæp,3616,clothes,He wears a blue cap in summer.,U yozda ko'k kepka kiyadi.,,
hen,noun,A1,tovuq,курица,A female bird kept for its eggs.,hen,3618,animals,The hen laid three eggs.,Tovuq uchta tuxum qo'ydi.,,
soap,noun,A1,sovun,мыло,A substance used for washing.,səʊp,3620,home,Wash your hands with soap.,Qo'lingizni sovun bilan yuving.,,
mistake,noun,A2,xato,ошибка,Something done wrong.,mɪˈsteɪk,3622,school,Everyone makes mistakes.,Hamma xato qiladi.,error,
birthday,noun,A2,tug'ilgan kun,день рождения,The day you were born celebrated each year.,ˈbɜːθdeɪ,3624,time,My birthday is in May.,Tug'ilgan kunim may oyida.,,
crowd,noun,A2,olomon,толпа,A large group of people together.,kraʊd,3626,people-family,A crowd waited outside the stadium.,Olomon stadion tashqarisida kutdi.,,
event,noun,A2,tadbir voqea,событие,Something that happens especially something important.,ɪˈvent,3628,basics,The school organizes many events.,Maktab ko'p tadbirlar o'tkazadi.,,
festival,noun,A2,festival bayram,фестиваль,A special day or period of celebration.,ˈfestɪvl,3630,time,Navruz is a spring festival.,Navro'z — bahor bayrami.,,
fire,noun,A2,olov yong'in,огонь,Flames heat and light from burning.,ˈfaɪə,3632,nature,We sat around the fire.,Biz olov atrofida o'tirdik.,,
glass,noun,A2,stakan shisha,стакан,A container for drinking; the hard clear material.,ɡlɑːs,3634,home,Give me a glass of water please.,Menga bir stakan suv bering iltimos.,,
gold,noun,A2,oltin,золото,A valuable yellow metal.,ɡəʊld,3636,basics,The ring is made of gold.,Uzuk oltindan yasalgan.,,
group,noun,A2,guruh,группа,A number of people or things together.,ɡruːp,3638,basics,Work in groups of four.,To'rt kishilik guruhlarda ishlang.,team,
guide,noun,A2,yo'lboshlovchi gid,гид,A person who shows places to tourists.,ɡaɪd,3640,travel,The guide told us about the palace.,Gid bizga saroy haqida gapirib berdi.,,
hill,noun,A2,tepalik,холм,A raised area of land smaller than a mountain.,hɪl,3642,nature,Our house stands on a hill.,Uyimiz tepalikda joylashgan.,,mountain
ice,noun,A2,muz,лёд,Frozen water.,aɪs,3644,nature,The lake is covered with ice.,Ko'l muz bilan qoplangan.,,
idea,noun,A2,g'oya fikr,идея,A thought or plan in your mind.,aɪˈdɪə,3646,basics,That's a great idea!,Bu ajoyib fikr!,thought,
lake,noun,A2,ko'l,озеро,A large area of water with land around it.,leɪk,3648,nature,We swim in the lake in summer.,Yozda ko'lda suzamiz.,,
list,noun,A2,ro'yxat,список,Words or numbers written one under another.,lɪst,3650,basics,Make a shopping list.,Xarid ro'yxatini tuzing.,,
magazine,noun,A2,jurnal,журнал,A thin book with articles and pictures.,ˌmæɡəˈziːn,3652,school,She reads a fashion magazine.,U moda jurnalini o'qiydi.,,
