headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,synonyms,antonyms
ameliorate,verb,C1,yaxshilamoq,улучшать,to make a bad situation better,əˈmiːliəreɪt,30100,toefl,New policies may ameliorate air pollution.,Yangi siyosatlar havo ifloslanishini yaxshilashi mumkin.,improve | alleviate,worsen
anthropogenic,adjective,C1,inson faoliyatidan kelib chiqqan,антропогенный,caused by human activity,ˌænθrəpəˈdʒenɪk,30101,toefl,Anthropogenic emissions are warming the planet.,Inson faoliyatidan kelgan chiqindilar sayyorani isitmoqda.,human-made,natural
axiomatic,adjective,C2,o'z-o'zidan ayon,аксиоматический,obviously true and needing no proof,ˌæksiəˈmætɪk,30102,toefl,It is axiomatic that evidence matters in science.,Ilmda dalil muhimligi o'z-o'zidan ayon.,self-evident | obvious,doubtful
bifurcate,verb,C2,ikki qismga bo'linmoq,раздваиваться,to divide into two branches,ˈbaɪfəkeɪt,30103,toefl,The river will bifurcate near the valley.,Daryo vodiy yaqinida ikki tarmoqqa bo'linadi.,divide | split,unite
causality,noun,C1,sababiy bog'liqlik,причинность,the relationship between cause and effect,kɔːˈzæləti,30104,toefl,The study examines causality between diet and health.,Tadqiqot ovqatlanish va sog'liq orasidagi sababiy bog'liqlikni o'rganadi.,cause | connection,coincidence
chronology,noun,C1,voqealar ketma-ketligi,хронология,the order in which events happened,krəˈnɒlədʒi,30105,toefl,The report presents a clear chronology of events.,Hisobot voqealarning aniq ketma-ketligini beradi.,timeline | sequence,disorder
contentious,adjective,C1,bahsli,спорный,likely to cause disagreement,kənˈtenʃəs,30106,toefl,The proposal remains contentious among scholars.,Taklif olimlar orasida hamon bahsli.,controversial | disputed,uncontroversial
derivation,noun,C1,kelib chiqish,выведение,the origin or process of obtaining something,ˌderɪˈveɪʃn,30107,toefl,The derivation of the formula is explained in class.,Formula kelib chiqishi darsda tushuntiriladi.,origin | formation,conclusion
elucidate,verb,C2,aniq tushuntirmoq,разъяснять,to make something clear,ɪˈluːsɪdeɪt,30108,toefl,The diagram helps elucidate the process.,Diagram jarayonni aniq tushuntirishga yordam beradi.,clarify | explain,confuse
extrapolate,verb,C1,xulosa chiqarib davom ettirmoq,экстраполировать,to estimate beyond known information,ɪkˈstræpəleɪt,30109,toefl,Scientists extrapolate future trends from current data.,Olimlar hozirgi ma'lumotlardan kelajak tendensiyalarini chiqaradilar.,project | infer,measure
inferential,adjective,C2,xulosaga asoslangan,основанный на выводах,based on reasoning from evidence,ˌɪnfəˈrenʃl,30110,toefl,Inferential reasoning is essential for this question.,Bu savol uchun xulosaga asoslangan fikrlash muhim.,deductive | reasoned,direct
juxtapose,verb,C2,yonma-yon taqqoslamoq,сопоставлять,to place things together for comparison,ˌdʒʌkstəˈpəʊz,30111,toefl,The author juxtaposes rural and urban life.,Muallif qishloq va shahar hayotini yonma-yon taqqoslaydi.,compare | contrast,separate
morphology,noun,C1,shakl tuzilishi,морфология,the study of forms and structures,mɔːˈfɒlədʒi,30112,toefl,Morphology explains how many words are formed.,Morfologiya ko'p so'zlar qanday yasalishini tushuntiradi.,structure | form,disorder
multidimensional,adjective,C2,ko'p qirrali,многомерный,having many different aspects,ˌmʌltidaɪˈmenʃənl,30113,toefl,Poverty is a multidimensional social issue.,Qashshoqlik ko'p qirrali ijtimoiy muammodir.,complex | multifaceted,simple
scrutinize,verb,C1,sinchoq tekshirmoq,тщательно изучать,to examine very carefully,ˈskruːtənaɪz,30114,toefl,Reviewers scrutinize every claim in the article.,Taqrizchilar maqoladagi har bir fikrni sinchiklab tekshiradilar.,inspect | examine,overlook
taxonomy,noun,C1,tasniflash tizimi,таксономия,a system for classifying things,tækˈsɒnəmi,30115,toefl,Biologists use taxonomy to classify organisms.,Biologlar organizmlarni tasniflash uchun taksonomiyadan foydalanadilar.,classification | grouping,disorder
concomitant,adjective,C2,birga yuz beradigan,сопутствующий,happening at the same time as something else,kənˈkɒmɪtənt,30116,toefl,Stress can be a concomitant effect of unemployment.,Stress ishsizlik bilan birga yuz beradigan oqibat bo'lishi mumkin.,accompanying | associated,separate
confluence,noun,C2,birlashish nuqtasi,слияние,the coming together of two or more things,ˈkɒnfluəns,30117,toefl,A confluence of factors caused the crisis.,Omillarning birlashishi inqirozga sabab bo'ldi.,meeting | convergence,division
decompose,verb,C1,parchalanmoq,разлагаться,to break down into simpler parts,ˌdiːkəmˈpəʊz,30118,toefl,Leaves decompose quickly in warm soil.,Barglar iliq tuproqda tez parchalanadi.,decay | break down,assemble
detriment,noun,C1,zarar,ущерб,something that causes harm,ˈdetrɪmənt,30119,toefl,Noise can be a detriment to concentration.,Shovqin diqqatni jamlashga zarar bo'lishi mumkin.,harm | disadvantage,benefit
dialectical,adjective,C2,qarama-qarshiliklar orqali rivojlanadigan,диалектический,relating to reasoning through opposing ideas,ˌdaɪəˈlektɪkl,30120,toefl,The essay uses a dialectical method of argument.,Insho dalillashning dialektik usulidan foydalanadi.,logical | argumentative,irrational
diffusion,noun,C1,tarqalish,диффузия,the gradual spreading of something,dɪˈfjuːʒn,30121,toefl,The diffusion of technology changed education.,Texnologiyaning tarqalishi ta'limni o'zgartirdi.,spread | dispersal,concentration
divulge,verb,C1,oshkor qilmoq,разглашать,to reveal information that was secret,daɪˈvʌldʒ,30122,toefl,The researchers cannot divulge participant names.,Tadqiqotchilar ishtirokchilar ismlarini oshkor qila olmaydilar.,reveal | disclose,conceal
endemic,adjective,C1,muayyan joyga xos,эндемичный,naturally found in a particular place,enˈdemɪk,30123,toefl,This bird is endemic to the island.,Bu qush faqat shu orolga xos.,native | local,foreign
entrench,verb,C2,chuqur ildiz otmoq,укоренять,to establish something so firmly that it is hard to change,ɪnˈtrentʃ,30124,toefl,Repeated habits can entrench inequality.,Takrorlanadigan odatlar tengsizlikni chuqur ildiz ottirishi mumkin.,establish | reinforce,remove
ethnographic,adjective,C2,etnografik,этнографический,relating to the study of cultures,ˌeθnəˈɡræfɪk,30125,toefl,The ethnographic study observed daily village life.,Etnografik tadqiqot qishloqning kundalik hayotini kuzatdi.,cultural | anthropological,individual
geologic,adjective,C1,geologik,геологический,relating to the Earth and its rocks,ˌdʒiːəˈlɒdʒɪk,30126,toefl,The region has a complex geologic history.,Hudud murakkab geologik tarixga ega.,earthly | geological,biological
heterogeneous,adjective,C2,turli tarkibli,неоднородный,made of different types of things,ˌhetərəˈdʒiːniəs,30127,toefl,The sample was heterogeneous in composition.,Namuna tarkibi turli xil edi.,diverse | mixed,uniform
inaugural,adjective,C1,ilk bor o'tkazilgan,инаугурационный,marking the first event in a series,ɪˈnɔːɡjərəl,30128,toefl,The journal published its inaugural issue in May.,Jurnal may oyida ilk sonini chiqardi.,first | opening,final
instantiate,verb,C2,aniq misolda ro'yobga chiqarmoq,реализовывать,to represent an abstract idea in a specific example,ɪnˈstænʃieɪt,30129,toefl,The experiment instantiates the theory in practice.,Tajriba nazariyani amalda ro'yobga chiqaradi.,embody | realize,abstract
interdependence,noun,C1,o'zaro bog'liqlik,взаимозависимость,the state of depending on each other,ˌɪntədɪˈpendəns,30130,toefl,Trade creates interdependence between nations.,Savdo davlatlar o'rtasida o'zaro bog'liqlik yaratadi.,connection | mutuality,independence
intermediary,noun,C1,vositachi,посредник,a person or organization between two parties,ˌɪntəˈmiːdiəri,30131,toefl,An intermediary helped the two sides reach agreement.,Vositachi ikki tomonning kelishuviga yordam berdi.,mediator | agent,principal
manifold,adjective,C2,ko'p sonli,многообразный,many and varied,ˈmænɪfəʊld,30132,toefl,The policy has manifold effects on families.,Siyosat oilalarga ko'p xil ta'sir ko'rsatadi.,numerous | varied,single
marginality,noun,C2,chekka holat,маргинальность,the condition of being socially or economically outside the main group,ˌmɑːdʒɪˈnæləti,30133,toefl,The paper explores marginality in urban communities.,Maqola shahar jamoalaridagi chekka holatni o'rganadi.,exclusion | isolation,inclusion
nascent,adjective,C2,endi paydo bo'layotgan,зарождающийся,just beginning to exist or develop,ˈnæsnt,30134,toefl,The nascent industry needs skilled workers.,Endi rivojlanayotgan soha malakali xodimlarga muhtoj.,emerging | developing,mature
nomenclature,noun,C2,atamalar tizimi,номенклатура,a system of names used in a subject,nəʊˈmenklətʃə,30135,toefl,Medical nomenclature can be difficult to learn.,Tibbiy atamalar tizimini o'rganish qiyin bo'lishi mumkin.,terminology | naming,informality
proliferation,noun,C1,tez ko'payish,быстрое распространение,a rapid increase in number,prəlɪfəˈreɪʃn,30136,toefl,The proliferation of apps changed communication.,Ilovalarning tez ko'payishi muloqotni o'zgartirdi.,growth | expansion,decline
requisite,adjective,C2,zarur bo'lgan,необходимый,needed for a particular purpose,ˈrekwɪzɪt,30137,toefl,Applicants need the requisite academic skills.,Arizachilarga zarur akademik ko'nikmalar kerak.,required | necessary,optional
sedimentary,adjective,C1,cho'kindi jinslarga oid,осадочный,formed from material deposited over time,ˌsedɪˈmentəri,30138,toefl,The fossils were found in sedimentary rock.,Qoldiqlar cho'kindi jinsda topildi.,deposited | layered,igneous
seminal,adjective,C2,juda muhim va ta'sirli,основополагающий,very influential in later development,ˈsemɪnl,30139,toefl,The book was seminal in modern linguistics.,Kitob zamonaviy tilshunoslik uchun juda muhim bo'lgan.,influential | pioneering,minor
