headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,synonyms,antonyms
required,adjective,A2,talab qilinadigan,требуемый,Needed or necessary for a particular purpose.,rɪˈkwaɪərd,3200,school,Attendance is required for all students during exams.,Imtihonlar davomida barcha talabalar uchun qatnashish talab qilinadi.,necessary mandatory,optional
inconsistent,adjective,B2,izchil bo'lmagan,непоследовательный,Not staying the same or not in agreement with other facts.,ˌɪnkənˈsɪstənt,5600,describing,Her answers were inconsistent with what she said earlier.,Uning javoblari avval aytganlariga izchil emas edi.,contradictory erratic,consistent
inconsistency,noun,B2,izchilsizlik,непоследовательность,A lack of agreement or steadiness between things.,ˌɪnkənˈsɪstənsi,6800,describing,The report contained several inconsistencies.,Hisobotda bir nechta izchilsizliklar bor edi.,contradiction,consistency
recurrent,adjective,C1,takrorlanuvchi,повторяющийся,Happening again repeatedly or periodically.,rɪˈkɜːrənt,7400,body-health,She suffers from recurrent headaches every winter.,U har qishda takrorlanuvchi bosh og'rig'idan aziyat chekadi.,recurring frequent,occasional
recurring,adjective,B2,takrorlanadigan,повторяющийся,Happening or appearing repeatedly.,"rɪˈkɜːrɪŋ,",5900,describing,This is a recurring theme in the author's novels.,Bu muallif romanlarida takrorlanadigan mavzu.,repeated recurrent,
reoccur,verb,B2,qayta yuz bermoq,повторяться снова,To happen again after happening before.,ˌriːəˈkɜːr,6500,actions,Doctors want to prevent the illness from reoccurring.,Shifokorlar kasallikning qayta yuz berishining oldini olishni xohlashadi.,recur happen again,
presumably,adverb,B2,ehtimol,предположительно,Used to say that something is likely to be true.,prɪˈzuːməbli,5100,describing,"Presumably, the meeting was cancelled because of the storm.","Ehtimol, yig'ilish bo'ron sababli bekor qilingan.",probably likely,
presumption,noun,C1,taxmin,предположение,Something believed to be true without proof.,prɪˈzʌmpʃən,8100,describing,There is a legal presumption of innocence.,Aybsizlik haqida huquqiy taxmin mavjud.,assumption,
presumptuous,adjective,C1,haddan tashqari o'ziga ishongan,самонадеянный,Too confident in a way that is rude or disrespectful.,prɪˈzʌmptʃuəs,8800,describing,It would be presumptuous of me to speak on her behalf.,Uning nomidan gapirishim haddan tashqari o'ziga ishonganlik bo'lardi.,arrogant bold,modest
conclusive,adjective,B2,yakuniy,убедительный,Serving to prove something and remove all doubt.,kənˈkluːsɪv,5700,describing,The test results were conclusive evidence of the theory.,Test natijalari nazariyaning yakuniy dalili edi.,definitive decisive,inconclusive
inconclusive,adjective,B2,noaniq,неубедительный,Not leading to a clear result or decision.,ˌɪnkənˈkluːsɪv,6300,describing,The investigation remained inconclusive after months of work.,Oylab davom etgan ishdan keyin ham tergov noaniq qoldi.,uncertain unclear,conclusive
concluding,adjective,B1,yakunlovchi,заключительный,"Coming at the end of something, especially a speech or text.",kənˈkluːdɪŋ,4200,school,The concluding paragraph summarizes the main points.,Yakunlovchi paragraf asosiy fikrlarni jamlaydi.,final closing,opening
influential,adjective,B2,ta'sirli,влиятельный,Having great influence on someone or something.,ˌɪnfluˈenʃəl,4800,describing,She is one of the most influential leaders in the country.,U mamlakatdagi eng ta'sirli yetakchilardan biri.,powerful important,insignificant
insignificant,adjective,B2,ahamiyatsiz,незначительный,Too small or unimportant to be worth considering.,ˌɪnsɪɡˈnɪfɪkənt,4900,describing,The difference in price was insignificant.,Narxdagi farq ahamiyatsiz edi.,minor trivial,significant
established,adjective,B1,o'rnashgan,устоявшийся,"Widely accepted, respected, or in existence for a long time.",ɪˈstæblɪʃt,3400,work,It's an established company with a strong reputation.,Bu mustahkam obro'ga ega o'rnashgan kompaniya.,recognized reputable,new
reestablish,verb,B2,qayta tiklamoq,восстанавливать,To set up or create something again after it stopped.,ˌriːɪˈstæblɪʃ,6600,actions,The two countries agreed to reestablish diplomatic relations.,Ikki davlat diplomatik aloqalarni qayta tiklashga rozi bo'lishdi.,restore renew,
unregulated,adjective,B2,tartibga solinmagan,нерегулируемый,Not controlled by official rules.,ʌnˈreɡjəleɪtɪd,5500,work,The unregulated market led to unfair prices.,Tartibga solinmagan bozor adolatsiz narxlarga olib keldi.,uncontrolled,regulated
deregulate,verb,C1,tartibga solishni bekor qilmoq,дерегулировать,To remove government control from an industry.,diːˈreɡjəleɪt,8300,work,The government decided to deregulate the airline industry.,Hukumat aviakompaniyalar sohasini tartibga solishni bekor qilishga qaror qildi.,liberalize,regulate
unrestricted,adjective,B2,cheklanmagan,неограниченный,Not limited or controlled.,ˌʌnrɪˈstrɪktɪd,5300,describing,Members get unrestricted access to the gym.,A'zolar sport zaliga cheklanmagan kirish huquqiga ega.,unlimited,restricted
restrictive,adjective,B2,cheklovchi,ограничительный,Limiting someone's freedom or actions.,rɪˈstrɪktɪv,6100,describing,The new rules were seen as too restrictive.,Yangi qoidalar juda cheklovchi deb qaraldi.,limiting,permissive
unsustainable,adjective,B2,barqaror bo'lmagan,неустойчивый,Not able to continue at the same level or rate.,ˌʌnsəˈsteɪnəbl,5800,nature,This rate of deforestation is completely unsustainable.,O'rmonlarni kesishning bu darajasi butunlay barqaror emas.,unstable,sustainable
sustained,adjective,B2,uzoq davom etgan,продолжительный,Continuing for a long time without stopping.,səˈsteɪnd,5400,describing,The economy showed sustained growth for five years.,Iqtisodiyot besh yil davomida barqaror o'sishni ko'rsatdi.,continuous prolonged,
regenerate,verb,C1,qayta tiklanmoq,регенерировать,To grow again or come back to a healthy state.,rɪˈdʒenəreɪt,8500,body-health,Human skin cells regenerate naturally over time.,Inson teri hujayralari vaqt o'tishi bilan tabiiy ravishda qayta tiklanadi.,renew regrow,
regeneration,noun,C1,qayta tiklanish,регенерация,The process of growing or being restored again.,rɪˌdʒenəˈreɪʃən,8700,body-health,Urban regeneration transformed the old factory district.,Shahar qayta tiklanishi eski zavod hududini o'zgartirdi.,renewal restoration,
disintegrate,verb,C1,parchalanmoq,распадаться,To break into small pieces or fall apart.,dɪsˈɪntɪɡreɪt,8000,actions,The old newspaper began to disintegrate when touched.,Eski gazeta qo'l tekkanda parchalana boshladi.,fall apart crumble,
disintegration,noun,C1,parchalanish,распад,The process of breaking into small parts.,dɪsˌɪntɪˈɡreɪʃən,8900,describing,The disintegration of the empire took several decades.,Imperiyaning parchalanishi bir necha o'n yillikni oldi.,collapse breakdown,
distinguishable,adjective,B2,farqlanadigan,различимый,Able to be recognized as different.,dɪˈstɪŋɡwɪʃəbl,6700,describing,The two twins are barely distinguishable from each other.,Ikki egizak bir-biridan deyarli farqlanmaydi.,distinct,indistinguishable
indistinguishable,adjective,C1,farqlanmaydigan,неразличимый,Impossible to tell apart from something else.,ˌɪndɪˈstɪŋɡwɪʃəbl,8400,describing,"From a distance, the copy was indistinguishable from the original.",Uzoqdan nusxa asl nusxadan farqlanmas edi.,identical,distinguishable
distinguished,adjective,B2,taniqli,выдающийся,"Successful and respected, especially in a profession.",dɪˈstɪŋɡwɪʃt,5700,describing,She had a long and distinguished career in medicine.,U tibbiyotda uzoq va taniqli martaba qurdi.,eminent notable,
interpretive,adjective,C1,talqin qiluvchi,интерпретирующий,Relating to explaining the meaning of something.,ɪnˈtɜːrprətɪv,8600,describing,The museum offers an interpretive tour of the ruins.,Muzey xarobalarning talqin qiluvchi sayohatini taklif qiladi.,explanatory,
misinterpret,verb,B2,noto'g'ri talqin qilmoq,неправильно истолковывать,To understand something incorrectly.,ˌmɪsɪnˈtɜːrprət,5900,actions,Don't misinterpret my silence as agreement.,Sukutimni rozilik deb noto'g'ri talqin qilmang.,misunderstand,
misinterpretation,noun,C1,noto'g'ri talqin,неправильное толкование,An incorrect understanding of something.,ˌmɪsɪnˌtɜːrprəˈteɪʃən,9000,describing,The confusion arose from a simple misinterpretation.,Chalkashlik oddiy noto'g'ri talqindan kelib chiqqan.,misunderstanding,
adaptable,adjective,B2,moslashuvchan,адаптируемый,Able to change easily to suit new conditions.,əˈdæptəbl,4700,describing,Good employees are flexible and adaptable to change.,Yaxshi xodimlar moslashuvchan va o'zgarishlarga tez ko'nikadigan bo'ladi.,flexible versatile,rigid
constituent,noun,C1,tarkibiy qism,составная часть,One of the parts that forms a whole thing.,kənˈstɪtʃuənt,8200,describing,Water is a constituent of almost every living cell.,Suv deyarli har bir tirik hujayraning tarkibiy qismidir.,component element,
demonstrable,adjective,C1,isbotlanadigan,доказуемый,Able to be shown clearly to be true.,dɪˈmɑːnstrəbl,7900,describing,The new method had a demonstrable effect on test scores.,Yangi usul test natijalariga isbotlanadigan ta'sir ko'rsatdi.,provable evident,
integrated,adjective,B2,birlashtirilgan,интегрированный,"Combined into a single, connected system.",ˈɪntɪɡreɪtɪd,5200,work,The company uses an integrated software system.,Kompaniya birlashtirilgan dasturiy ta'minot tizimidan foydalanadi.,combined unified,separate
transformative,adjective,C1,o'zgartiruvchi,преобразующий,Causing a major and lasting positive change.,trænsˈfɔːrmətɪv,8300,describing,Education can have a transformative effect on communities.,Ta'lim jamiyatlarga o'zgartiruvchi ta'sir ko'rsatishi mumkin.,revolutionary life-changing,
generative,adjective,B2,yaratuvchi,генеративный,"Able to produce or generate something, especially new ideas or content.",ˈdʒenərətɪv,6200,describing,Generative technology can now write essays and create images.,Yaratuvchi texnologiya endi insho yozishi va tasvirlar yaratishi mumkin.,productive creative,
unconstitutional,adjective,C1,konstitutsiyaga zid,неконституционный,Not allowed by a country's constitution.,ˌʌnkɑːnstɪˈtuːʃənl,8500,work,The court ruled the new law was unconstitutional.,Sud yangi qonunni konstitutsiyaga zid deb topdi.,illegal,
