headword,pos,example_en,example_uz,example_ru
trigger,verb,The new tax laws could trigger a decline in consumer spending.,Yangi soliq qonunlari iste'mol xarajatlarining pasayishiga olib kelishi mumkin.,Новое налоговое законодательство может спровоцировать снижение потребительских расходов.
trigger,verb,Stress is often what triggers his headaches.,Stress ko'pincha uning bosh og'rig'iga sabab bo'ladi.,Стресс часто является причиной его головных болей.
while,conjunction,"While some people prefer cities, others find peace in the countryside.","Ba'zi odamlar shaharlarni afzal ko'rishsa, boshqalari qishloqda tinchlik topadi.","Некоторые люди предпочитают города, другие находят покой в ​​сельской местности."
while,conjunction,"While the cost is high, the quality is definitely worth it.","Narxi yuqori bo'lsa-da, sifati, albatta, bunga arziydi.","Несмотря на высокую стоимость, качество определенно того стоит."
since,conjunction,"Since it's raining, we should stay indoors.",Yomg'ir yog'ayotgani uchun biz uyda qolishimiz kerak.,"Поскольку идет дождь, нам следует оставаться дома."
since,conjunction,"Since I have no cash, can I pay by card?","Menda naqd pul yo'qligi sababli, karta orqali to'lay olamanmi?","Поскольку у меня нет наличных, могу ли я оплатить картой?"
including,preposition,"The price of the tour is fifty dollars, including lunch.",Sayohat narxi tushlik bilan birga ellik dollar.,"Стоимость экскурсии пятьдесят долларов, включая обед."
including,preposition,"Everyone in my family, including my grandfather, loves football.","Mening oilamdagi hamma, jumladan, bobom ham futbolni yaxshi ko'radi.","Все в моей семье, включая моего дедушку, любят футбол."
although,conjunction,"Although it was raining heavily, we decided to go for a walk in the park.","Yomg'ir kuchli bo'lsa-da, biz parkda sayr qilishga qaror qildik.","Хотя шел сильный дождь, мы решили прогуляться в парке."
although,conjunction,"I managed to pass the English exam, although I didn't study very hard for it.","Men ingliz tili imtihonidan o'tishga muvaffaq bo'ldim, garchi men bu imtihon uchun juda ko'p o'qimaganman.","Мне удалось сдать экзамен по английскому языку, хотя я не особо усердно к этому готовился."
unlike,preposition,"Unlike my brother, I prefer staying indoors on weekends.","Akamdan farqli o'laroq, men dam olish kunlari uyda qolishni afzal ko'raman.","В отличие от брата, я предпочитаю оставаться дома по выходным."
unlike,preposition,"Unlike many other applicants, she had significant practical experience.","Boshqa ko'plab abituriyentlardan farqli o'laroq, u katta amaliy tajribaga ega edi.","В отличие от многих других претендентов, она имела значительный практический опыт."
furthermore,adverb,"The hotel is centrally located; furthermore, the prices are very reasonable.","Mehmonxona markazda joylashgan; bundan tashqari, narxlar juda mos keladi.","Отель расположен в центре города; кроме того, цены очень разумные."
furthermore,adverb,"Pollution is harming the planet. Furthermore, it threatens our future.","Ifloslanish sayyoraga zarar etkazmoqda. Bundan tashqari, bu bizning kelajagimizga tahdid soladi.","Загрязнение наносит вред планете. Более того, это угрожает нашему будущему."
consequently,adverb,"The company failed to innovate; consequently, it lost its market share.",Kompaniya innovatsiyalarni amalga oshira olmadi; natijada u bozordagi ulushini yo'qotdi.,"Компания не смогла внедрить инновации; следовательно, он потерял свою долю на рынке."
consequently,adverb,"Heavy rain caused flooding; consequently, the event was cancelled.",Kuchli yomg'ir suv toshqini keltirib chiqardi; shuning uchun tadbir bekor qilindi.,"Сильный дождь вызвал наводнение; следовательно, мероприятие было отменено."
and,conjunction,I like tea and coffee.,,Я люблю чай и кофе.
but,conjunction,The bag is small but heavy.,,"Сумка маленькая, но тяжелая."
or,conjunction,Do you want tea or coffee?,,Хотите чай или кофе?
in,preposition,The keys are in my bag.,,Ключи в моей сумке.
on,preposition,The book is on the table.,,Книга лежит на столе.
at,preposition,We meet at the school.,,Мы встречаемся в школе.
with,preposition,I walk with my friend.,,Я гуляю со своим другом.
from,preposition,She is from Samarkand.,,Она из Самарканда.
this,pronoun,This is my house.,,Это мой дом.
here,adverb,Please come here.,,"Пожалуйста, подойди сюда."
there,adverb,The shop is over there.,,Магазин вон там.
yes,adverb,Yes I like this song.,,"Да, мне нравится эта песня."
no,adverb,No thank you.,,"Нет, спасибо."
very,adverb,The tea is very hot.,,Чай очень горячий.
also,adverb,I also speak Russian.,,Я также говорю по-русски.
mother,noun,My mother cooks very well.,,Моя мама очень хорошо готовит.
father,noun,My father works in a bank.,,Мой отец работает в банке.
parent,noun,My parents live in Bukhara.,,Мои родители живут в Бухаре.
brother,noun,My brother is ten years old.,,Моему брату десять лет.
sister,noun,My sister likes music.,,Моя сестра любит музыку.
son,noun,Their son is a doctor.,,Их сын – врач.
daughter,noun,Her daughter goes to school.,,Ее дочь ходит в школу.
baby,noun,The baby is sleeping now.,,Малыш сейчас спит.
child,noun,Every child likes games.,,Каждый ребенок любит игры.
family,noun,I love my family.,,Я люблю свою семью.
friend,noun,My best friend lives near me.,,Мой лучший друг живет рядом со мной.
man,noun,That man is my teacher.,,Этот человек — мой учитель.
