headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,synonyms,antonyms
at a crossroads,idiom,C1,muhim tanlov oldida,на распутье,at a point where an important choice is needed,æt ə ˈkrɒsrəʊdz,34261,idioms,She is at a crossroads in her career.,U kasbida muhim tanlov oldida turibdi.,undecided | conflicted,certain
at breaking point,idiom,C1,chiday olmaydigan darajada,на пределе,at the limit of endurance,æt ˈbreɪkɪŋ pɔɪnt,34262,idioms,The team is at breaking point after months of pressure.,Jamoa oylar davom etgan bosimdan chiday olmaydigan darajada.,exhausted | strained,relaxed
at face value,idiom,C1,ko'ringanidek,по номиналу,without questioning whether something is true,æt feɪs ˈvæljuː,34263,idioms,Do not take his promise at face value.,Uning va'dasini ko'ringanidek qabul qilmang.,literally | unquestioningly,skeptically
at full tilt,idiom,C1,bor kuchi bilan,на полной скорости,as fast or intensely as possible,æt fʊl tɪlt,34264,idioms,The company is working at full tilt.,Kompaniya bor kuchi bilan ishlayapti.,fully | intensely,slowly
at loggerheads,idiom,C1,qattiq kelishmovchilikda,в конфликте,strongly disagreeing with each other,æt ˈlɒɡəhedz,34265,idioms,The partners are at loggerheads over money.,Hamkorlar pul masalasida qattiq kelishmovchilikda.,opposed | hostile,agreeing
at short notice,idiom,B2,qisqa ogohlantirish bilan,в короткий срок,with little time to prepare,æt ʃɔːt ˈnəʊtɪs,34266,idioms,They asked me to travel at short notice.,Ular mendan qisqa ogohlantirish bilan safarga chiqishni so'rashdi.,suddenly | urgently,planned
blow hot and cold,idiom,C1,goho yaqin goho sovuq bo'lmoq,колебаться,to keep changing your attitude,bləʊ hɒt ənd kəʊld,34267,idioms,He blows hot and cold about the job.,U ish haqida goho yaqin goho sovuq munosabatda bo'ladi.,vacillate | waver,commit
by and large,idiom,C1,umuman olganda,в целом,considering most cases,bai ənd lɑːdʒ,34268,idioms,By and large the customers were satisfied.,Umuman olganda mijozlar mamnun edi.,generally | mostly,exceptionally
drop the ball,idiom,C1,xatoga yo'l qo'ymoq,оплошать,to fail to do something important,drɒp ðə bɔːl,34269,idioms,We dropped the ball on that deadline.,Biz o'sha muddat bo'yicha xatoga yo'l qo'ydik.,fail | mishandle,succeed
fly off the handle,idiom,C1,juda jahli chiqmoq,выйти из себя,to suddenly become very angry,flaɪ ɒf ðə ˈhændl,34270,idioms,He flew off the handle over a small error.,U kichik xato uchun juda jahli chiqdi.,rage | explode,calm down
give the benefit of the doubt,idiom,C1,shubhada yaxshi tomonni tan olmoq,верить на слово,to believe someone despite uncertainty,ɡɪv ðə ˈbenɪfɪt əv ðə daʊt,34271,idioms,Let us give her the benefit of the doubt.,Keling unga shubhada yaxshi tomonni tan olaylik.,trust | believe,distrust
in the long run,idiom,B2,uzoq muddatda,в долгосрочной перспективе,over a long period of time,ɪn ðə lɒŋ rʌn,34272,idioms,In the long run patience will help.,Uzoq muddatda sabr yordam beradi.,eventually | ultimately,immediately
put your foot down,idiom,C1,qat'iy taqiqlamoq,твердо запретить,to refuse to allow something,pʊt jɔː fʊt daʊn,34273,idioms,Her mother put her foot down about the trip.,Onasi safar masalasida qat'iy taqiqladi.,insist | forbid,allow
set the record straight,idiom,C1,haqiqatni aniqlashtirmoq,прояснить ситуацию,to correct false information,set ðə ˈrekɔːd streɪt,34274,idioms,She spoke out to set the record straight.,U haqiqatni aniqlashtirish uchun gapirdi.,clarify | correct,mislead
wear your heart on your sleeve,idiom,C1,hislarini yashirmaslik,не скрывать чувства,to show your feelings openly,weə jɔː hɑːt ɒn jɔː sliːv,34275,idioms,He wears his heart on his sleeve.,U hislarini yashirmaydi.,be open | reveal,conceal
when pigs fly,idiom,C1,hech qachon,когда рак свистнет,used to say something will never happen,wen pɪɡz flaɪ,34276,idioms,He will apologise when pigs fly.,U hech qachon uzr so'ramaydi.,never | impossible,soon
whole nine yards,idiom,C1,hamma narsasi bilan,все целиком,the complete amount or everything,ðə həʊl naɪn jɑːdz,34277,idioms,She explained the whole nine yards.,U hamma narsasini tushuntirdi.,everything | entirety,part
your call,idiom,B2,sizning qaroringiz,твой выбор,used to say the decision is someone else's,jɔː kɔːl,34278,idioms,It is your call whether we stay.,Qolish yoki qolmaslik sizning qaroringiz.,decision | choice,obligation
