headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,synonyms,antonyms
accretive,adjective,C2,qiymatni oshiradigan,увеличивающий стоимость,increasing the value or earnings of a company,əˈkriːtɪv,32100,business,The acquisition is expected to be accretive to earnings.,Xarid kompaniya daromadini oshirishi kutilmoqda.,profitable | beneficial,dilutive
arbitrage,noun,C2,narxlar farqidan foyda olish,арбитраж,the practice of profiting from price differences,ˈɑːbɪtrɑːʒ,32101,business,Traders used arbitrage between two markets.,Trederlar ikki bozor orasidagi narx farqidan foydalandilar.,trading | speculation,loss
auditing,noun,C1,audit tekshiruvi,аудит,the official examination of financial records,ˈɔːdɪtɪŋ,32102,business,Auditing revealed several reporting errors.,Audit tekshiruvi hisobotdagi bir nechta xatoni ko'rsatdi.,inspection | review,neglect
boardroom,noun,B2,rahbariyat majlis xonasi,зал заседаний руководства,a room where company directors meet,ˈbɔːdruːm,32103,business,The decision was made in the boardroom.,Qaror rahbariyat majlis xonasida qabul qilindi.,meeting room,workshop
cashflow,noun,C1,pul oqimi,денежный поток,the movement of money into and out of a business,ˈkæʃfləʊ,32104,business,Strong cashflow helps a firm pay its bills.,Yaxshi pul oqimi firmaga hisoblarini to'lashga yordam beradi.,liquidity | funds,shortfall
commoditize,verb,C2,oddiy tovarga aylantirmoq,превращать в массовый товар,to make a product similar to many competing products,kəˈmɒdɪtaɪz,32105,business,Cheap imports can commoditize the market.,Arzon importlar bozorni oddiy tovarlar bozoriga aylantirishi mumkin.,standardize | simplify,differentiate
divestiture,noun,C2,aktivni sotish,продажа активов,the sale of part of a business or its assets,daɪˈvestɪtʃə,32106,business,The divestiture allowed the firm to reduce debt.,Aktivni sotish firmaga qarzni kamaytirishga imkon berdi.,sale | disposal,acquisition
encumbrance,noun,C2,majburiyat yoki cheklov,обременение,a claim or restriction on property or assets,ɪnˈkʌmbrəns,32107,business,The property has an encumbrance that delays the sale.,Mulkdagi cheklov sotuvni kechiktirmoqda.,burden | lien,freedom
fungible,adjective,C2,o'rnini bosish mumkin bo'lgan,взаимозаменяемый,able to be replaced by an identical item,ˈfʌndʒɪbl,32108,business,Money is fungible because one note can replace another.,Pul o'rnini bosish mumkin bo'lgan aktivdir.,interchangeable | replaceable,unique
indemnity,noun,C2,zararni qoplash kafolati,возмещение ущерба,protection against loss or damage,ɪnˈdemnəti,32109,business,The contract includes an indemnity clause.,Shartnomada zararni qoplash kafolati bandi bor.,compensation | protection,liability
liquidity,noun,C1,tez pulga aylanish imkoniyati,ликвидность,the ability to turn assets into cash quickly,lɪˈkwɪdəti,32110,business,The company needs liquidity to meet short-term costs.,Kompaniyaga qisqa muddatli xarajatlar uchun likvidlik kerak.,cash | flexibility,illiquidity
monetization,noun,C2,daromadga aylantirish,монетизация,the process of earning money from something,ˌmʌnɪtaɪˈzeɪʃn,32111,business,Monetization of the app began through subscriptions.,Ilovani daromadga aylantirish obunalar orqali boshlandi.,commercialization | funding,charity
pricing,noun,B2,narx belgilash,ценообразование,the act of deciding how much to charge,ˈpraɪsɪŋ,32112,business,Pricing must reflect both costs and demand.,Narx belgilash xarajat va talabni aks ettirishi kerak.,valuation | costing,discounting
recapitalization,noun,C2,kapital tuzilmasini qayta shakllantirish,рекапитализация,a change in a company's debt and equity structure,ˌriːkæpɪtəlaɪˈzeɪʃn,32113,business,Recapitalization gave the company more working capital.,Kapitalni qayta shakllantirish kompaniyaga ko'proq aylanma mablag' berdi.,refinancing | restructuring,liquidation
repatriation,noun,C2,mablag'ni vatanga qaytarish,репатриация,the return of money or people to their home country,ˌriːpeɪtriˈeɪʃn,32114,business,The firm planned the repatriation of overseas profits.,Firma xorijdagi foydani vatanga qaytarishni rejaladi.,return | restoration,export
solvency,noun,C1,to'lovga qodirlik,платежеспособность,the ability to pay debts,ˈsɒlvənsi,32115,business,Regular profits improved the company's solvency.,Muntazam foyda kompaniyaning to'lovga qodirligini oshirdi.,stability | viability,insolvency
tranche,noun,C2,qism yoki bo'lak,транш,a portion of money in a larger financial arrangement,trɑːnʃ,32116,business,The bank released the first tranche of funding.,Bank mablag'ning birinchi qismini ajratdi.,instalment | portion,total
underwriting,noun,C2,moliyaviy riskni kafolatlash,андеррайтинг,the process of accepting financial risk for a fee,ˈʌndəraɪtɪŋ,32117,business,Underwriting determines the cost of insurance.,Riskni kafolatlash sug'urta narxini belgilaydi.,guaranteeing | insuring,rejection
capitalization,noun,C2,kapitallashuv,капитализация,the total value or financial structure of a company,ˌkæpɪtəlaɪˈzeɪʃn,32118,business,The startup has a high market capitalization.,Startapning bozor kapitallashuvi yuqori.,valuation | funding,undervaluation
