headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,synonyms,antonyms
aberrant,adjective,C2,odatiy bo'lmagan,аномальный,different from what is normal,æˈberənt,31100,sat,The scientist repeated the test after an aberrant result.,Olim noodatiy natijadan keyin sinovni takrorladi.,abnormal | unusual,normal
abjure,verb,C2,rasman voz kechmoq,отрекаться,to formally give up a belief or claim,əbˈdʒʊə,31101,sat,The leader abjured violence in public.,Rahbar omma oldida zo'ravonlikdan rasman voz kechdi.,renounce | reject,embrace
acrid,adjective,C2,o'tkir va achchiq hidli,едкий,sharp and unpleasant in taste or smell,ˈækrɪd,31102,sat,An acrid smell filled the laboratory.,Laboratoriyani o'tkir va achchiq hid qopladi.,pungent | bitter,mild
adamant,adjective,C1,qat'iy,непреклонный,refusing to change an opinion or decision,ˈædəmənt,31103,sat,She was adamant that the rule was unfair.,U qoida adolatsiz ekaniga qat'iy ishondi.,firm | resolute,flexible
adroit,adjective,C2,usta va epchil,ловкий,skillful and clever in dealing with situations,əˈdrɔɪt,31104,sat,His adroit response calmed the audience.,Uning epchil javobi tinglovchilarni tinchlantirdi.,skillful | deft,clumsy
affliction,noun,C2,azob beruvchi dard,недуг,something that causes pain or suffering,əˈflɪkʃn,31105,sat,The illness was a lifelong affliction.,Kasallik umrboqiy azob beruvchi dard edi.,ailment | hardship,comfort
aggrandize,verb,C2,o'zini ulug'lamoq,возвеличивать,to increase power or importance excessively,əˈɡrændaɪz,31106,sat,The ruler tried to aggrandize his own authority.,Hukmdor o'z hokimiyatini haddan tashqari ulug'lashga urindi.,inflate | exalt,humble
allay,verb,C1,yengillashtirmoq,успокаивать,to reduce fear or worry,əˈleɪ,31107,sat,The guide allayed our concerns about safety.,Yo'lboshchi xavfsizlik haqidagi xavotirimizni yengillashtirdi.,relieve | soothe,intensify
amalgamate,verb,C2,birlashtirmoq,объединять,to combine into one whole,əˈmælɡəmeɪt,31108,sat,The plan will amalgamate the two departments.,Reja ikki bo'limni birlashtiradi.,merge | combine,separate
anachronistic,adjective,C2,zamoniga mos kelmaydigan,анахроничный,belonging to a different historical time,əˌnækrəˈnɪstɪk,31109,sat,The typewriter looked anachronistic in the modern office.,Yozuv mashinasi zamonaviy ofisda zamoniga mos kelmaydigandek ko'rindi.,outdated | old-fashioned,modern
antecedent,noun,C2,oldingi holat,предшествующее событие,an earlier event that influences a later one,ˌæntɪˈsiːdənt,31110,sat,The case has no clear legal antecedent.,Bu ishning aniq huquqiy oldingi holati yo'q.,precedent | forerunner,successor
apathetic,adjective,C1,beparvo,апатичный,showing no interest or enthusiasm,ˌæpəˈθetɪk,31111,sat,Many voters were apathetic about the election.,Ko'p saylovchilar saylovga beparvo edi.,indifferent | passive,enthusiastic
archaic,adjective,C2,eskirgan,архаичный,very old-fashioned or no longer used,ɑːˈkeɪɪk,31112,sat,Some archaic words survive in legal writing.,Ba'zi eskirgan so'zlar huquqiy yozuvda saqlanib qolgan.,obsolete | ancient,modern
assuage,verb,C2,yumshatmoq,облегчать,to make pain or worry less severe,əˈsweɪdʒ,31113,sat,The apology did little to assuage her anger.,Kechirim uning g'azabini deyarli yumshatmadi.,ease | relieve,aggravate
avarice,noun,C2,ochko'zlik,алчность,an extreme desire for money or wealth,ˈævərɪs,31114,sat,Avarice led the official to accept bribes.,Ochko'zlik amaldorni pora olishga olib keldi.,greed | cupidity,generosity
