headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,synonyms,antonyms
and,conjunction,A1,va,и,A word that joins two things together.,ənd,3,basics,I like tea and coffee.,Men choy va qahvani yaxshi ko'raman.,,
but,conjunction,A1,lekin,но,A word that shows something different.,bʌt,22,basics,The bag is small but heavy.,Sumka kichkina lekin og'ir.,,
or,conjunction,A1,yoki,или,A word that shows a choice between things.,ɔː,30,basics,Do you want tea or coffee?,Choy ichasizmi yoki qahva?,,
in,preposition,A1,ichida,в,Inside a place or thing.,ɪn,6,basics,The keys are in my bag.,Kalitlar sumkamning ichida.,,
on,preposition,A1,ustida,на,Touching the top of something.,ɒn,14,basics,The book is on the table.,Kitob stol ustida.,,
at,preposition,A1,-da,у,A word that shows a place or time.,æt,20,basics,We meet at the school.,Biz maktabda uchrashamiz.,,
with,preposition,A1,bilan,с,Together with a person or thing.,wɪð,16,basics,I walk with my friend.,Men do'stim bilan yuraman.,,
from,preposition,A1,-dan,из,A word that shows where something starts.,frɒm,25,basics,She is from Samarkand.,U Samarqanddan.,,
this,pronoun,A1,bu,это,The thing that is near you.,ðɪs,21,basics,This is my house.,Bu mening uyim.,,that,
here,adverb,A1,bu yerda,здесь,In this place.,hɪə,90,basics,Please come here.,Iltimos bu yerga keling.,,there
there,adverb,A1,u yerda,там,In that place.,ðeə,53,basics,The shop is over there.,Do'kon ana u yerda.,,here
yes,adverb,A1,ha,да,A word that shows you agree.,jes,150,basics,Yes I like this song.,Ha bu qo'shiq menga yoqadi.,,no
no,adverb,A1,yo'q,нет,A word that shows you do not agree.,nəʊ,60,basics,No thank you.,Yo'q rahmat.,,yes
very,adverb,A1,juda,очень,A word that makes another word stronger.,ˈveri,80,basics,The tea is very hot.,Choy juda issiq.,really,
also,adverb,A1,ham,тоже,A word that adds more information.,ˈɔːlsəʊ,95,basics,I also speak Russian.,Men rus tilida ham gaplashaman.,too,
mother,noun,A1,ona,мама,A woman who has a child.,ˈmʌðə,320,people-family,My mother cooks very well.,Onam juda yaxshi ovqat pishiradi.,mum,father
father,noun,A1,ota,папа,A man who has a child.,ˈfɑːðə,350,people-family,My father works in a bank.,Otam bankda ishlaydi.,dad,mother
parent,noun,A1,ota-ona,родитель,A mother or a father.,ˈpeərənt,600,people-family,My parents live in Bukhara.,Ota-onam Buxoroda yashaydi.,,
brother,noun,A1,aka yoki uka,брат,A boy or man with the same parents as you.,ˈbrʌðə,700,people-family,My brother is ten years old.,Ukam o'n yoshda.,,sister
sister,noun,A1,opa yoki singil,сестра,A girl or woman with the same parents as you.,ˈsɪstə,750,people-family,My sister likes music.,Singlim musiqani yaxshi ko'radi.,,brother
son,noun,A1,o'g'il,сын,A male child of a mother or father.,sʌn,800,people-family,Their son is a doctor.,Ularning o'g'li shifokor.,,daughter
daughter,noun,A1,qiz (farzand),дочь,A female child of a mother or father.,ˈdɔːtə,850,people-family,Her daughter goes to school.,Uning qizi maktabga boradi.,,son
baby,noun,A1,chaqaloq,малыш,A very young child.,ˈbeɪbi,900,people-family,The baby is sleeping now.,Chaqaloq hozir uxlayapti.,,
child,noun,A1,bola,ребёнок,A young boy or girl.,tʃaɪld,280,people-family,Every child likes games.,Har bir bola o'yinni yaxshi ko'radi.,kid,adult
family,noun,A1,oila,семья,Parents and their children together.,ˈfæməli,260,people-family,I love my family.,Men oilamni yaxshi ko'raman.,,
friend,noun,A1,do'st,друг,A person you like and know well.,frend,240,people-family,My best friend lives near me.,Eng yaqin do'stim yaqinimda yashaydi.,,enemy
man,noun,A1,erkak,мужчина,An adult male person.,mæn,120,people-family,That man is my teacher.,Anavi erkak mening o'qituvchim.,,woman
woman,noun,A1,ayol,женщина,An adult female person.,ˈwʊmən,190,people-family,The woman has two children.,Bu ayolning ikkita farzandi bor.,,man
boy,noun,A1,o'g'il bola,мальчик,A male child.,bɔɪ,400,people-family,The boy plays football.,O'g'il bola futbol o'ynaydi.,,girl
girl,noun,A1,qiz bola,девочка,A female child.,ɡɜːl,380,people-family,The girl reads a book.,Qiz bola kitob o'qiyapti.,,boy
people,noun,A1,odamlar,люди,More than one person.,ˈpiːpəl,100,people-family,Many people live in Tashkent.,Toshkentda ko'p odamlar yashaydi.,,
name,noun,A1,ism,имя,The word that people call you.,neɪm,220,people-family,My name is Aziz.,Mening ismim Aziz.,,
grandmother,noun,A1,buvi,бабушка,The mother of your mother or father.,ˈɡrænmʌðə,1100,people-family,My grandmother tells nice stories.,Buvim chiroyli ertaklar aytadi.,,grandfather
grandfather,noun,A1,buva,дедушка,The father of your mother or father.,ˈɡrænfɑːðə,1150,people-family,My grandfather is eighty years old.,Buvam sakson yoshda.,,grandmother
husband,noun,A1,er,муж,The man that a woman is married to.,ˈhʌzbənd,950,people-family,Her husband is a driver.,Uning eri haydovchi.,,wife
wife,noun,A1,xotin,жена,The woman that a man is married to.,waɪf,920,people-family,His wife works at a school.,Uning xotini maktabda ishlaydi.,,husband
apple,noun,A1,olma,яблоко,A round fruit with red or green skin.,ˈæpəl,1500,food-drink,I eat an apple every day.,Men har kuni olma yeyman.,,
banana,noun,A1,banan,банан,A long yellow fruit.,bəˈnɑːnə,2000,food-drink,The banana is sweet.,Banan shirin.,,
bread,noun,A1,non,хлеб,A basic food made from flour.,bred,1200,food-drink,We buy fresh bread every morning.,Biz har kuni ertalab issiq non olamiz.,,
butter,noun,A1,sariyog',масло,A soft yellow food made from milk.,ˈbʌtə,1900,food-drink,Put some butter on the bread.,Nonga ozgina sariyog' surting.,,
cake,noun,A1,tort,торт,A sweet food for birthdays and parties.,keɪk,1800,food-drink,My mother makes a tasty cake.,Onam mazali tort tayyorlaydi.,,
cheese,noun,A1,pishloq,сыр,A yellow or white food made from milk.,tʃiːz,1700,food-drink,I like cheese with bread.,Men nonni pishloq bilan yaxshi ko'raman.,,
chicken,noun,A1,tovuq,курица,A bird that people keep for food.,ˈtʃɪkɪn,1400,food-drink,We cook chicken with rice.,Biz tovuqni guruch bilan pishiramiz.,,
coffee,noun,A1,qahva,кофе,A hot brown drink that wakes you up.,ˈkɒfi,1000,food-drink,He drinks coffee in the morning.,U ertalab qahva ichadi.,,
cook,verb,A1,pishirmoq,готовить,To make food ready to eat.,kʊk,1300,food-drink,I cook dinner for my family.,Men oilamga kechki ovqat pishiraman.,prepare,
cup,noun,A1,piyola,чашка,A small round thing for drinking tea.,kʌp,1600,food-drink,Would you like a cup of tea?,Bir piyola choy ichasizmi?,,
dinner,noun,A1,kechki ovqat,ужин,The food you eat in the evening.,ˈdɪnə,1250,food-drink,We have dinner at seven.,Biz soat yettida kechki ovqat qilamiz.,supper,breakfast
breakfast,noun,A1,nonushta,завтрак,The food you eat in the morning.,ˈbrekfəst,1350,food-drink,I have breakfast with my family.,Men nonushtani oilam bilan qilaman.,,dinner
lunch,noun,A1,tushlik,обед,The food you eat in the middle of the day.,lʌntʃ,1450,food-drink,We eat lunch at school.,Biz tushlikni maktabda yeymiz.,,
drink,verb,A1,ichmoq,пить,To take water or tea into your mouth.,drɪŋk,700,food-drink,Drink more water in summer.,Yozda ko'proq suv iching.,,
eat,verb,A1,yemoq,есть,To take food into your mouth.,iːt,500,food-drink,We eat fruit every day.,Biz har kuni meva yeymiz.,,
egg,noun,A1,tuxum,яйцо,A round food that comes from a chicken.,eɡ,1550,food-drink,I want two eggs for breakfast.,Nonushtaga ikkita tuxum xohlayman.,,
food,noun,A1,ovqat,еда,Things that people eat.,fuːd,450,food-drink,Uzbek food is very tasty.,O'zbek taomlari juda mazali.,meal,
fruit,noun,A1,meva,фрукт,Sweet food from trees like apples.,fruːt,1650,food-drink,Fruit is good for your health.,Meva sog'liq uchun foydali.,,
juice,noun,A1,sharbat,сок,A drink made from fruit.,dʒuːs,2100,food-drink,I drink orange juice.,Men apelsin sharbatini ichaman.,,
meat,noun,A1,go'sht,мясо,Food that comes from animals.,miːt,1500,food-drink,We buy meat at the market.,Biz go'shtni bozordan olamiz.,,
milk,noun,A1,sut,молоко,A white drink that comes from cows.,mɪlk,1400,food-drink,Children drink milk every day.,Bolalar har kuni sut ichadi.,,
orange,noun,A1,apelsin,апельсин,A round sweet fruit with orange skin.,ˈɒrɪndʒ,2200,food-drink,This orange is very sweet.,Bu apelsin juda shirin.,,
plate,noun,A1,likopcha,тарелка,A flat round thing for food.,pleɪt,2300,food-drink,Put the food on the plate.,Ovqatni likopchaga soling.,dish,
potato,noun,A1,kartoshka,картошка,A white vegetable that grows under the ground.,pəˈteɪtəʊ,1900,food-drink,My brother likes fried potatoes.,Ukam qovurilgan kartoshkani yaxshi ko'radi.,,
rice,noun,A1,guruch,рис,Small white food that people cook.,raɪs,1700,food-drink,Plov is made from rice.,Palov guruchdan tayyorlanadi.,,
salt,noun,A1,tuz,соль,White powder that makes food tasty.,sɒlt,2000,food-drink,There is too much salt in the soup.,Sho'rvada tuz juda ko'p.,,sugar
sugar,noun,A1,shakar,сахар,Sweet white powder for tea and cakes.,ˈʃʊɡə,1850,food-drink,I drink tea without sugar.,Men choyni shakarsiz ichaman.,,salt
tea,noun,A1,choy,чай,A hot drink that is very popular in Uzbekistan.,tiː,1100,food-drink,Green tea is good in hot weather.,Issiq havoda ko'k choy yaxshi.,,
vegetable,noun,A1,sabzavot,овощ,A plant that people eat like carrots.,ˈvedʒtəbəl,1950,food-drink,Eat vegetables to be healthy.,Sog'lom bo'lish uchun sabzavot yeng.,,
water,noun,A1,suv,вода,A clear liquid that people drink.,ˈwɔːtə,300,food-drink,Please give me some water.,Iltimos menga suv bering.,,
hungry,adjective,A1,och,голодный,Wanting to eat food.,ˈhʌŋɡri,2400,food-drink,I am hungry after school.,Maktabdan keyin qornim och bo'ladi.,,thirsty
thirsty,adjective,A1,chanqagan,хочется пить,Wanting to drink something.,ˈθɜːsti,2600,food-drink,Runners are always thirsty.,Yuguruvchilar doim chanqaydi.,,hungry
bathroom,noun,A1,hammom,ванная,The room where you wash.,ˈbɑːθruːm,2500,home,The bathroom is next to the kitchen.,Hammom oshxona yonida.,,
bed,noun,A1,karavot,кровать,The thing you sleep on.,bed,1300,home,I go to bed at ten.,Men soat o'nda uxlashga yotaman.,,
bedroom,noun,A1,yotoqxona,спальня,The room where you sleep.,ˈbedruːm,2450,home,My bedroom is small but nice.,Yotoqxonam kichkina lekin shinam.,,
chair,noun,A1,stul,стул,A thing you sit on.,tʃeə,1750,home,Please sit on this chair.,Iltimos bu stulga o'tiring.,seat,
clean,verb,A1,tozalamoq,убирать,To take dirt away from something.,kliːn,1600,home,We clean the house on Sunday.,Biz yakshanba kuni uyni tozalaymiz.,wash,
door,noun,A1,eshik,дверь,You open it to go into a room.,dɔː,1050,home,Please close the door.,Iltimos eshikni yoping.,,
floor,noun,A1,pol,пол,The part of a room you walk on.,flɔː,1500,home,The child sits on the floor.,Bola polda o'tiribdi.,,
garden,noun,A1,bog',сад,A place with flowers and trees near a house.,ˈɡɑːdən,1800,home,My grandmother grows flowers in the garden.,Buvim bog'da gul o'stiradi.,,
house,noun,A1,uy,дом,A building where people live.,haʊs,350,home,They live in a big house.,Ular katta uyda yashaydi.,home,
home,noun,A1,uy (xonadon),дом,The place where you live.,həʊm,330,home,I go home after work.,Ishdan keyin uyga boraman.,house,
key,noun,A1,kalit,ключ,A small metal thing that opens a door.,kiː,2100,home,I cannot find my keys.,Kalitlarimni topa olmayapman.,,
kitchen,noun,A1,oshxona,кухня,The room where you cook food.,ˈkɪtʃɪn,1900,home,My mother is in the kitchen.,Onam oshxonada.,,
lamp,noun,A1,chiroq,лампа,A thing that gives light in a room.,læmp,2700,home,Turn on the lamp please.,Iltimos chiroqni yoqing.,light,
live,verb,A1,yashamoq,жить,To have your home in a place.,lɪv,400,home,We live in Tashkent.,Biz Toshkentda yashaymiz.,,
room,noun,A1,xona,комната,One part of a house with walls.,ruːm,800,home,This room is very light.,Bu xona juda yorug'.,,
table,noun,A1,stol,стол,A thing with four legs where you eat or work.,ˈteɪbəl,1200,home,The food is on the table.,Ovqat stol ustida.,,
wall,noun,A1,devor,стена,The side of a room or building.,wɔːl,1550,home,There is a picture on the wall.,Devorda rasm bor.,,
window,noun,A1,deraza,окно,You look through it to see outside.,ˈwɪndəʊ,1450,home,Open the window please.,Iltimos derazani oching.,,
flat,noun,A1,kvartira,квартира,Rooms for living inside a big building.,flæt,2200,home,Our flat is on the third floor.,Kvartiramiz uchinchi qavatda.,apartment,
answer,verb,A1,javob bermoq,отвечать,To say something when someone asks you.,ˈɑːnsə,1100,school,Please answer my question.,Iltimos savolimga javob bering.,reply,ask
ask,verb,A1,so'ramoq,спрашивать,To say a question to someone.,ɑːsk,600,school,Students ask many questions.,O'quvchilar ko'p savol so'raydi.,,answer
book,noun,A1,kitob,книга,Pages with words that you read.,bʊk,500,school,This book is very interesting.,Bu kitob juda qiziqarli.,,
class,noun,A1,dars,урок,A time when a teacher teaches students.,klɑːs,900,school,English class starts at nine.,Ingliz tili darsi to'qqizda boshlanadi.,lesson,
classroom,noun,A1,sinf xonasi,класс,The room where students learn.,ˈklɑːsruːm,2800,school,Our classroom is big and clean.,Sinf xonamiz katta va toza.,,
desk,noun,A1,parta,парта,A table for working or studying.,desk,2600,school,The student sits at the desk.,O'quvchi partada o'tiradi.,,
homework,noun,A1,uy vazifasi,домашнее задание,School work that you do at home.,ˈhəʊmwɜːk,2300,school,I do my homework in the evening.,Uy vazifamni kechqurun qilaman.,,
learn,verb,A1,o'rganmoq,учить,To get new knowledge.,lɜːn,650,school,We learn ten new words every day.,Biz har kuni o'nta yangi so'z o'rganamiz.,study,
lesson,noun,A1,dars,урок,A time when you learn something.,ˈlesən,1150,school,The lesson is forty minutes long.,Dars qirq daqiqa davom etadi.,class,
letter,noun,A1,harf,буква,One sign like A or B in writing.,ˈletə,1700,school,The English alphabet has 26 letters.,Ingliz alifbosida 26 ta harf bor.,,
listen,verb,A1,tinglamoq,слушать,To use your ears to hear something.,ˈlɪsən,850,school,Listen to the teacher carefully.,O'qituvchini diqqat bilan tinglang.,hear,
