headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,synonyms,antonyms
ravage,verb,C1,vayron qilmoq xarob qilmoq,опустошать,To damage something badly.,ˈrævɪdʒ,4300,ielts,Locusts ravaged the crops.,Chigirtkalar ekinlarni xarob qildi.,devastate,
refurbish,verb,C1,yangilamoq ta'mirlamoq,обновлять,To repair and decorate a building.,ˌriːˈfɜːbɪʃ,4302,ielts,The library was fully refurbished.,Kutubxona to'liq yangilandi.,renovate,
replenish,verb,C1,to'ldirmoq qayta to'ldirmoq,пополнять,To fill something again.,rɪˈplenɪʃ,4304,ielts,Rains replenish the reservoirs.,Yomg'irlar suv omborlarini to'ldiradi.,refill,deplete
revitalize,verb,C1,jonlantirmoq qayta tiriltirmoq,оживлять,To bring new life to something.,ˌriːˈvaɪtəlaɪz,4306,ielts,The project revitalized the old town.,Loyiha eski shaharni jonlantirdi.,revive,
safeguard,verb,C1,himoya qilmoq muhofaza qilmoq,защищать,To protect from harm.,ˈseɪfɡɑːd,4308,ielts,Laws safeguard workers' rights.,Qonunlar ishchilar huquqlarini himoya qiladi.,protect,endanger
spur,verb,C1,rag'batlantirmoq turtki bermoq,побуждать,To encourage something to happen faster.,spɜː,4310,ielts,Competition spurs innovation.,Raqobat innovatsiyaga turtki beradi.,stimulate,discourage
supersede,verb,C1,o'rnini egallamoq,заменять,To replace something older.,ˌsuːpəˈsiːd,4312,ielts,Smartphones superseded cameras.,Smartfonlar fotoapparatlar o'rnini egalladi.,replace,
thwart,verb,C1,barbod qilmoq to'sqinlik qilmoq,срывать,To prevent someone's plans from succeeding.,θwɔːt,4314,ielts,Bad weather thwarted the climb.,Yomon ob-havo cho'qqiga chiqishni barbod qildi.,foil,assist
unveil,verb,C1,ochib tashlamoq taqdim etmoq,представлять,To show something new to the public.,ˌʌnˈveɪl,4316,ielts,The city unveiled a new metro line.,Shahar yangi metro liniyasini taqdim etdi.,reveal,conceal
usher,verb,C1,boshlab bermoq olib kirmoq,возвещать,To mark the start of something new.,ˈʌʃə,4318,ielts,The internet ushered in a new era.,Internet yangi davrni boshlab berdi.,,
abrupt,adjective,C1,to'satdan keskin,резкий,Sudden and unexpected.,əˈbrʌpt,4320,ielts,The meeting came to an abrupt end.,Yig'ilish to'satdan tugadi.,sudden,gradual
arduous,adjective,C1,mashaqqatli,трудный,Needing great effort.,ˈɑːdjuəs,4322,ielts,The climb was long and arduous.,Cho'qqiga chiqish uzoq va mashaqqatli bo'ldi.,gruelling,easy
bleak,adjective,C1,ma'yus umidsiz,мрачный,Without hope; cold and empty.,bliːk,4324,ielts,The forecast looks bleak for farmers.,Prognoz dehqonlar uchun ma'yus ko'rinadi.,grim,promising
bustling,adjective,C1,gavjum qaynayotgan,оживлённый,Full of busy activity.,ˈbʌslɪŋ,4326,ielts,Chorsu is a bustling bazaar.,Chorsu — gavjum bozor.,lively,quiet
compelling,adjective,C1,ishonarli jozibali,убедительный,Very convincing or interesting.,kəmˈpelɪŋ,4328,ielts,She gave a compelling argument.,U ishonarli dalil keltirdi.,persuasive,weak
cumbersome,adjective,C1,noqulay og'ir,громоздкий,Heavy awkward and hard to use.,ˈkʌmbəsəm,4330,ielts,The old process was cumbersome.,Eski jarayon noqulay edi.,unwieldy,convenient
daunting,adjective,C1,cho'chitadigan qo'rqinchli,пугающий,Making you feel nervous about a task.,ˈdɔːntɪŋ,4332,ielts,Writing a thesis felt daunting.,Dissertatsiya yozish cho'chitadigan tuyuldi.,intimidating,encouraging
dire,adjective,C1,juda og'ir dahshatli,ужасный,Extremely serious or urgent.,ˈdaɪə,4334,ielts,The hospital is in dire need of staff.,Kasalxona xodimlarga juda muhtoj.,desperate,
dismal,adjective,C1,g'amgin juda yomon,унылый,Sad and without hope; very bad.,ˈdɪzməl,4336,ielts,The team's results were dismal.,Jamoaning natijalari juda yomon edi.,gloomy,cheerful
eminent,adjective,C1,atoqli taniqli,выдающийся,Famous and respected in a profession.,ˈemɪnənt,4338,ielts,An eminent scholar gave the lecture.,Ma'ruzani atoqli olim o'qidi.,distinguished,unknown
flawed,adjective,C1,nuqsonli xato,ошибочный,Containing mistakes or weaknesses.,flɔːd,4340,ielts,The study's method was flawed.,Tadqiqot usuli nuqsonli edi.,faulty,perfect
formidable,adjective,C1,zabardast kuchli,грозный,Very impressive and slightly frightening.,ˈfɔːmɪdəbl,4342,ielts,They faced a formidable opponent.,Ular zabardast raqibga duch kelishdi.,daunting,weak
futile,adjective,C1,befoyda behuda,тщетный,Certain to fail.,ˈfjuːtaɪl,4344,ielts,Arguing with him is futile.,U bilan bahslashish befoyda.,pointless,effective
hectic,adjective,C1,tig'iz serqatnov,суматошный,Very busy and fast.,ˈhektɪk,4346,ielts,Exam week is always hectic.,Imtihon haftasi doim tig'iz o'tadi.,frantic,calm
impartial,adjective,C1,xolis betaraf,беспристрастный,Treating everyone equally.,ɪmˈpɑːʃl,4348,ielts,Judges must remain impartial.,Sudyalar xolis qolishlari kerak.,neutral,biased
lavish,adjective,C1,dabdabali saxovatli,роскошный,Expensive and generous in amount.,ˈlævɪʃ,4350,ielts,They held a lavish wedding.,Ular dabdabali to'y qilishdi.,luxurious,modest
meagre,adjective,C1,arzimas oz,скудный,Very small in amount.,ˈmiːɡə,4352,ielts,He survives on a meagre income.,U arzimas daromad bilan kun kechiradi.,scanty,ample
mundane,adjective,C1,oddiy zerikarli kundalik,приземлённый,Ordinary and not interesting.,mʌnˈdeɪn,4354,ielts,Robots handle mundane tasks.,Robotlar oddiy yumushlarni bajaradi.,routine,exciting
perilous,adjective,C1,xavf-xatarli,опасный,Very dangerous.,ˈperələs,4356,ielts,The refugees made a perilous journey.,Qochqinlar xavf-xatarli safarni bosib o'tishdi.,hazardous,safe
precarious,adjective,C1,beqaror xavfli,шаткий,Not safe or certain.,prɪˈkeəriəs,4358,ielts,Freelancers face precarious incomes.,Frilanserlar beqaror daromadga duch keladi.,unstable,secure
pristine,adjective,C1,asl toza betakror,первозданный,Perfectly clean or unspoiled.,ˈprɪstiːn,4360,ielts,The park keeps its pristine lakes.,Bog' beg'ubor ko'llarini saqlab kelmoqda.,immaculate,polluted
prolific,adjective,C1,sermahsul,плодовитый,Producing many works or results.,prəˈlɪfɪk,4362,ielts,He is a prolific writer.,U sermahsul yozuvchi.,productive,
rampant,adjective,C1,avj olgan keng tarqalgan,безудержный,Spreading uncontrollably (of something bad).,ˈræmpənt,4364,ielts,Rumours ran rampant online.,Mish-mishlar internetda avj oldi.,unchecked,controlled
