headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz
aerofoil,noun,C1,"aerofoil, qanot profili",аэродинамический профиль,"A curved surface, such as an aircraft wing, shaped to produce lift as air flows over it.",ˈeərəfɔɪl,,nature,Engineers test each aerofoil shape in a wind tunnel before it is built.,Muhandislar har bir aerofoil shaklini qurishdan oldin shamol tunnelida sinab ko'rishadi.
airflow,noun,B1,havo oqimi,поток воздуха,The movement of air through or around an object or space.,ˈeəfləʊ,,nature,Smooth airflow over the wing reduces drag during flight.,Qanot ustidagi silliq havo oqimi parvoz paytida qarshilikni kamaytiradi.
apron,noun,A2,fartuk,фартук,A protective garment worn over the front of the body to keep clothes clean while working.,ˈeɪprən,,clothes,Participants in the art club should bring an old shirt or apron.,San'at to'garagi ishtirokchilari eski ko'ylak yoki fartuk olib kelishlari kerak.
bio,noun,B1,"tarjimai hol, bio",биография,A short written account of a person's life and background.,ˈbaɪəʊ,,people-family,Add a short bio and a recent photo to your profile.,Profilingizga qisqa tarjimai hol va so'nggi rasm qo'shing.
compostable,adjective,B2,kompostga aylanadigan,компостируемый,Able to decay naturally and turn into compost rather than staying as waste.,kəmˈpəʊstəbl,,nature,The packaging is fully compostable and breaks down within weeks.,Qadoqlash to'liq kompostga aylanadigan va bir necha hafta ichida parchalanadi.
contradiction,noun,B2,"ziddiyat, qarama-qarshilik",противоречие,A situation in which two facts or statements cannot both be true.,ˌkɒntrəˈdɪkʃn,,describing,Separate contradiction from information the passage never states.,Ziddiyatni matnda umuman aytilmagan ma'lumotdan ajrating.
conversational,adjective,B1,suhbat uslubidagi,разговорный,Relating to informal talk or spoken conversation rather than formal writing.,ˌkɒnvəˈseɪʃənl,,school,The centre offers conversational English classes for beginners.,Markaz boshlang'ich darajadagilar uchun suhbat uslubidagi ingliz tili darslarini taklif etadi.
courtyard,noun,B1,hovli,двор,"An open space enclosed by walls or buildings, often in the middle of a building.",ˈkɔːtjɑːd,,places,Clay panels were fitted around the courtyard to keep it cooler in summer.,Yozda hovlini salqin saqlash uchun uning atrofiga loy panellar o'rnatildi.
decisive,adjective,B2,hal qiluvchi,решающий,Having great importance in determining the result of something.,dɪˈsaɪsɪv,,describing,"For wider adoption, careful preparation appears to be decisive.",Kengroq qo'llash uchun sinchkovlik bilan tayyorgarlik hal qiluvchi ahamiyatga ega.
dense,adjective,B1,"zich, quyuq",плотный,Having parts or units crowded closely together.,dens,,describing,Planted roofs make dense cities more resilient to heat and storms.,Ekilgan tomlar zich shaharlarni issiqlik va bo'ronlarga chidamliroq qiladi.
dependable,adjective,B2,ishonchli,надёжный,Able to be trusted or relied on.,dɪˈpendəbl,,describing,The system needs a dependable water supply to work well.,Tizim yaxshi ishlashi uchun ishonchli suv ta'minoti kerak.
disagreement,noun,B1,kelishmovchilik,разногласие,A situation in which people have different opinions about something.,ˌdɪsəˈɡriːmənt,,feelings,There was some disagreement among residents about the new plan.,Yangi reja bo'yicha aholi orasida ba'zi kelishmovchiliklar bo'ldi.
durability,noun,B2,"chidamlilik, bardoshlilik",долговечность,The quality of being able to last a long time without being damaged.,ˌdjʊərəˈbɪləti,,describing,Modern materials have improved the durability of planted roofs.,Zamonaviy materiallar ekilgan tomlarning chidamliligini oshirdi.
edible,adjective,B1,yeyish mumkin bo'lgan,съедобный,Safe and suitable to be eaten.,ˈedəbl,,food-drink,Some rooftop gardens now grow edible plants for local kitchens.,Ba'zi tom bog'lari endi mahalliy oshxonalar uchun yeyish mumkin bo'lgan o'simliklar yetishtiradi.
farmland,noun,B1,dehqonchilik yeri,сельхозугодья,Land that is used or suitable for farming.,ˈfɑːmlænd,,nature,The seed vault protects crop varieties from farmland around the world.,Urug' ombori dunyoning turli dehqonchilik yerlaridagi ekin navlarini himoya qiladi.
fungus,noun,B2,zamburug',"гриб, грибок","A living organism, such as a mould or mushroom, that feeds on organic matter.",ˈfʌŋɡəs,,nature,Fungal packaging is grown from fungus and waste plant fibre.,Zamburug'li qadoqlash zamburug' va o'simlik chiqindisi tolasidan o'stiriladi.
healthy,adjective,A2,sog'lom,здоровый,Having or showing good physical or mental condition.,ˈhelθi,,body-health,Healthier soil helps plants survive longer periods without rain.,Sog'lomroq tuproq o'simliklarga yomg'irsiz uzoqroq davrga bardosh berishga yordam beradi.
insect,noun,A2,hasharot,насекомое,"A small creature with six legs and usually wings, such as a bee or ant.",ˈɪnsekt,,animals,Wildflowers on the roof attract useful insects such as bees.,Tomdagi yovvoyi gullar asalari kabi foydali hasharotlarni jalb qiladi.
mastery,noun,B2,mukammal egallash,мастерство,Complete knowledge or skill in a subject or activity.,ˈmɑːstəri,,school,Regular review builds real mastery of new vocabulary over time.,Muntazam takrorlash vaqt o'tishi bilan yangi so'zlarni mukammal egallashga olib keladi.
migratory,adjective,C1,ko'chib yuruvchi,"перелётный, мигрирующий","Regularly moving from one region or climate to another, especially with the seasons.",ˈmaɪɡrətri,,animals,Restored urban streams give migratory birds a place to rest.,Tiklangan shahar soylari ko'chib yuruvchi qushlarga dam olish joyini beradi.
mislead,verb,B2,"chalg'itmoq, aldamoq",вводить в заблуждение,To make someone believe something that is not true.,ˌmɪsˈliːd,,actions,A single successful test can mislead readers about long-term reliability.,Bitta muvaffaqiyatli sinov o'quvchilarni uzoq muddatli ishonchlilik haqida chalg'itishi mumkin.
misleading,adjective,B2,"chalg'ituvchi, noto'g'ri taassurot qoldiruvchi",вводящий в заблуждение,Giving the wrong idea or impression about something.,ˌmɪsˈliːdɪŋ,,describing,A short trial can be misleading if conditions later change.,"Sharoitlar keyinchalik o'zgarsa, qisqa sinov chalg'ituvchi bo'lishi mumkin."
modest,adjective,B2,"kamtarona, o'rtacha",скромный,Not very large in size or amount.,ˈmɒdɪst,,describing,Insulation from the layers provides only a modest benefit in winter.,Qatlamlardan olinadigan issiqlik izolyatsiyasi qishda faqat o'rtacha foyda beradi.
multispectral,adjective,C1,ko'p spektrli,мультиспектральный,Using or recording several different bands of light or radiation at once.,ˌmʌltiˈspektrəl,,nature,Multispectral cameras reveal plant stress invisible to the human eye.,Ko'p spektrli kameralar inson ko'ziga ko'rinmaydigan o'simlik stressini aniqlaydi.
mussel,noun,B1,midiya,мидия,A small shellfish with a dark shell that lives in rivers or the sea.,ˈmʌsl,,food-drink,Freshwater mussels are early indicators of river water quality.,Chuchuk suv midiyalari daryo suvi sifatining erta ko'rsatkichidir.
noticeboard,noun,A2,e'lonlar taxtasi,доска объявлений,A board fixed to a wall where public notices or messages are displayed.,ˈnəʊtɪsbɔːd,,places,Class times are posted on the noticeboard by the main entrance.,Dars vaqtlari asosiy kirish qismidagi e'lonlar taxtasiga joylashtirilgan.
observatory,noun,B2,"observatoriya, kuzatuv shohobchasi",обсерватория,"A building with equipment for observing stars, weather, or other natural events.",əbˈzɜːvətri,,places,The observatory shares its bird count data with citizen scientists.,Observatoriya o'z qushlarni hisoblash ma'lumotlarini fuqarolik olimlari bilan baham ko'radi.
